sigma2,width,offset,cross,resid,k_i_mean,k_i_sd,off_over_m2ES2,zbar,bmean,mES_over_zbar_median,arm,seed,kind
6.318525442648833,3.909827988278513,2.397303436915959,0.011394017454353715,4.8960835385969403e-14,0.06583645750484562,0.0052896444352275845,0.10898308133140039,-3.923985956177679,-0.1278813659423031,0.9463228579468134,LR,0,8refperms
6.621093440663036,3.9675924172227974,2.397303436915959,0.2561975865242697,2.5579538487363607e-13,0.06670341072139353,0.015751212708231196,0.10898308133140039,-4.064513707678857,-0.1278813659423031,0.8875033916868922,LR,0,MUT_identity_perm
5.953055153236853,3.8952541247632113,2.058657359792788,-0.0008563313191515176,5.284661597215745e-14,0.06574294864458426,0.0053389577979352345,0.10898308133140039,-3.7519619482982756,-0.1369740007200744,0.9497432752539625,LR,1,8refperms
6.249027114053927,4.200836624350492,2.058657359792788,-0.010466870089357006,5.5844218138645374e-14,0.07098981926857656,0.01851786777572559,0.10898308133140039,-3.777153142950326,-0.1369740007200744,0.9119843560468317,LR,1,MUT_identity_perm
5.848753953749959,3.9975814631368394,1.8691226883936785,-0.01795019778056398,3.447242491461111e-14,0.06635755181690949,0.005568565703106068,0.10898308133140042,-3.7948194673418456,-0.15455610498436725,0.9510855441880778,LR,2,8refperms
6.07030891922925,3.983210434682125,1.8691226883936785,0.21797579615344317,5.306866057708248e-14,0.06622373840355499,0.01747669789717174,0.10898308133140042,-3.956036384993351,-0.15455610498436725,0.9145202879015759,LR,2,MUT_identity_perm
2.4599456563084585,2.226940657636114,0.25670269143720414,-0.023697692764860466,2.653433028854124e-14,0.06667862105097389,0.006088540374238236,0.10898308133140037,-0.9003192222068771,0.09620413037104299,1.0376518858430779,SNA,0,8refperms
2.4915603337339274,2.163688264659289,0.25670269143720414,0.07116937763743299,5.756506382681437e-14,0.06479001764435399,0.016746936083795065,0.10898308133140037,-1.0036191477412981,0.09620413037104299,0.6963029888206832,SNA,0,MUT_identity_perm
3.341102397667521,2.176552509093562,1.151701354059635,0.012848534514319958,2.305655666390294e-13,0.06604703326320516,0.0062337157247976255,0.10898308133140037,-1.5080410709248844,0.0068287496129050855,0.9212155589999887,SNA,1,8refperms
3.4459327958645316,2.2153625438156115,1.151701354059635,0.0788688979892805,2.1582735598713043e-13,0.06731667213351306,0.01904312640536965,0.10898308133140037,-1.591457357309821,0.0068287496129050855,0.7732721284083035,SNA,1,MUT_identity_perm
3.2636700072151497,2.1995600059015517,1.0848321997797497,-0.020722198466153828,1.52433621281034e-13,0.06567659523679076,0.0053486833825304395,0.10898308133140039,-1.4475223564561117,-0.008049636723008007,0.9967185609355748,SNA,2,8refperms
3.229428985188861,2.1231859422052484,1.0848321997797497,0.02141084320386363,1.0486056467584604e-13,0.06343967046817943,0.01609372281099463,0.10898308133140039,-1.478477919391442,-0.008049636723008007,0.7880848285896396,SNA,2,MUT_identity_perm
