,LIN,LR,ELU03,ELU1,SNA
a_fit,0.06532387018409203,0.06561896772364491,0.06885290907696416,0.06884802988638784,0.0659824892455248
g_fit,0.1629398874991098,0.09872008877786924,0.09401398899637838,0.09429940363516663,0.09239554494746266
R2_fit,0.9651195255649186,0.9701841176019873,0.9988443151113,0.999319832475004,0.9979247201668959
R2_theory_0param,0.9109605755201876,0.9623758763535232,0.9716710536303087,0.9721813059484078,0.9266986123532487
R2_MUT_shuffle_zbar,0.4836608909595693,0.587681101596404,-0.06602203085240821,-0.10589554061256967,0.024983137439011927
g_MUT,-0.0005107019399631328,-0.0020061066372592325,0.0033543243360163897,0.01063840886155997,-2.9525282805733834e-05
N120,7.137184005187099,8.396231536853593,8.11104907944181,8.270829511699906,6.16571039734414
sig120,1.882068602552102,2.7082827562003544,3.4040484640194,4.481588830564934,1.85665806112588
s2_over_N2,0.06936563047084304,0.10206981345777091,0.17405284647827393,0.289926890709833,0.09117302770855602
width_term,3.3444926177637275,4.629656436866473,4.365871631075657,4.649227911588842,2.4960692209208157
offset_term,0.16839006350772637,3.000960866707036,8.161631192220714,17.576232849973984,1.2966619887011805
pred_s2,3.522888885484654,7.713460301931517,12.52750282329637,22.225460761562825,3.806395833283088
act_s2,3.542182224712422,7.334795487532189,11.587545945392838,20.08463844624437,3.4471791559437124
off_frac,0.0475385095472883,0.4091403600561353,0.7043450986673969,0.8889300598853331,0.3592539768410111
zbar120,0.05869337414240825,-4.260338054668588,-4.85985744753044,-6.919548606078888,-1.4168130536080144
rms_zbar_i,1.2430216387506534,5.247477978406464,8.653841600122425,12.699404524847216,3.4493228748023035
sig_width,1.828795400738893,2.1516636439895698,2.0894668293791256,2.156206834139258,1.5798953196084908
depth_over_sigwidth,0.032155161003985286,-1.9800204676829312,-2.3258839906898747,-3.2308790772595053,-0.8997741232694153
N20,3.2092869132728765,3.7163948253020602,3.742964558818185,3.69849660288866,3.1256405190991643
sig20,0.8576507001642002,1.1861720619958496,1.259400631711926,1.3869827712173128,0.8823770751233588
