act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
R,shell,0.001,7,47,W2,2,10000,114.2702875,10.68972813,5.760497905,1.855695169,0.01797918057,12.05152995,0.1142702875,0.145239374,0.02429731062,0.1209420634,0.02429731062
R,shell,0.001,7,47,b2,1,100,0.8674802295,0.9313861871,0.5641771445,1.650875432,0.0892731724,1.044966939,0.0008674802295,0.001091955904,0.000134842481,0.0009571134226,0.000134842481
R,shell,0.001,7,47,W3,2,1000,65.29551911,8.080564282,1.798424716,4.493134581,-0.03238218646,8.334928014,0.06529551911,0.069471025,0.03946527753,0.03000574747,0.03946527753
R,shell,0.001,7,47,b3,1,10,0.07463990304,0.2732030436,0.2017703883,1.354029429,0.2170114632,0.3023673089,7.463990304e-05,9.142598949e-05,5.10262425e-06,8.632336524e-05,5.10262425e-06
R,shell,0.001,7,48,W1,2,78400,163.6880757,12.79406408,5.786084585,2.211178197,0.002790953883,14.02688973,0.1636880757,0.1967536356,0.0491117766,0.147641859,0.0491117766
R,shell,0.001,7,48,b1,1,100,0.2774510938,0.5267362659,0.2051006753,2.568183967,-0.07004169037,0.5784904007,0.0002774510938,0.0003346511437,0.0001034494531,0.0002312016905,0.0001034494531
R,shell,0.001,7,48,W2,2,10000,114.2147871,10.68713185,5.760497905,1.855244464,0.01323474625,12.0734658,0.1142147871,0.1457685765,0.02427172199,0.1214968545,0.02427172199
R,shell,0.001,7,48,b2,1,100,1.050354003,1.024867798,0.5641771445,1.816570926,0.0841077556,1.127557746,0.001050354003,0.00127138647,0.0002122358782,0.001059150591,0.0002122358782
R,shell,0.001,7,48,W3,2,1000,65.64546088,8.102188648,1.798424716,4.50515864,-0.02745412057,8.347446915,0.06564546088,0.06967987,0.03973743971,0.0299424303,0.03973743971
R,shell,0.001,7,48,b3,1,10,0.06242999047,0.2498599417,0.2017703883,1.238338013,-0.158855096,0.345193321,6.242999047e-05,0.0001191584289,2.31260515e-06,0.0001168458237,2.31260515e-06
