variant,seed,task,dtype,act,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc,eps_w2_end,zbar2,zbar2_unit_min,z2_max,z2_min,gtr2,zero2,below_2p24_2,log10_g2_median,deadunits2,neffT2,zero_share_below_m1664,state_sha256,sec
f64_felu,1,1,torch.float64,F.elu,0.7878645833333333,0.6232184179129884,0.0975,2.3241672229766848,0.9551666666666667,0.11916666666666667,True,0.1697196358190922,0.21863522512527805,0.2136010789602854,0.2872521812484289,0.19094771275103994,0.3025933599565178,0.4489795918367347,0.0,0.0,0.2219515306122449,0.0,0.0,0.22193877551020408,0.0,0.0,0.22193877551020408,0.0,0.0,0.9991666674613953,0.0,0.14105590707107302,-0.6291905960425569,8.432990621516618,-7.359610789307321,0.7491529075739626,0.0,0.0,0.0,0.0,0.8438163390366653,0.0,43e6224acdadfbb6a0aa203a48f6021709cb4d6ec2bc4a575f4123459ceedab1,5.045787334442139
f64_felu,1,2,torch.float64,F.elu,0.7430729166666666,0.7649180242839114,0.1175,4.837973286310832,0.98325,0.12,True,0.12826143670887782,0.4042559775795477,0.18763621274213924,0.7570827189677706,0.17423055059604545,1.066964837955311,0.22193877551020408,0.0,0.0,0.22193877551020408,0.0,0.0,0.22193877551020408,0.0,0.0,0.22206632653061226,0.0,0.0,1.0,0.0,-0.2999375272157035,-2.9194282868944605,13.401804603766404,-10.039486726729661,0.6176716263452053,0.0,0.0,-0.13557561102647156,0.0,0.7154671148568176,0.0,fe14e954acf0cf8e19678d1f5c1cd79f6550b98eec1b95a98e2884d00223159c,4.904286861419678
f64_felu,1,3,torch.float64,F.elu,0.764125,0.6975942071453998,0.09583333333333334,5.04599954922994,1.0,0.10916666666666666,True,0.10456861951949273,0.5083978358500947,0.14034239549391714,0.8278688505136718,0.14034832705040876,1.1256688130864252,0.22206632653061226,0.0,0.0,0.22206632653061226,0.0,0.0,0.22207908163265305,0.0,0.0,0.22253826530612245,0.0,0.0,1.0,0.0,-0.7979096555205252,-4.628909588037676,17.681939939779674,-13.615759665098958,0.5308238771735437,0.0,0.0,-0.31516504856618616,0.0,0.6099717847301712,0.0,b69f6a41fde9f27288ee6ab3025155ebf7965d99999e2186254e0d55bdb70872,4.944059133529663
f64_felu,1,4,torch.float64,F.elu,0.7470729166666666,0.7516839724500314,0.09583333333333334,5.349520584742228,1.0,0.115,True,0.11278834892224646,0.6469994068417387,0.15770093612748798,0.9688596355651194,0.15311735962177409,1.3059787615202367,0.22253826530612245,0.0,0.0,0.2223469387755102,0.0,0.0,0.22239795918367347,0.0,0.0,0.2239030612244898,0.0,0.0,1.0,0.0,-2.7384436545132242,-8.220627275060417,21.62505316331054,-26.966868837633374,0.34319813846225383,0.0,0.0017666666666666666,-1.1885331976660236,0.0,0.39497855758989253,0.0017666666666666666,9bd7643206d780a31f5c6cf51467679cbd5703ba6eac15c92b1c629170692116,4.963234186172485
f64_felu,1,5,torch.float64,F.elu,0.7199895833333333,0.809005764410637,0.09916666666666667,4.809164113998413,0.9999166666666667,0.11583333333333333,True,0.13235201582241038,0.6652586245521281,0.15487275292010355,0.8451048046117648,0.1683212208502785,1.1193337850272655,0.22389030612244898,0.0,0.0,0.22363520408163265,0.0,0.0,0.22373724489795918,0.0,0.0,0.22589285714285715,0.0,0.0,1.0,0.0,-6.486535523741459,-14.148275370525292,24.546333406524628,-42.69921078294134,0.19986957914595388,0.0,0.068375,-2.7402704959377595,0.0,0.22812439359321782,0.068375,b4b33d269e20f94a5c8b821fea3d14243bcca1cbc24357b1697fc658602f8015,5.017876386642456
f64_felu,1,6,torch.float64,F.elu,0.6451875,0.9843075728245312,0.10416666666666667,4.5542516549428305,0.9864166666666667,0.12166666666666667,True,0.15646633368851326,0.6922572236120079,0.18046590895270737,0.7932730385800822,0.19718761396810197,1.221685626854499,0.22589285714285715,0.0,0.0,0.2256122448979592,0.0,0.0,0.22622448979591836,0.0,0.0,0.2290688775510204,0.0,0.0,0.9925000071525574,0.0,-10.330086915221143,-27.566419116628126,32.21101279730571,-82.14490310745208,0.14373364723828758,0.0,0.22804166666666667,-4.291293585762435,0.0,0.16153728142764107,0.22804166666666667,ed73700bc8cf226b68f8d92196c0dcd1bb84bc8067b8b45a2f0ab60345555823,4.958626747131348
f64_felu,1,7,torch.float64,F.elu,0.492125,1.332914334440759,0.10333333333333333,4.519547643661499,0.8426666666666667,0.115,True,0.164277580840159,0.6345965627891322,0.17100553392083384,0.6997036020038649,0.22139110453887648,0.8781182878495504,0.2290688775510204,0.0,0.0,0.2283545918367347,0.0,0.0,0.22963010204081633,0.0,0.0,0.23081632653061224,0.0,0.0,0.8733333349227905,0.0,-17.23686229675863,-38.66326798522818,35.16342565703177,-116.23006644598632,0.07702302503861523,0.0,0.4948416666666667,-7.159958266023005,0.0,0.08546992431426784,0.4948416666666667,d06d362f6d42cff7198a82073f32611bb7190c35a584b16a6a477b43ce0d93fb,11.325243711471558
f64_felu,1,8,torch.float64,F.elu,0.34136458333333336,1.690760717699925,0.09083333333333334,3.9120653597513835,0.58225,0.11333333333333333,True,0.15329137668716913,0.5826324792966868,0.15511722959733257,0.6274339153120915,0.2225994126711157,0.48348685222057003,0.23081632653061224,0.0,0.0,0.2299872448979592,0.0,0.0,0.23168367346938776,0.0,0.0,0.23403061224489796,0.0,0.0,0.6141666769981384,0.0,-26.38141337607228,-57.29626121412356,38.54596870408107,-156.51737339211843,0.03274907097346613,0.0,0.731275,-10.945243687578346,0.0,0.036493578884993806,0.731275,471c957e1d2b57506edcc055ede55a6e90fa653a70a8160104b49d43ca88072c,8.669320583343506
f64_felu,1,9,torch.float64,F.elu,0.21326041666666667,2.0079530981381732,0.11,3.194856758117676,0.3383333333333333,0.11333333333333333,True,0.14926058898375533,0.507893313964208,0.14077455735484062,0.5144426014157943,0.22163182645635968,0.34761294877777493,0.23387755102040816,0.0,0.0,0.23269132653061225,0.0,0.0,0.2347704081632653,0.0,0.0,0.23719387755102042,0.0,0.0,0.37166666984558105,0.0,-36.263105925343154,-80.3264466707201,42.94719033385265,-203.21411346341586,0.013151187281018576,0.0,0.8692833333333333,-14.884030167834817,0.0,0.014853092740877158,0.8692833333333333,049d112004e982df6e94c25d4652ab0c5f6d75624feab47efe28c7ef87aa3cab,5.216212272644043
f64_felu,1,10,torch.float64,F.elu,0.14589583333333334,2.197636929253737,0.08083333333333333,3.0493596680959065,0.20916666666666667,0.11416666666666667,True,0.11962724082582099,0.525185531975391,0.09600474732057288,0.5054071153669307,0.21938350795486863,0.28614745669377345,0.23719387755102042,0.0,0.0,0.23683673469387756,0.0,0.0,0.23964285714285713,0.0006,0.0,0.24676020408163266,0.0167,0.0,0.23250000178813934,0.0167,-49.03834638041288,-99.87776317652396,47.233316641816224,-240.8163571567414,0.004685030202302939,0.0,0.9496583333333334,-20.38674001488673,0.0,0.005970538245205961,0.9496583333333334,83750316777eab169b77265743dc735048fcb1148e5f062e0fd6950a6f49e9f5,5.075866460800171
f64_felu,1,11,torch.float64,F.elu,0.13926041666666666,2.201154753049215,0.10166666666666667,2.724957338968913,0.196,0.11083333333333334,True,0.12755271207936403,0.4763526818715036,0.10423682184440015,0.4152496386086568,0.21275720148332766,0.27662161136201274,0.2467091836734694,0.0167,0.0,0.24622448979591838,0.0168,0.0,0.2506760204081633,0.021,0.0,0.2563265306122449,0.0497,0.0,0.22499999403953552,0.0497,-53.52385618360584,-106.44871260986385,68.93506610007422,-260.93370309452087,0.003838531461301782,0.0,0.9603833333333334,-22.155280593175522,0.0,0.0049887044122948945,0.9603833333333334,3183781ef9579144f8710225a367fa8346d3c3757d6f196f56ff8601e2fbee28,5.1039557456970215
f64_felu,1,12,torch.float64,F.elu,0.11582291666666666,2.272062112689018,0.09583333333333334,2.7938997236887615,0.13475,0.11083333333333334,True,0.1009923413987508,0.49118310348906863,0.06509958090312769,0.42330070010696846,0.21350542570022904,0.282965762889944,0.2563265306122449,0.0497,0.0,0.2553698979591837,0.0508,0.0,0.2613265306122449,0.0571,0.0,0.27584183673469387,0.1364,0.0,0.14666666090488434,0.1364,-63.5780289739831,-121.88997051037161,76.308905786842,-292.55854955271695,0.001468051025839821,0.0,0.9846416666666666,-26.404120199092148,0.0,0.002555036527001441,0.9846416666666666,0f83024fe302c2c3b5b4edb3410e95541501fd0d53b10ae942ce8f9841d30939,5.2700254917144775
f64_felu,1,13,torch.float64,F.elu,0.11278125,2.27943503032128,0.10916666666666666,2.670522600809733,0.13675,0.10916666666666666,True,0.11468309550309641,0.4624397160174946,0.07675369752185664,0.3478895019118985,0.21334366843560323,0.26414220046717674,0.2758035714285714,0.1364,0.0,0.2750255102040816,0.1368,0.0,0.2816709183673469,0.1715,0.0,0.2896173469387755,0.2565,0.0,0.1616666615009308,0.2565,-66.04691520152555,-125.4998790675997,72.82543540823298,-306.356224215417,0.0017968763300547786,0.0,0.9818833333333333,-27.582607190913745,0.0,0.002834685282999534,0.9818833333333333,c7a3798e273a07b8074d3f4c53dd5c48a7bb6b3b1e60173f14163e0cc2a227a9,5.138350963592529
f64_felu,1,14,torch.float64,F.elu,0.11645833333333333,2.274300506035487,0.09416666666666666,2.617086976369222,0.14125,0.11083333333333334,True,0.1052891528318014,0.3988920800232639,0.07555769206840068,0.31958445761119947,0.21318405755664568,0.2314896344129617,0.28959183673469385,0.2565,0.0,0.288890306122449,0.2529,0.0,0.29651785714285717,0.305,0.0,0.29049744897959184,0.3825,0.0,0.1341666728258133,0.3825,-70.96392528972851,-131.67641481530725,98.34585536222397,-318.1449475330883,0.0013757288998417264,0.0,0.9861916666666667,-29.43543267322675,0.0,0.0024813539461404797,0.9861916666666667,732441e9f89c258bc0bd5cff64ced464d6614cb14523c434dfbdfeaec90862b8,4.971928834915161
