arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.8197460937,1,1,0,0,-6.752968311,37.98793411,-18.55903435,0.4772500694,77.12348659,0,0,-44.99008179,41.45455933,-77.63724518,0.201249972,84.5463189,10.94893456,1.88186276,0.9259489775,3200,2700,303200,1700,2200,1200,1,1200
LR,std,1,1,0.001,1,none,0.829140625,1,1,0,0,-8.127182961,39.15588379,-24.69106674,0.4757500887,77.00793441,0,0,-46.4881134,41.8128891,-79.61580658,0.1892499626,84.37238548,10.90048409,1.898342967,0.9015515447,3200,2400,303200,1600,1900,1200,1,1199
LR,std,2,2,0.001,1,none,0.8172265625,1,1,0,0,-9.916040421,39.15545273,-23.71533203,0.4577501416,75.53029588,0,0,-45.67610931,41.25088501,-80.54177856,0.1982499808,83.8205556,10.95119858,1.89636445,0.9197028279,3200,2600,303200,1800,2100,1200,1,1199
LR,std,3,3,0.001,1,none,0.8122265625,1,1,0,0,-8.446678162,38.50841522,-18.08923531,0.4735001326,76.86572214,0,0,-45.90872574,41.3417778,-80.92102051,0.1959999651,85.42319647,11.06688404,1.924280524,0.981349647,3200,2600,303200,1900,2100,1200,1,1199
LR,std,4,4,0.001,1,none,0.81765625,1,1,0,0,-6.630553722,36.86735535,-14.97598648,0.4855001569,77.0892706,0,0,-43.13500595,40.47816849,-89.98233032,0.2027499676,84.12412751,10.95328236,1.889270306,0.9635956287,3200,2500,303200,1700,2000,1200,1,1200
LR,std,5,5,0.001,1,none,0.829296875,1,1,0,0,-6.961366653,36.89075851,-21.75852013,0.4765000939,77.05674258,0,0,-41.62072754,39.43995285,-79.3514328,0.2072499692,84.93682503,10.9293375,1.883805513,0.9339342713,3200,2300,303200,1700,1800,1200,1,1200
LR,std,6,6,0.001,1,none,0.8199609375,1,1,0,0,-6.61105299,37.68743515,-13.27317047,0.4802500904,76.71438975,0,0,-44.83914566,39.67711258,-82.806427,0.1847499609,83.01523094,10.85612106,1.820351481,0.9208737016,3200,2300,303200,1700,1800,1200,1,1199
LR,std,7,7,0.001,1,none,0.8266992187,1,1,0,0,-7.729486465,39.46444321,-20.39295006,0.4720000923,76.92507237,0,0,-42.32480621,40.88927841,-73.15654755,0.2019999921,85.66345786,11.14781284,1.89510107,0.9060484171,3200,2600,303200,1700,2100,1200,1,1200
LR,std,8,8,0.001,1,none,0.8229101562,1,1,0,0,-7.371338844,39.3594017,-18.72830391,0.473500073,76.66756333,0,0,-47.31186295,41.4765625,-84.91760254,0.1884999573,83.69103372,11.08773041,1.87247622,0.9600040913,3200,2500,303200,1700,2000,1200,1,1200
LR,std,9,9,0.001,1,none,0.811875,1,1,0,0,-6.049910545,38.66657639,-16.74415779,0.487750113,76.93917308,0,0,-54.09548569,43.80247116,-89.25585938,0.174249962,82.71357398,11.20762444,1.884068012,0.9344064593,3200,3200,303200,1800,2700,1200,1,1200
