seed,unit,switch,t0,t1,p_hat,pre_max,x,r,w_norm,b,v,utility_raw,utility_nmse,eval_nmse,y_var,end_strict_dead,end_dead_0_05,utility_group,p_bin,margin_bin,utility_cell_group
0,0,200000,200001,210000,0.6875,2.001035073772073,0.11538344835212394,2.0653832879008704,2.0686037479647563,0.021275902166962624,1.0243802070617676,1.4469554777366311,0.5512211343758596,0.8068955616934144,2.6249999999999996,0,0,high,high,high,high
0,10,200000,200001,210000,0.8125,3.835358552634716,0.515186322138786,2.4893772416250957,2.5421282417769286,-0.19024880230426788,-0.6132996678352356,-0.43574682579882007,-0.16599879078050292,0.8068955616934144,2.6249999999999996,0,0,low,high,high,low
0,15,200000,200001,210000,0.0625,0.08625899627804756,-0.2280660574618807,1.5362121775756012,1.5530492526310222,0.0,-0.00858626514673233,-0.00013265846915727161,-5.0536559678960626e-05,0.8068955616934144,2.6249999999999996,0,0,mid,low,low,mid
0,20,200000,200001,210000,0.375,2.459542840719223,-0.11472249003271497,3.1865461763293665,3.188610635307894,-0.2665552496910095,-0.8789001703262329,-0.48952472165399286,-0.18648560824914018,0.8068955616934144,2.6249999999999996,0,0,low,mid,high,low
0,21,200000,200001,210000,0.15625,1.1656580092094373,-0.22022954032645053,2.302639261689943,2.313146908414683,-0.32381242513656616,-1.346739649772644,-0.3852334443199347,-0.14675559783616562,0.8068955616934144,2.6249999999999996,1,1,low,low,mid,low
0,24,200000,200001,210000,0.1875,1.4510095119476318,-0.03277771990955414,2.328356219026099,2.3285869237801666,-0.4561290442943573,1.2294962406158447,0.6719206311062871,0.25596976423096657,0.8068955616934144,2.6249999999999996,0,0,high,mid,mid,high
0,25,200000,200001,210000,0.125,0.35965847223997116,-0.06530309988253352,1.2621649743090384,1.263853202403983,-0.284594863653183,0.31156063079833984,0.006345438789528984,0.002417310015058661,0.8068955616934144,2.6249999999999996,0,0,mid,low,low,mid
0,28,200000,200001,210000,0.0625,0.15228815376758575,-0.14785477857906063,1.4721331785381262,1.4795394996083848,0.0,0.0529748797416687,0.0006808632439660153,0.0002593764738918154,0.8068955616934144,2.6249999999999996,0,0,mid,low,low,mid
0,37,200000,200001,210000,0.0625,0.7395593374967575,-0.804795155225259,3.192384434821673,3.2922657276662437,-0.09541167318820953,1.2832229137420654,0.11684975962679414,0.04451419414354063,0.8068955616934144,2.6249999999999996,0,0,mid,low,mid,mid
0,38,200000,200001,210000,0.4375,0.328103338368237,0.006214099222908803,1.45162857405333,1.4516418745810744,-0.049542028456926346,0.09784694761037827,0.011902554719601537,0.004534306559848205,0.8068955616934144,2.6249999999999996,0,0,mid,high,low,mid
0,42,200000,200001,210000,0.28125,3.0131645500659943,-0.3087350523326378,3.912872926678392,3.925033996396918,-0.09035470336675644,-1.2557731866836548,0.722208888071305,0.2751271954557353,0.8068955616934144,2.6249999999999996,0,0,high,mid,high,high
0,48,200000,200001,210000,0.09375,1.683469571173191,-0.6199098773996792,4.0198091538118375,4.067327610258009,-0.5122436881065369,1.5530964136123657,0.3560533056019409,0.13563935451502512,0.8068955616934144,2.6249999999999996,0,0,high,low,high,
0,62,200000,200001,210000,0.0625,1.3607584349811077,-0.6926673138994558,3.6081486174052313,3.6740338121781035,-0.3816549479961395,-1.732357382774353,0.08053915765680295,0.03068158386925827,0.8068955616934144,2.6249999999999996,0,0,mid,low,mid,mid
0,63,200000,200001,210000,0.65625,1.054754190146923,0.06126864712528994,1.6353919177548935,1.6365392056955406,-0.016023598611354828,-0.45191800594329834,-0.1089483757158357,-0.04150414312984218,0.8068955616934144,2.6249999999999996,1,1,low,high,mid,low
0,66,200000,200001,210000,0.78125,2.7123813927173615,0.26541730245529754,2.2073968711938026,2.223296492013343,-0.06845466792583466,0.5125060677528381,1.0560196110122355,0.4022931851475184,0.8068955616934144,2.6249999999999996,0,0,high,high,high,high
0,67,200000,200001,210000,0.5,1.5289548449218273,0.0034609965512299307,1.8055732517315135,1.8055765688182372,-0.027910519391298294,1.04878830909729,0.8515481833660545,0.3243993079489732,0.8068955616934144,2.6249999999999996,1,1,high,high,high,high
0,69,200000,200001,210000,0.71875,4.794968459755182,0.26813859270464,3.692873812654776,3.702595751778615,0.04260878264904022,-1.038114070892334,0.8579949520393806,0.326855219824526,0.8068955616934144,2.6249999999999996,0,0,high,high,high,high
0,77,200000,200001,210000,0.15625,0.9355187490582466,-0.3333209977784214,2.160824350325202,2.186381659390312,-0.1270217001438141,-1.3200181722640991,-0.04435274273920843,-0.01689628294826988,0.8068955616934144,2.6249999999999996,0,1,low,low,mid,mid
0,78,200000,200001,210000,0.15625,1.3820423856377602,-0.4515763400131436,3.3364805847157926,3.366901228584691,-0.45182010531425476,1.2210124731063843,0.177819871487398,0.06774090342377068,0.8068955616934144,2.6249999999999996,0,1,high,low,mid,high
