seed,n_step,required_steps_present,quant_error,geometry_rel_error,dead_margin_mismatch,finite,ok
0,122,True,0.0,4.118347582962558e-16,0,True,True
1,122,True,0.0,3.987090029050706e-16,0,True,True
2,122,True,0.0,4.0186326570061566e-16,0,True,True
3,122,True,0.0,3.9136720139983017e-16,0,True,True
4,122,True,0.0,4.252410644591989e-16,0,True,True
5,122,True,0.0,4.1878575758039427e-16,0,True,True
6,122,True,0.0,4.315692663517959e-16,0,True,True
7,122,True,0.0,4.309341505056614e-16,0,True,True
8,122,True,0.0,3.9690468010808493e-16,0,True,True
9,122,True,0.0,4.1013830754090496e-16,0,True,True
