analysis,outcome,rd,ci_lo,ci_hi,rough_n_seed
unadjusted_t0_tertile,end_strict_dead,-0.3223648870790678,-0.35910338069671627,-0.28383853899113065,
unadjusted_t0_tertile,end_dead_0_05,-0.3723894548027383,-0.39713551524216656,-0.34934834417697425,
phat_margin_3x3_adjusted,end_strict_dead,-0.23437859152222199,-0.2749463852690672,-0.2021831297418895,
phat_margin_3x3_adjusted,end_dead_0_05,-0.26146010010679804,-0.2927865582346447,-0.23137250688162062,
