seed,group,n,n_event,risk,analysis,outcome
0,low,200,82,0.41,unadjusted_t0_tertile,end_strict_dead
0,mid,221,66,0.2986425339366516,unadjusted_t0_tertile,end_strict_dead
0,high,217,19,0.08755760368663594,unadjusted_t0_tertile,end_strict_dead
1,low,147,67,0.4557823129251701,unadjusted_t0_tertile,end_strict_dead
1,mid,140,56,0.4,unadjusted_t0_tertile,end_strict_dead
1,high,140,19,0.1357142857142857,unadjusted_t0_tertile,end_strict_dead
2,low,434,119,0.27419354838709675,unadjusted_t0_tertile,end_strict_dead
2,mid,419,97,0.2315035799522673,unadjusted_t0_tertile,end_strict_dead
2,high,374,26,0.06951871657754011,unadjusted_t0_tertile,end_strict_dead
3,low,185,95,0.5135135135135135,unadjusted_t0_tertile,end_strict_dead
3,mid,162,58,0.35802469135802467,unadjusted_t0_tertile,end_strict_dead
3,high,202,18,0.0891089108910891,unadjusted_t0_tertile,end_strict_dead
4,low,148,63,0.42567567567567566,unadjusted_t0_tertile,end_strict_dead
4,mid,152,61,0.40131578947368424,unadjusted_t0_tertile,end_strict_dead
4,high,194,12,0.061855670103092786,unadjusted_t0_tertile,end_strict_dead
5,low,378,133,0.35185185185185186,unadjusted_t0_tertile,end_strict_dead
5,mid,370,102,0.2756756756756757,unadjusted_t0_tertile,end_strict_dead
5,high,341,11,0.03225806451612903,unadjusted_t0_tertile,end_strict_dead
6,low,240,94,0.39166666666666666,unadjusted_t0_tertile,end_strict_dead
6,mid,216,83,0.38425925925925924,unadjusted_t0_tertile,end_strict_dead
6,high,269,23,0.08550185873605948,unadjusted_t0_tertile,end_strict_dead
7,low,215,106,0.4930232558139535,unadjusted_t0_tertile,end_strict_dead
7,mid,264,100,0.3787878787878788,unadjusted_t0_tertile,end_strict_dead
7,high,210,22,0.10476190476190476,unadjusted_t0_tertile,end_strict_dead
8,low,380,118,0.3105263157894737,unadjusted_t0_tertile,end_strict_dead
8,mid,339,78,0.23008849557522124,unadjusted_t0_tertile,end_strict_dead
8,high,339,22,0.06489675516224189,unadjusted_t0_tertile,end_strict_dead
9,low,170,65,0.38235294117647056,unadjusted_t0_tertile,end_strict_dead
9,mid,171,64,0.3742690058479532,unadjusted_t0_tertile,end_strict_dead
9,high,186,10,0.053763440860215055,unadjusted_t0_tertile,end_strict_dead
0,low,200,109,0.545,unadjusted_t0_tertile,end_dead_0_05
0,mid,221,95,0.4298642533936652,unadjusted_t0_tertile,end_dead_0_05
0,high,217,42,0.1935483870967742,unadjusted_t0_tertile,end_dead_0_05
1,low,147,90,0.6122448979591837,unadjusted_t0_tertile,end_dead_0_05
1,mid,140,68,0.4857142857142857,unadjusted_t0_tertile,end_dead_0_05
1,high,140,38,0.2714285714285714,unadjusted_t0_tertile,end_dead_0_05
2,low,434,190,0.4377880184331797,unadjusted_t0_tertile,end_dead_0_05
2,mid,419,147,0.35083532219570407,unadjusted_t0_tertile,end_dead_0_05
2,high,374,45,0.12032085561497326,unadjusted_t0_tertile,end_dead_0_05
3,low,185,115,0.6216216216216216,unadjusted_t0_tertile,end_dead_0_05
3,mid,162,67,0.41358024691358025,unadjusted_t0_tertile,end_dead_0_05
3,high,202,41,0.20297029702970298,unadjusted_t0_tertile,end_dead_0_05
4,low,148,89,0.6013513513513513,unadjusted_t0_tertile,end_dead_0_05
4,mid,152,72,0.47368421052631576,unadjusted_t0_tertile,end_dead_0_05
4,high,194,31,0.15979381443298968,unadjusted_t0_tertile,end_dead_0_05
5,low,378,172,0.455026455026455,unadjusted_t0_tertile,end_dead_0_05
5,mid,370,132,0.3567567567567568,unadjusted_t0_tertile,end_dead_0_05
5,high,341,28,0.08211143695014662,unadjusted_t0_tertile,end_dead_0_05
6,low,240,119,0.49583333333333335,unadjusted_t0_tertile,end_dead_0_05
6,mid,216,100,0.46296296296296297,unadjusted_t0_tertile,end_dead_0_05
6,high,269,41,0.1524163568773234,unadjusted_t0_tertile,end_dead_0_05
7,low,215,132,0.6139534883720931,unadjusted_t0_tertile,end_dead_0_05
7,mid,264,129,0.48863636363636365,unadjusted_t0_tertile,end_dead_0_05
7,high,210,47,0.22380952380952382,unadjusted_t0_tertile,end_dead_0_05
8,low,380,182,0.4789473684210526,unadjusted_t0_tertile,end_dead_0_05
8,mid,339,108,0.3185840707964602,unadjusted_t0_tertile,end_dead_0_05
8,high,339,48,0.1415929203539823,unadjusted_t0_tertile,end_dead_0_05
9,low,170,88,0.5176470588235295,unadjusted_t0_tertile,end_dead_0_05
9,mid,171,84,0.49122807017543857,unadjusted_t0_tertile,end_dead_0_05
9,high,186,20,0.10752688172043011,unadjusted_t0_tertile,end_dead_0_05
