arm,run_id,seed,step,task,task_end,layer,median_M,q25_M,q75_M,median_B,n_na,mu_norm,sigma_rms,dose,w_norm_median,w_norm_q25,w_norm_q75,eff_rank,eff_rank_W,strict_dead,alive,eff_rank_per_alive,strict_dead_frac,signal_var,residual_var,unfit,eval_loss_exact
L1,L1_seed0,0,0,,0,1,-0.39751541021512576,-2.40985280651934,1.7552712665663013,0.0,0,3.0413812651491097,0.25,12.165525060596439,1.433159995086618,1.3299471840630235,1.5238042922786845,7.693051247771464,19.418931726692932,31,69,0.11149349634451397,0.31,0.609375,0.6640872298013484,1.0897841719816999,1.185914538444736
L1,L1_seed1,1,0,,0,1,0.21717884472108095,-1.0844514158161163,1.9470345493850436,0.0,0,2.692582403567252,0.25,10.770329614269007,1.4034852185123632,1.3286446448874458,1.5038822480913585,8.298690200298624,19.48557744431472,15,85,0.09763164941527794,0.15,1.7724609374999993,1.4767921658320304,0.8331874257917354,8.218121549143195
L1,L1_seed2,2,0,,0,1,0.3119863294835069,-0.9117175163224781,1.345568190245217,0.0,0,2.692582403567252,0.25,10.770329614269007,1.40294255361071,1.301159374765984,1.4601038547529184,9.664537011233879,19.48113934113108,20,80,0.12080671264042349,0.2,1.0000000000000002,1.113695406241528,1.1136954062415279,2.4115233622509558
L1,L1_seed3,3,0,,0,1,0.17246085744560544,-1.4889024118215064,2.1386472521116318,0.0,0,2.692582403567252,0.25,10.770329614269007,1.4143324234238932,1.2885642536833097,1.5003283073438372,7.000204135968103,19.447214973202605,20,80,0.08750255169960128,0.2,0.80859375,0.8178649791711605,1.0114658679604691,2.4952795285354905
L1,L1_seed4,4,0,,0,1,0.493438189755503,-2.0102288417134377,2.5012959549113263,0.0,0,3.0413812651491097,0.25,12.165525060596439,1.408769796817837,1.2842639859755085,1.5109512239855547,6.836610108779294,19.46650289883336,26,74,0.09238662309161208,0.26,1.6865234374999996,1.7458844874441355,1.0351972872859265,2.5963764774087488
L1,L1_seed5,5,0,,0,1,0.12010600520295356,-1.3161487882846465,1.370317718162242,0.0,0,2.29128784747792,0.25,9.16515138991168,1.4165725149079762,1.3283752353779767,1.5282474024009178,10.142430156319252,19.468585261080893,17,83,0.1221979536905934,0.17,1.1708984375000002,1.1018746702973663,0.9410505941488765,1.49060258711039
L1,L1_seed6,6,0,,0,1,0.3331927185524556,-1.4506500991609306,2.1580935871017535,0.0,0,3.0413812651491097,0.25,12.165525060596439,1.439350788645371,1.338844665115099,1.496113851995215,7.478450518802231,19.34994527405305,22,78,0.09587757075387475,0.22,2.12109375,2.052806378225544,0.9678055853144371,2.058082605706156
L1,L1_seed7,7,0,,0,1,-0.5374053467461026,-2.2271620890099095,1.3573315867642726,0.0,0,2.8722813232690143,0.25,11.489125293076057,1.4169896912927742,1.2957160676384216,1.4980940069296667,7.50996738189088,19.51682472968846,30,70,0.10728524831272686,0.3,3.0273437499999996,2.4874709507897994,0.8216678237447597,2.8224698964018193
L1,L1_seed8,8,0,,0,1,0.693831937942792,-1.2819648263127292,2.376196824409046,0.0,0,3.2015621187164243,0.25,12.806248474865697,1.4171320405469578,1.3033415575491627,1.4937644062051714,6.67493390051469,19.401037931798093,21,79,0.08449283418373026,0.21,1.5615234374999998,1.5126090185541392,0.9686751938708185,3.6918023512631915
L1,L1_seed9,9,0,,0,1,-0.058115354975082606,-1.5550560763834267,1.2979290988902634,0.0,0,2.692582403567252,0.25,10.770329614269007,1.4274366386533495,1.3255189405322279,1.5463237454264045,9.871829079682353,19.576879159170016,20,80,0.12339786349602941,0.2,1.7568359375000002,1.8284132448688912,1.040742169397301,2.050482166505752
L1,L1_seed0,0,1000,,0,1,-0.5656874913605341,-2.40985280651934,0.7103150639824342,-0.014255293419432925,0,3.0413812651491097,0.25,12.165525060596439,1.4236413797245275,1.3249132444120784,1.519038556400174,14.091303798490651,19.394400330686054,32,68,0.20722505586015663,0.32,0.609375,0.3236919644061982,0.5311868133845303,0.325177302875997
L1,L1_seed1,1,1000,,0,1,-0.055102939754114746,-1.2133158800659487,1.1212666063482046,-0.03688089775993911,0,2.692582403567252,0.25,10.770329614269007,1.3960569848103872,1.2959481397909387,1.5029108142019934,13.208131795335207,19.475800011719652,19,81,0.16306335549796552,0.19,1.7724609374999993,0.4867808132141312,0.27463556624312424,0.4962560798888618
