arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.8030637255,1,1,0,0,-21.58776665,81.06942749,-43.48384857,0.4525001049,79.19317409,0,0,-250.2203674,161.1359558,-394.0841064,0.1269999593,75.01698631,27.48383713,4.064646244,1.22654283,5100,4100,1445100,3100,3600,1200,1,1199
LR,std,1,1,0.001,1,none,0.766372549,1,1,0,0,-30.50522614,83.8647995,-60.98004532,0.4240001142,77.57333121,0,0,-226.8318329,153.5396118,-387.34021,0.124749966,74.62015271,27.02198029,4.086569309,1.177952409,5100,5000,1445100,4200,4500,1200,1,1199
LR,std,2,2,0.001,1,none,0.7737009804,1,1,0,0,-30.80576324,81.99716187,-58.407547,0.4187501073,77.12721477,0,0,-220.1760406,149.7473755,-336.1572876,0.124749966,74.5732343,27.20669174,4.130155563,1.206935883,5100,5100,1445100,4200,4600,1200,1,1200
LR,std,3,3,0.001,1,none,0.7824019608,1,1,0,0,-27.56175804,79.71835327,-48.43631744,0.4232500792,78.19224308,0,0,-203.7279968,141.4228821,-308.5931396,0.1307499409,76.5302569,26.61496735,3.829530239,1.036427498,5100,4800,1445100,3800,4300,1200,1,1199
LR,std,4,4,0.001,1,none,0.8140686275,1,1,0,0,-21.32965851,78.32098389,-39.36716843,0.4547501206,79.64759752,0,0,-229.4172974,152.4840546,-336.2831421,0.1322499663,78.16185237,27.26924515,4.117677212,1.120236158,5100,4000,1445100,3000,3500,1200,1,1196
LR,std,5,5,0.001,1,none,0.7947916667,1,1,0,0,-28.20330429,77.47894287,-48.02510071,0.4112501144,77.43799586,0,0,-170.3501892,126.9420013,-220.7421875,0.1359999478,79.39525155,26.0287571,3.598217487,0.8631316423,5100,5000,1445100,3300,4500,1200,1,1199
LR,std,6,6,0.001,1,none,0.8050857843,1,1,0,0,-20.99051094,78.58252716,-44.39673996,0.4487501085,79.03616138,0,0,-207.5041199,142.1968536,-282.8289185,0.1292499602,78.23027247,26.66405296,3.853787661,0.9576391578,5100,4700,1445100,3200,4200,1200,1,1199
LR,std,7,7,0.001,1,none,0.8037622549,0.8350000381,0.8350000381,0,0,-29.36950684,74.02713013,-53.7480278,0.4135001004,77.04732163,0,0,-169.3370514,125.3044434,-229.372406,0.1382499635,80.78728004,26.19396019,3.666924715,0.9580364823,5100,4300,1445100,3300,3800,1200,1,796
LR,std,8,8,0.001,1,none,0.807879902,1,1,0,0,-23.9250145,78.45561981,-48.98252869,0.4360001087,79.13494663,0,0,-221.6851654,150.9516296,-330.210907,0.1284999698,76.45075079,26.86638832,3.990941525,1.148755908,5100,4000,1445100,3100,3500,1200,1,1199
LR,std,9,9,0.001,1,none,0.7919117647,1,1,0,0,-25.64725685,74.7097702,-45.31587219,0.4210000634,77.75589937,0,0,-185.3965607,130.8062744,-246.5058441,0.133749947,77.48327749,25.99235344,3.659935713,0.8115910888,5100,4600,1445100,4000,4100,1200,1,1199
