step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,1072,481,195,218,1600,492,LR,l2,2,101
2,1076,550,249,162,1600,584,LR,l2,2,101
3,1101,571,300,197,1600,665,LR,l2,2,101
4,1114,562,234,114,1600,551,LR,l2,2,101
5,1133,564,249,198,1600,605,LR,l2,2,101
6,1115,490,246,194,1599,628,LR,l2,2,101
7,1117,519,291,186,1600,627,LR,l2,2,101
8,1130,506,296,207,1600,615,LR,l2,2,101
9,1136,539,321,278,1600,629,LR,l2,2,101
10,1138,584,317,121,1600,616,LR,l2,2,101
11,1162,550,324,202,1600,650,LR,l2,2,101
12,1174,586,289,147,1600,564,LR,l2,2,101
13,1163,558,307,196,1600,592,LR,l2,2,101
14,1149,539,319,122,1600,642,LR,l2,2,101
15,1149,530,298,175,1600,642,LR,l2,2,101
16,1125,513,303,208,1600,654,LR,l2,2,101
17,1125,499,301,184,1600,633,LR,l2,2,101
18,1125,515,310,194,1600,606,LR,l2,2,101
19,1152,487,256,181,1600,547,LR,l2,2,101
20,1175,513,305,211,1600,602,LR,l2,2,101
1,992,487,213,231,1600,548,LR,l2,2,102
2,1043,509,289,207,1600,601,LR,l2,2,102
3,1073,563,318,239,1600,653,LR,l2,2,102
4,1106,577,281,190,1600,567,LR,l2,2,102
5,1137,527,305,184,1600,609,LR,l2,2,102
6,1150,548,355,225,1600,622,LR,l2,2,102
7,1179,525,372,255,1600,614,LR,l2,2,102
8,1196,604,380,131,1600,648,LR,l2,2,102
9,1232,591,376,184,1600,636,LR,l2,2,102
10,1219,602,377,140,1600,673,LR,l2,2,102
11,1212,617,377,173,1600,674,LR,l2,2,102
12,1187,630,368,175,1600,657,LR,l2,2,102
13,1184,570,308,126,1600,574,LR,l2,2,102
14,1176,580,323,257,1600,613,LR,l2,2,102
15,1175,556,336,224,1600,658,LR,l2,2,102
16,1205,529,285,203,1600,559,LR,l2,2,102
17,1187,510,294,204,1600,573,LR,l2,2,102
18,1192,569,362,279,1600,681,LR,l2,2,102
19,1226,594,332,99,1600,617,LR,l2,2,102
20,1223,573,326,184,1600,665,LR,l2,2,102
1,976,456,197,223,1600,550,LR,l2,2,103
2,1024,519,252,212,1600,618,LR,l2,2,103
3,1067,533,281,194,1600,617,LR,l2,2,103
4,1062,541,296,175,1600,646,LR,l2,2,103
5,1095,579,303,162,1600,640,LR,l2,2,103
6,1107,537,288,182,1600,653,LR,l2,2,103
7,1138,525,241,186,1600,561,LR,l2,2,103
8,1163,588,300,169,1600,659,LR,l2,2,103
9,1126,550,295,234,1600,599,LR,l2,2,103
10,1117,489,348,241,1600,743,LR,l2,2,103
11,1154,538,396,208,1600,672,LR,l2,2,103
12,1177,591,450,131,1600,663,LR,l2,2,103
13,1173,570,385,129,1600,613,LR,l2,2,103
14,1172,555,403,202,1600,659,LR,l2,2,103
15,1175,554,426,181,1600,683,LR,l2,2,103
16,1162,544,390,205,1600,646,LR,l2,2,103
17,1176,604,413,91,1600,707,LR,l2,2,103
18,1188,593,349,136,1600,632,LR,l2,2,103
19,1177,535,317,165,1600,621,LR,l2,2,103
20,1196,529,321,221,1600,586,LR,l2,2,103
1,1042,566,205,198,1600,600,LR,l2,2,104
2,1042,525,247,239,1600,593,LR,l2,2,104
3,1093,554,275,195,1600,646,LR,l2,2,104
4,1104,551,255,213,1600,583,LR,l2,2,104
5,1098,527,301,213,1600,674,LR,l2,2,104
6,1128,525,317,187,1600,675,LR,l2,2,104
7,1110,536,320,182,1600,697,LR,l2,2,104
8,1131,550,329,172,1600,632,LR,l2,2,104
9,1122,517,341,170,1600,630,LR,l2,2,104
10,1153,557,354,148,1600,650,LR,l2,2,104
11,1159,553,358,228,1600,647,LR,l2,2,104
12,1126,576,331,73,1600,644,LR,l2,2,104
13,1130,521,287,144,1600,610,LR,l2,2,104
14,1138,507,306,200,1600,621,LR,l2,2,104
15,1126,557,305,148,1600,634,LR,l2,2,104
16,1122,519,315,223,1600,629,LR,l2,2,104
17,1111,504,312,198,1600,596,LR,l2,2,104
18,1127,527,346,217,1600,609,LR,l2,2,104
19,1140,543,361,227,1600,611,LR,l2,2,104
20,1141,476,369,274,1600,589,LR,l2,2,104
1,1106,571,241,239,1600,552,LR,l2,2,105
2,1120,545,183,171,1600,521,LR,l2,2,105
3,1113,594,213,161,1600,605,LR,l2,2,105
4,1136,536,225,221,1600,612,LR,l2,2,105
5,1107,578,267,137,1600,661,LR,l2,2,105
6,1127,552,257,188,1600,651,LR,l2,2,105
7,1128,512,268,149,1600,710,LR,l2,2,105
8,1117,537,248,138,1600,613,LR,l2,2,105
9,1124,567,219,115,1600,594,LR,l2,2,105
10,1112,532,225,81,1600,636,LR,l2,2,105
11,1105,509,247,220,1600,682,LR,l2,2,105
12,1108,494,263,177,1600,664,LR,l2,2,105
13,1061,495,297,165,1600,663,LR,l2,2,105
14,1050,501,265,115,1600,592,LR,l2,2,105
15,1070,485,266,208,1600,611,LR,l2,2,105
16,1067,497,266,216,1600,615,LR,l2,2,105
17,1075,501,242,178,1600,580,LR,l2,2,105
18,1082,469,215,182,1600,558,LR,l2,2,105
19,1079,477,284,164,1600,635,LR,l2,2,105
20,1100,489,283,228,1600,606,LR,l2,2,105
1,1025,535,202,195,1600,519,LR,l2,2,106
2,1030,539,219,224,1600,493,LR,l2,2,106
3,1006,502,260,237,1600,625,LR,l2,2,106
4,1025,515,272,175,1600,633,LR,l2,2,106
5,1025,505,318,223,1600,681,LR,l2,2,106
6,1004,416,270,226,1600,582,LR,l2,2,106
7,1066,486,329,213,1600,624,LR,l2,2,106
8,1066,522,378,214,1600,701,LR,l2,2,106
9,1084,521,383,173,1600,630,LR,l2,2,106
10,1082,538,398,183,1600,631,LR,l2,2,106
11,1104,523,391,156,1600,614,LR,l2,2,106
12,1096,561,403,140,1600,652,LR,l2,2,106
13,1130,530,341,138,1600,582,LR,l2,2,106
14,1110,560,409,224,1600,647,LR,l2,2,106
15,1102,543,344,132,1600,633,LR,l2,2,106
16,1145,559,323,119,1600,622,LR,l2,2,106
17,1120,540,336,227,1600,646,LR,l2,2,106
18,1179,567,309,121,1600,625,LR,l2,2,106
19,1185,531,302,128,1600,683,LR,l2,2,106
20,1104,581,313,179,1600,710,LR,l2,2,106
1,1016,487,220,217,1600,458,LR,l2,2,107
2,1062,487,269,237,1600,564,LR,l2,2,107
3,1065,472,314,205,1600,645,LR,l2,2,107
4,1104,513,304,174,1600,562,LR,l2,2,107
5,1113,522,357,223,1600,630,LR,l2,2,107
6,1101,520,422,154,1600,735,LR,l2,2,107
7,1132,524,390,203,1600,649,LR,l2,2,107
8,1112,481,394,197,1600,645,LR,l2,2,107
9,1174,560,393,139,1600,604,LR,l2,2,107
10,1148,513,370,122,1600,609,LR,l2,2,107
11,1160,555,422,212,1600,657,LR,l2,2,107
12,1182,593,397,115,1600,645,LR,l2,2,107
13,1170,504,321,133,1600,556,LR,l2,2,107
14,1178,529,333,165,1600,584,LR,l2,2,107
15,1200,576,376,220,1600,666,LR,l2,2,107
16,1178,574,360,149,1600,662,LR,l2,2,107
17,1179,543,338,149,1600,659,LR,l2,2,107
18,1194,612,376,138,1600,711,LR,l2,2,107
19,1205,577,328,210,1600,647,LR,l2,2,107
20,1177,549,311,208,1600,633,LR,l2,2,107
1,942,450,188,188,1600,474,LR,l2,2,108
2,998,488,247,196,1600,622,LR,l2,2,108
3,1019,463,255,236,1600,594,LR,l2,2,108
4,1064,533,316,238,1600,610,LR,l2,2,108
5,1113,509,343,179,1600,696,LR,l2,2,108
6,1132,534,369,231,1600,652,LR,l2,2,108
7,1096,592,411,100,1600,743,LR,l2,2,108
8,1117,564,368,127,1600,660,LR,l2,2,108
9,1133,529,379,152,1600,685,LR,l2,2,108
10,1105,553,340,127,1600,674,LR,l2,2,108
11,1086,504,366,210,1600,695,LR,l2,2,108
12,1117,562,403,135,1600,716,LR,l2,2,108
13,1127,569,374,157,1600,633,LR,l2,2,108
14,1116,587,353,107,1600,672,LR,l2,2,108
15,1149,564,350,209,1600,654,LR,l2,2,108
16,1121,488,338,249,1600,628,LR,l2,2,108
17,1173,554,320,127,1600,626,LR,l2,2,108
18,1167,592,349,218,1600,653,LR,l2,2,108
19,1160,520,337,226,1600,707,LR,l2,2,108
20,1166,622,363,128,1600,679,LR,l2,2,108
1,1042,476,196,213,1600,533,LR,l2,2,109
2,1083,530,266,181,1600,626,LR,l2,2,109
3,1063,519,272,247,1600,587,LR,l2,2,109
4,1100,523,325,271,1600,630,LR,l2,2,109
5,1122,526,315,219,1600,635,LR,l2,2,109
6,1147,515,330,205,1600,632,LR,l2,2,109
7,1149,525,326,162,1600,616,LR,l2,2,109
8,1169,553,361,226,1600,686,LR,l2,2,109
9,1129,565,340,171,1600,610,LR,l2,2,109
10,1156,569,322,168,1600,620,LR,l2,2,109
11,1138,600,349,179,1600,660,LR,l2,2,109
12,1133,572,378,173,1600,729,LR,l2,2,109
13,1172,547,296,163,1600,627,LR,l2,2,109
14,1173,502,286,139,1600,609,LR,l2,2,109
15,1151,502,294,173,1600,624,LR,l2,2,109
16,1182,522,330,189,1600,643,LR,l2,2,109
17,1159,561,323,174,1600,611,LR,l2,2,109
18,1145,568,328,162,1600,647,LR,l2,2,109
19,1169,608,290,158,1600,607,LR,l2,2,109
20,1176,544,289,239,1600,631,LR,l2,2,109
1,996,482,224,211,1600,492,LR,l2,2,110
2,1007,440,193,199,1600,501,LR,l2,2,110
3,1058,455,279,259,1600,617,LR,l2,2,110
4,1025,524,291,156,1600,582,LR,l2,2,110
5,1053,520,345,185,1600,676,LR,l2,2,110
6,1027,572,378,127,1600,637,LR,l2,2,110
7,1053,559,325,114,1600,590,LR,l2,2,110
8,1058,521,290,84,1600,588,LR,l2,2,110
9,1029,500,274,163,1600,628,LR,l2,2,110
10,1037,539,302,127,1600,646,LR,l2,2,110
11,1029,430,270,190,1600,607,LR,l2,2,110
12,1040,464,303,153,1600,606,LR,l2,2,110
