arm,iv,seed,within_cov_sum,within_square_sum,within_delta
SNA,none,0,0.07741702133242968,0.018220722796501637,0.0956377441289313
SNA,none,1,0.11837170669593743,0.01573463398568496,0.13410634068162228
SNA,none,2,0.10830477577882358,0.017934032754277785,0.12623880853310118
SNA,l2,0,0.1321141932554123,0.01296757031699648,0.1450817635724088
SNA,l2,1,0.1294880849257906,0.01230491927149579,0.1417930041972864
SNA,l2,2,0.13216773953202732,0.013475982484876269,0.1456437220169036
LR,none,0,-0.022261698941263133,0.018240782476678447,-0.0040209164645844024
LR,none,1,0.01092972466243493,0.016275210865213028,0.027204935527647845
LR,none,2,-0.061261020741446216,0.01727427465775895,-0.04398674608368722
LR,l2,0,0.13036110166194972,0.013338913878041151,0.14370001553999084
LR,l2,1,0.12825629264510893,0.01202705398490085,0.1402833466300098
LR,l2,2,0.12828930078702483,0.013034038261670005,0.14132333904869485
