step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,995,551,118,119,1600,467,SNA,l2,1,101
2,978,524,158,158,1599,602,SNA,l2,1,101
3,988,589,174,142,1600,592,SNA,l2,1,101
4,992,527,196,152,1600,628,SNA,l2,1,101
5,964,489,194,155,1600,617,SNA,l2,1,101
6,946,505,177,175,1600,564,SNA,l2,1,101
7,939,462,203,204,1599,644,SNA,l2,1,101
8,960,445,223,158,1600,635,SNA,l2,1,101
9,951,436,244,133,1599,580,SNA,l2,1,101
10,968,447,277,195,1600,584,SNA,l2,1,101
11,978,478,308,192,1599,659,SNA,l2,1,101
12,989,466,287,109,1600,609,SNA,l2,1,101
13,1040,445,272,120,1600,587,SNA,l2,1,101
14,1054,496,331,179,1600,670,SNA,l2,1,101
15,1054,483,313,197,1599,587,SNA,l2,1,101
16,1117,540,281,184,1597,521,SNA,l2,1,101
17,1076,535,308,194,1600,662,SNA,l2,1,101
18,1095,539,345,161,1598,720,SNA,l2,1,101
19,1101,495,315,148,1599,718,SNA,l2,1,101
20,1076,488,322,173,1599,691,SNA,l2,1,101
1,889,485,132,134,1600,465,SNA,l2,1,102
2,957,503,165,220,1599,522,SNA,l2,1,102
3,970,486,218,154,1600,634,SNA,l2,1,102
4,990,493,227,143,1599,663,SNA,l2,1,102
5,990,488,274,227,1600,627,SNA,l2,1,102
6,1010,506,256,120,1600,592,SNA,l2,1,102
7,1020,489,264,178,1598,583,SNA,l2,1,102
8,995,459,265,197,1600,554,SNA,l2,1,102
9,1044,515,294,159,1600,620,SNA,l2,1,102
10,1004,486,247,141,1600,572,SNA,l2,1,102
11,1052,542,292,132,1598,634,SNA,l2,1,102
12,1028,493,245,173,1600,607,SNA,l2,1,102
13,1018,478,280,145,1600,684,SNA,l2,1,102
14,1023,497,282,173,1598,636,SNA,l2,1,102
15,1044,490,281,144,1598,624,SNA,l2,1,102
16,1025,478,275,232,1599,632,SNA,l2,1,102
17,999,467,246,132,1600,609,SNA,l2,1,102
18,1013,457,237,130,1600,680,SNA,l2,1,102
19,1024,460,257,201,1600,773,SNA,l2,1,102
20,1020,470,215,103,1600,674,SNA,l2,1,102
1,866,446,126,128,1600,505,SNA,l2,1,103
2,915,478,206,200,1600,625,SNA,l2,1,103
3,925,487,222,203,1600,590,SNA,l2,1,103
4,928,450,210,175,1600,537,SNA,l2,1,103
5,979,447,228,156,1600,616,SNA,l2,1,103
6,1003,459,256,196,1599,575,SNA,l2,1,103
7,1029,468,254,110,1599,620,SNA,l2,1,103
8,1046,480,261,141,1600,608,SNA,l2,1,103
9,1021,497,285,173,1600,648,SNA,l2,1,103
10,1070,549,294,155,1599,642,SNA,l2,1,103
11,1091,493,254,158,1600,617,SNA,l2,1,103
12,1040,458,254,174,1599,640,SNA,l2,1,103
13,1016,480,280,121,1599,690,SNA,l2,1,103
14,1027,453,236,152,1600,607,SNA,l2,1,103
