quantity,k,level,n,mean,sd,lo,hi,sign
R_none,1,0.975,10,0.12806458333333332,0.0197711021329735,0.11127743514922019,0.14485173151744646,+
R_none,1,0.95,10,0.12806458333333332,0.0197711021329735,0.11392118888386146,0.14220797778280517,+
R_c12,1,0.975,10,0.076634375,0.015862671900062367,0.06316577714484009,0.09010297285515992,+
R_c12,1,0.95,10,0.076634375,0.015862671900062367,0.06528690310914526,0.08798184689085475,+
dR,1,0.975,10,0.051430208333333324,0.015655016731138862,0.03813792528695194,0.06472249137971471,+
dR,1,0.95,10,0.051430208333333324,0.015655016731138862,0.04023128400162848,0.06262913266503817,+
R_c1,1,0.975,10,0.10393541666666666,0.01768451952705467,0.0889199335707397,0.11895089976259361,+
R_c1,1,0.95,10,0.10393541666666666,0.01768451952705467,0.09128467349421689,0.11658615983911642,+
R_c2,1,0.975,10,0.10946562499999998,0.014450083242650258,0.0971964208334512,0.12173482916654876,+
R_c2,1,0.95,10,0.10946562499999998,0.014450083242650258,0.09912865816052066,0.1198025918394793,+
R_c12b,1,0.975,10,0.07401041666666668,0.016639977183385207,0.059881828342200946,0.0881390049911324,+
R_c12b,1,0.95,10,0.07401041666666668,0.016639977183385207,0.062106894073339525,0.08591393925999383,+
R_frz,1,0.975,10,0.0,0.0,0.0,0.0,0
R_frz,1,0.95,10,0.0,0.0,0.0,0.0,0
dclimb,1,0.975,10,-0.42524387306874595,0.7501104539947906,-1.0621438931572622,0.21165614701977026,0
dclimb,1,0.95,10,-0.42524387306874595,0.7501104539947906,-0.9618405665746312,0.11135282043713929,0
dneff,1,0.975,10,0.00332342957655078,0.0015448934017691122,0.0020116992395300447,0.004635159913571515,+
dneff,1,0.95,10,0.00332342957655078,0.0015448934017691122,0.002218279412606895,0.004428579740494665,+
I,1,0.975,10,-0.022450000000000015,0.01258341074908734,-0.03313425925301322,-0.011765740746986811,-
I,1,0.95,10,-0.022450000000000015,0.01258341074908734,-0.03145162978002382,-0.013448370219976212,-
dR_fix,1,0.975,10,0.083415625,0.016678766188197816,0.06925410190197819,0.0975771480980218,+
dR_fix,1,0.95,10,0.083415625,0.016678766188197816,0.07148435442420442,0.09534689557579556,+
dR_b,1,0.975,10,0.002623958333333337,0.0021769279915339608,0.0007755832384984879,0.004472333428168186,+
dR_b,1,0.95,10,0.002623958333333337,0.0021769279915339608,0.001066677860788898,0.004181238805877776,+
R_none,2,0.975,10,0.07975416666666667,0.027424420551628657,0.05646877728537228,0.10303955604796106,+
R_none,2,0.95,10,0.07975416666666667,0.027424420551628657,0.06013591803281816,0.09937241530051517,+
R_c12,2,0.975,10,0.05635,0.018611546558960607,0.040547401443810985,0.07215259855618901,+
R_c12,2,0.95,10,0.05635,0.018611546558960607,0.04303610163825492,0.06966389836174508,+
dR,2,0.975,10,0.023404166666666677,0.015698009827318237,0.01007537925792841,0.036732954075404944,+
dR,2,0.95,10,0.023404166666666677,0.015698009827318237,0.012174486926700862,0.034633846406632494,+
R_c1,2,0.975,10,0.07542499999999999,0.02240849168539011,0.05639851032961683,0.09445148967038315,+
R_c1,2,0.95,10,0.07542499999999999,0.02240849168539011,0.05939493072047231,0.09145506927952768,+
R_c2,2,0.975,10,0.082315625,0.021572967271745295,0.06399855820594236,0.10063269179405765,+
R_c2,2,0.95,10,0.082315625,0.021572967271745295,0.06688325387988014,0.09774799612011986,+
R_c12b,2,0.975,10,0.05123541666666668,0.015550952785059446,0.038031491713410776,0.06443934161992258,+
R_c12b,2,0.95,10,0.05123541666666668,0.015550952785059446,0.04011093519745229,0.06235989813588107,+
R_frz,2,0.975,10,0.0,0.0,0.0,0.0,0
R_frz,2,0.95,10,0.0,0.0,0.0,0.0,0
dclimb,2,0.975,10,-5.224260411125783,1.9006855162150997,-6.838084931251396,-3.6104358910001704,-
dclimb,2,0.95,10,-5.224260411125783,1.9006855162150997,-6.583928921228473,-3.8645919010230934,-
dneff,2,0.975,10,0.001552880913157223,0.0011908999572829342,0.0005417175535779397,0.0025640442727365063,+
dneff,2,0.95,10,0.001552880913157223,0.0011908999572829342,0.0007009624043948314,0.0024047994219196147,+
I,2,0.975,10,-0.10216874999999996,0.04155442660379723,-0.13745157401315394,-0.06688592598684598,-
I,2,0.95,10,-0.10216874999999996,0.04155442660379723,-0.13189499604467306,-0.07244250395532686,-
dR_fix,2,0.975,10,0.04421666666666667,0.015028791651719787,0.03145609566820817,0.05697723766512516,+
dR_fix,2,0.95,10,0.04421666666666667,0.015028791651719787,0.033465716770216224,0.05496761656311711,+
dR_b,2,0.975,10,0.005114583333333328,0.005349063986568822,0.0005728269261841201,0.009656339740482536,+
dR_b,2,0.95,10,0.005114583333333328,0.005349063986568822,0.0012880934700629076,0.008941073196603748,+
