zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,alpha_med,acc,gbar,gvar_mean,gbar_var,pooled_var,g3_ident,cov,cov_abs,cov10,cov50,q10_med,hard_dead,gmin,gmax,task,step,clamp,ce20,arm,seed,S2,D2,rho_mean,kap2,graw2,step2
0.22224652304858858,0.6923598343459685,0.2166737042180158,0.58720703125,0.07176370021361421,0.2664220908633426,0.06182027990666178,0.56217529296875,0.008175448420603493,0.06279087866888908,1.4403410502618098e-05,0.0006416447549183746,0.002414207848657599,0.9876435760926361,0.011879662279752665,0.030662312617646438,0.0776083469595839,0.24307039475441508,0.17232987298744842,0.7190782263785951,1.0833993191586342,0.2377205342054367,0.9551905393600464,0.9187999963760376,1.083399318420561,0.4086951523348992,0.07395603049695419,0.48265118283185904,5.6066262743570405e-15,0.18703125,0.18703125,0.11384765625,0.28076171875,0.08723185062408448,0,0.0,2.0,1,625,ref,1.4989290237426758,SN1,0,,,,,,
0.035997233322020115,0.7642096491601221,0.3350710541086005,0.48486328125,0.03271410959657419,0.34750456210276764,0.17695186251600883,0.51582275390625,0.02183116468505426,0.09831113919953152,0.0006171167976505002,0.0002845045863957972,0.0040721270071795565,1.241897817742076,0.01438680984210805,0.03901813254790159,0.04353083713420998,0.4082883468310554,0.21060171990147175,0.7789858313736806,0.9682550931733567,0.22702550888061523,0.8490508198738098,0.9290000200271606,0.9682550926122349,0.41453043438828713,0.07434147584201263,0.4888719102303039,4.163336342344337e-15,0.2374609375,0.2374609375,0.14912109375,0.34673828125,0.05696976780891419,0,0.0,2.0,2,625,ref,0.8224716782569885,SN1,0,,,,,,
-0.06640330673145783,0.8050459421303661,0.34822722208396967,0.42580078125,-0.03420473012617709,0.4053622233237901,0.23608770263805234,0.46105224609374995,0.028026763855743583,0.1361920407327707,9.972750949208263e-05,-0.0003380522459634584,0.004612788950060824,1.437859536772292,0.015118270882812795,0.04787598595673706,-0.01951106148516944,0.4621293747363497,0.2327536945088144,0.825437439600128,0.8993655944254715,0.25572314858436584,0.8202673196792603,0.9153000116348267,0.8993655951041728,0.4200609416799876,0.07002664762394269,0.4900875893039287,1.5543122344752192e-15,0.2739453125,0.2739453125,0.17111328125,0.38865234375,0.037164562940597536,0,0.0,2.0,3,625,ref,0.9968042969703674,SN1,0,,,,,,
-0.24538086316269603,0.8122682802331295,0.4656821243212363,0.3408203125,-0.12157127557477933,0.4537485056479893,0.28803045060510407,0.414609375,0.03531651487350463,0.16823470490676481,0.0023364865975139494,-0.0011973893069497819,0.005051973650106718,1.5934151181326264,0.014169056602695492,0.05345187773344794,-0.10848888393562599,0.5050165394035844,0.2513501265040141,0.8588942898720667,0.8039315039664507,0.22350631654262543,0.8619463443756104,0.9248999953269958,0.8039315052051097,0.40277415935624616,0.064699476165816,0.4674736355220643,2.1094237467877974e-15,0.316171875,0.316171875,0.2005859375,0.443203125,0.0220059871673584,0,0.0,2.0,4,625,ref,1.2327911853790283,SN1,0,,,,,,
-0.2476760030030757,0.8305029418006726,0.47521931977547865,0.36904296875,-0.17587426868285141,0.4946321058511983,0.33130889962959714,0.38058105468750003,0.042389163915714505,0.20031462222423907,0.001957133998837492,-0.0016954906090099987,0.0054295358827407825,1.7339897898009458,0.014931633088272065,0.05844208378364986,-0.1587507149134818,0.5420713337775411,0.30658061515901536,0.8954910510471763,0.8522073901013937,0.1952211856842041,0.8032186627388,0.927299976348877,0.8522073924483266,0.4127043221502141,0.06592533583936604,0.47862965798958285,2.7200464103316335e-15,0.291484375,0.291484375,0.18359375,0.41583984375,0.02675960659980774,0,0.0,2.0,5,625,ref,1.2306784391403198,SN1,0,,,,,,
-0.2925230720479796,0.8625252504074126,0.39492799334085127,0.33505859375,-0.19911230572668726,0.5303284901427026,0.35199937378640145,0.37852294921875,0.04630982783934593,0.23314503989599836,0.0017934397216943939,-0.001958385097791089,0.005613538732420934,1.876395217501897,0.016612280930858106,0.061829756375885704,-0.18400040324944972,0.5618490474633743,0.30741556489022637,0.9239903974991196,0.7843474045733455,0.2149927020072937,0.7709537148475647,0.9279000163078308,0.7843474050692748,0.4049504198169023,0.05837163227507742,0.4633220520919792,4.996003610813204e-16,0.3244921875,0.3244921875,0.20408203125,0.4584375,0.021011149883270266,0,0.0,2.0,6,625,ref,0.9249937534332275,SN1,0,,,,,,
-0.41433172732865436,0.8939434709668117,0.5108021926097254,0.31880859375,-0.2570111409516213,0.558400310295623,0.324189582711392,0.36730712890624995,0.04676700128177701,0.26394400586833794,0.0010998993881331414,-0.00250516292249929,0.005424038775932769,2.002046805442431,0.01698889803548809,0.06437779048836258,-0.23963451007685171,0.53706150947751,0.3736498097313636,0.9492732137215829,0.798946778770769,0.22844253480434418,0.7454625964164734,0.9189000129699707,0.7989467764098663,0.4018510480256737,0.05661348008253626,0.45846452810821314,3.219646771412954e-15,0.3133984375,0.3133984375,0.19759765625,0.4415625,0.022433096170425416,0,0.0,2.0,7,625,ref,1.2840642929077148,SN1,0,,,,,,
-0.36192864728365687,0.8829504156531597,0.4842835978346177,0.337890625,-0.30945094520712607,0.596209235668904,0.40236042156101726,0.35677490234375003,0.058212240522792245,0.2956098355884274,0.0016433765856790883,-0.0029426673841042856,0.005981020025747556,2.1235842906723166,0.01622979335486889,0.06543924215517741,-0.2852106144795559,0.5930914798502338,0.3947718971204981,0.9770007178897632,0.8184236589842476,0.21560776233673096,0.7360588312149048,0.9232000112533569,0.8184236579784192,0.4009251704025401,0.0646645968294811,0.46558976723202133,1.1102230246251565e-16,0.30546875,0.30546875,0.1922265625,0.43333984375,0.022953057289123537,0,0.0,2.0,8,625,ref,1.084660530090332,SN1,0,,,,,,
-0.4018215746689717,0.8861501836898601,0.6226868145720497,0.32248046875,-0.35177342854141336,0.6243400579097974,0.40555939162947674,0.33522705078125004,0.0636029899849263,0.3260024802049286,0.00019503772095435745,-0.0034538426031340053,0.006051238076970123,2.2295895304455104,0.01730974857695401,0.07018579725273479,-0.33649433016758723,0.6070299438630725,0.3979987772903275,0.9964094705349764,0.7936502607131842,0.20997172594070435,0.7439515590667725,0.9259999990463257,0.7936502599029336,0.4018888440302016,0.05760543069541899,0.45949427472561616,4.440892098500626e-15,0.317265625,0.317265625,0.2001171875,0.448515625,0.020476627349853515,0,0.0,2.0,9,625,ref,1.019972324371338,SN1,0,,,,,,
-0.3575412581797147,0.9284751676341244,0.5618972693890523,0.3530078125,-0.34941048430891064,0.6505336154838133,0.3821747734182447,0.34405029296875,0.059907195334341565,0.3603412262221682,0.002945563317932078,-0.00350175018747476,0.005784751724105067,2.331854555027553,0.020510691001545636,0.07345493391541176,-0.33820093585395383,0.5829171914220761,0.3890015025374322,1.014237982411273,0.830257583197672,0.2122088223695755,0.732474684715271,0.9211000204086304,0.8302575832034926,0.39756920845748545,0.06907953412743953,0.46664874258492384,1.1102230246251565e-15,0.29822265625,0.29822265625,0.18744140625,0.42373046875,0.0250327467918396,0,0.0,2.0,10,625,ref,1.0705034732818604,SN1,0,,,,,,
