zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,acc,gbar,gvar_mean,gbar_var,pooled_var,g3_ident,cov,cov_abs,cov10,cov50,q10_med,hard_dead,gmin,gmax,task,step,clamp,ce20,arm,seed,S2,D2,rho_mean,kap2,graw2,step2
0.9960247347201769,1.1541317307379542,0.4256128108971563,0.76380859375,0.3912058908995278,0.37224031461217133,0.3853021022681516,0.7013281250000001,0.04731777141549934,0.09540564486583561,-0.004160564458766631,0.003487930810864304,0.006072952774500203,1.2344128619874108,0.021153202221266838,0.038654613223712234,0.3784492023756394,0.6263168030083601,0.21146475436862788,0.7326163293398767,0.7874277347269526,0.37584879994392395,0.9085000157356262,0.7874277347269526,0.1209759826468892,0.02515208781878124,0.14612807046578588,1.1543543898540065e-13,0.23619140625,0.23619140625,0.0,0.23619140625,0.10000000149011612,0,0.10000000149011612,1.0,1,625,ref,2.0073084831237793,N1L23,1,,,,,,
0.2595655173745052,1.2702992459302782,1.253671278137769,0.536171875,0.23837145329253537,0.500414771796812,0.8025177797425213,0.5696337890625,0.07753888219886998,0.17769545363689979,-0.004819392003314346,0.0021346379231312056,0.008707175594917826,1.648563881129566,0.021937332401284947,0.05262234714026902,0.24060497034207928,0.8865054877693543,0.17868708554890256,0.7977584613199196,0.5825546881911577,0.3623218834400177,0.9063000082969666,0.5825546881911577,0.12956261172306996,0.07187757993166452,0.20144019165475377,1.9290125052862095e-14,0.463828125,0.463828125,0.0,0.463828125,0.10000000149011612,0,0.10000000149011612,1.0,2,625,ref,1.0308068990707397,N1L23,1,,,,,,
-0.1387001262061719,1.314052227965558,1.631361048462133,0.43935546875,-0.0579820037431326,0.570460691483835,0.9557603392698845,0.44485351562500003,0.08557347986657453,0.2431709042795102,-0.0033189836178695977,-0.0006732981914009892,0.009393954362120302,1.9261489131343645,0.019923588180390653,0.06491651249951104,-0.04904760527030011,0.9515854046340939,0.18442599388778358,0.8484073393982757,0.49541992271042545,0.29680725932121277,0.9121000170707703,0.49541992271042545,0.12199466245308631,0.07752635195809485,0.19952101441122433,4.318767565791859e-14,0.56064453125,0.56064453125,0.0,0.56064453125,0.10000000149011612,0,0.10000000149011612,1.0,3,625,ref,1.2866460084915161,N1L23,1,,,,,,
-0.3760653446493833,1.3515496662223792,2.071194159963133,0.369140625,-0.2759238351372972,0.6489545260106042,1.2456909278502173,0.37492187499999996,0.11850894808503075,0.3032087608862854,-0.0005757321416681113,-0.0027110577456032825,0.01074656057901398,2.140183858126577,0.019683795289020055,0.0738542993998988,-0.25803102797364474,1.0821883512508657,0.24733248450785766,0.9024823695242178,0.4322265634400537,0.30638614296913147,0.9142000079154968,0.4322265634400537,0.10168054699606185,0.08694886979875013,0.18862941679483874,2.6756374893466273e-14,0.630859375,0.630859375,0.0,0.630859375,0.10000000149011612,0,0.10000000149011612,1.0,4,625,ref,1.3429789543151855,N1L23,1,,,,,,
-0.5385388081437591,1.3540576601218144,2.214715935378789,0.33939453125,-0.4407463553698329,0.7149927548911396,1.5598928127209146,0.32843017578125,0.15345148300536585,0.35415150630984565,0.003611650231609652,-0.0042685198841024945,0.011867485663987931,2.3109978046602477,0.02247068043798208,0.08298255904959219,-0.4147871563341021,1.1920249627507336,0.3526248542265902,0.9564881810000339,0.40545507910937884,0.28540340065956116,0.9150999784469604,0.40545507910937884,0.10079606175423975,0.08081070320454335,0.18160676495891828,1.3519740882372844e-13,0.66060546875,0.66060546875,0.0,0.66060546875,0.10000000149011612,0,0.10000000149011612,1.0,5,625,ref,1.3247746229171753,N1L23,1,,,,,,
-0.6155366978635429,1.382617088873347,2.08107150131242,0.3253125,-0.6144331274603407,0.7698130240415268,1.755486798907838,0.30277099609375,0.18391701293409043,0.4019355419099845,0.006759537139885454,-0.005912529909280104,0.012477098446841778,2.466901382358228,0.02307740171207115,0.0874513211465541,-0.5825892247011392,1.2512690639914759,0.4624077122557515,0.9983950459776928,0.3927812510053627,0.27279993891716003,0.917900025844574,0.3927812510053627,0.10321295437013785,0.07456930968959694,0.17778226405968006,5.473399511402022e-14,0.6746875,0.6746875,0.0,0.6746875,0.10000000149011612,0,0.10000000149011612,1.0,6,625,ref,1.2835874557495117,N1L23,1,,,,,,
-0.8633973474964801,1.434992445663483,2.1401307941201906,0.28720703125,-0.8010799699285641,0.8224703168652426,1.9281634439138855,0.27411865234375005,0.22084575007320667,0.4447740957259163,0.010837576325289571,-0.007592027580243779,0.01308720581068337,2.604717472356972,0.022983071777562144,0.09268106899408832,-0.75472762105886,1.314141857878767,0.46214999988483196,1.040120502153765,0.3584863291871443,0.24958176910877228,0.9247999787330627,0.3584863291871443,0.09424707038188287,0.07157544255397236,0.16582251293577904,7.618905506490137e-14,0.71279296875,0.71279296875,0.0,0.71279296875,0.10000000149011612,0,0.10000000149011612,1.0,7,625,ref,1.378759741783142,N1L23,1,,,,,,
-1.1841691673664376,1.432755702219451,2.315297965931337,0.23302734375,-1.0080938904583707,0.8680982084685709,2.048512815869486,0.25003662109375,0.2675034530664847,0.47829353481010983,0.007797511669747792,-0.009645860075411777,0.013573262554132576,2.71856727739177,0.021976635849568993,0.09649510710061343,-0.9661241637013722,1.3647696399163405,0.5452888661503941,1.0790697662914897,0.3097246105178783,0.29390838742256165,0.9129999876022339,0.3097246105178783,0.08063579265595874,0.06413194352466549,0.14476773618060598,1.8235413179468196e-14,0.76697265625,0.76697265625,0.0,0.76697265625,0.10000000149011612,0,0.10000000149011612,1.0,8,625,ref,1.4983055591583252,N1L23,1,,,,,,
-1.2701028319140615,1.496034473259266,2.193155589734802,0.23287109375,-1.1684103229034193,0.9219891064356838,2.239889146437157,0.23281494140625003,0.3100686534535608,0.5321219831258273,0.007873275806682423,-0.011171800422237334,0.014020954668228705,2.844137719163504,0.02274647546932101,0.10119740882401872,-1.121668314226352,1.4157798906971355,0.6489878618906195,1.1165959311167302,0.30958398551811117,0.2638121545314789,0.9240999817848206,0.30958398551811117,0.08558631449015168,0.05911382446169245,0.14470013895178271,6.142308883738679e-14,0.76712890625,0.76712890625,0.0,0.76712890625,0.10000000149011612,0,0.10000000149011612,1.0,9,625,ref,1.5426727533340454,N1L23,1,,,,,,
-1.4034037842287963,1.5633335015123517,2.721827917307962,0.2341015625,-1.328638401228127,0.968193610504156,2.3304611560291266,0.21200927734374997,0.3467377404020448,0.581722657329371,0.008938469689657284,-0.012652285465210937,0.014118239061934951,2.963684242748956,0.023118464816361664,0.10845299672244452,-1.2729539731604027,1.4255256950662953,0.6691120280442981,1.1510025649816091,0.3106914073912776,0.2841600775718689,0.916100025177002,0.3106914073912776,0.08973207062571553,0.05549932585076714,0.14523139647636094,1.2173595465014841e-13,0.7658984375,0.7658984375,0.0,0.7658984375,0.10000000149011612,0,0.10000000149011612,1.0,10,625,ref,1.5214831829071045,N1L23,1,,,,,,
-1.4073972912682151,1.569269908171283,2.829411314463853,0.23119140625,-1.3769337925482759,0.9941511406113955,2.3673817082956825,0.21119140625,0.362732638138798,0.6168990600396939,0.008704792200446619,-0.013106900991626282,0.01428962499250267,3.071289487840145,0.026953151910565794,0.11307004506127478,-1.3156891058259053,1.4382936449899142,0.6563777490219078,1.1870834374210066,0.30807226677061406,0.2617570459842682,0.9248999953269958,0.30807226677061406,0.08736202096620527,0.05660894989723314,0.1439709708635792,1.4080403509808548e-13,0.76880859375,0.76880859375,0.0,0.76880859375,0.10000000149011612,0,0.10000000149011612,1.0,11,625,ref,1.597737431526184,N1L23,1,,,,,,
-1.6865141950818918,1.6025778391016323,2.5154789091860117,0.1964453125,-1.523538732564861,1.0436122167913162,2.4857105785882374,0.203759765625,0.41179522309204203,0.6631319994567361,0.01419923648730709,-0.014632813045040233,0.014584923428891497,3.1878724113205266,0.02820604763692245,0.11784352906615767,-1.4707473019291053,1.4651655280372529,0.6426044022427572,1.2227625859991382,0.2768007824473898,0.30682373046875,0.9139000177383423,0.2768007824473898,0.07718507970046642,0.05067710675052432,0.12786218645108163,9.089951014118469e-14,0.8035546875,0.8035546875,0.0,0.8035546875,0.10000000149011612,0,0.10000000149011612,1.0,12,625,ref,1.4380271434783936,N1L23,1,,,,,,
-1.9602520465159576,1.6780226871855621,3.3065559743352235,0.19501953125,-1.681644459550929,1.0862550402659055,2.3749458966124357,0.18059814453125,0.45690500813516705,0.7214435370447242,0.0016014673231923959,-0.016267197593633,0.014455976555838534,3.309839995847012,0.02873105469625443,0.12288924690076986,-1.6376450717515205,1.4547426206403526,0.6894011385954224,1.2612575475679253,0.2755175793245144,0.2627960443496704,0.9162999987602234,0.2755175793245144,0.08503865976784407,0.04212073989271872,0.12715939966064221,7.943645741192995e-14,0.80498046875,0.80498046875,0.0,0.80498046875,0.10000000149011612,0,0.10000000149011612,1.0,13,625,ref,1.5886443853378296,N1L23,1,,,,,,
-1.9160957458679369,1.6335848890498075,3.248581588523551,0.19921875,-1.79529284199287,1.1271071679828057,2.380102134987171,0.17376708984375,0.49641766216174477,0.776180718315764,-0.002227812359288196,-0.017356086390584783,0.01460545782849377,3.4192371211111863,0.027921466977568345,0.1261723232216129,-1.7499980451795607,1.4715593337126711,0.6738907408524044,1.2921697893212425,0.27929687619325705,0.2623234689235687,0.9253000020980835,0.27929687619325705,0.08475497561045828,0.04446484207688158,0.12921981768740917,6.93056723122254e-14,0.80078125,0.80078125,0.0,0.80078125,0.10000000149011612,0,0.10000000149011612,1.0,14,625,ref,1.3632267713546753,N1L23,1,,,,,,
-1.7350869026587297,1.6383833559711518,2.741352068569414,0.20359375,-1.7648554885860992,1.136527171027668,2.1323869969554576,0.16886230468750002,0.47059919837292286,0.8203820274345576,0.0007127846766735757,-0.01705370729056772,0.014034333585273529,3.5170357547534086,0.030554131082899404,0.127543172742354,-1.7163903277188552,1.4037072712590408,0.6141883373429118,1.3211030690697227,0.2832343761867378,0.2812667489051819,0.9164000153541565,0.2832343761867378,0.08337026568462363,0.047965835198833434,0.13133610088338474,7.233103005432895e-14,0.79640625,0.79640625,0.0,0.79640625,0.10000000149011612,0,0.10000000149011612,1.0,15,625,ref,1.6181586980819702,N1L23,1,,,,,,
