arm,seed,lr,c,clamp,L,acc_base,level,acc1,slope,kap2,S2,rho,graw2,N,Cov,Gbar,zbar,sigma,pos,dead,w2col,ce_frac,g1,g1n,g2m,g2v,inj_lo,inj_hi,untouched
N0,0,0.001,0.0,ref,2.529996633529663,0.9254999756813049,0.9002000093460083,0.9193999767303467,-1.8015055728137135,0.06177874368044624,0.026502671531736167,50.832773581519575,0.011276092452755612,8.073315887542755,0.8368359375000001,0.24684765749698273,-4.074038670223956,2.6702008908892285,0.16316406249999998,0.0,2.6037683289531333,1.0,1.7763568394002505e-15,360,,,,,
N0,1,0.001,0.0,ref,2.279999852180481,0.9241999983787537,0.9013999998569489,0.9204999804496765,1.2977360782767804,0.062297014205577844,0.026938684268044417,51.913414806541795,0.010979400591937052,8.081351204757512,0.84224609375,0.2419785168800445,-3.9333135426112515,2.4577125556710477,0.15775390625,0.0,2.6298696996201305,1.0,1.7763568394002505e-15,360,,,,,
N0,2,0.001,0.0,ref,2.0700007677078247,0.9193000197410583,0.8986000120639801,0.9171000123023987,0.5112787834684297,0.062603903535794,0.0271875533822018,53.658158653817296,0.011110093231423045,8.132946583041901,0.86583984375,0.22074414191520192,-4.219180076680274,2.5570737150273857,0.13416015625,0.0,2.6177882861806596,1.0,1.7763568394002505e-15,360,,,,,
N05,0,0.001,0.5,ref,2.544999122619629,0.921999990940094,0.8965499997138977,0.9225000143051147,-0.27141938532191107,0.05939457652923413,0.026595700727798884,46.66297764636809,0.012593778958744955,7.767760542367109,0.8480566406250001,0.23674902470120285,-3.7845439060186368,2.4724203815209456,0.15194335937499998,0.0,2.7121546846593576,1.0,,0,0.08597684651613235,0.12644493579864502,0.4908920062486559,0.5167495192275136,0.0
N05,1,0.001,0.5,ref,2.160000801086426,0.9210000038146973,0.899399995803833,0.9182000160217285,-2.7270756269755756,0.059680732617159185,0.026557949811168116,44.764097149051366,0.013425279563813826,7.772611853774929,0.83884765625,0.2450371106249804,-3.7496330750353337,2.375101228313847,0.16115234374999998,0.0,2.6832007381386997,1.0,,0,0.09925664216279984,0.12574779987335205,0.4864892970078481,0.510459205088628,0.0
N05,2,0.001,0.5,ref,2.724999189376831,0.9215999841690063,0.894349992275238,0.9208999872207642,-2.463163289808503,0.06135541226423234,0.027385955083528646,47.307280736954155,0.012534710445703591,7.787935186528545,0.86267578125,0.22359179816048708,-4.0289140425133585,2.5108621920028202,0.13732421875,0.0,2.739162730076435,1.0,,0,0.08994825184345245,0.11193078756332397,0.4888521992703884,0.5118805372157862,0.0
N1,0,0.001,1.0,ref,2.670001983642578,0.9196000099182129,0.8928999900817871,0.9204999804496765,-2.3030136760912367,0.056939150295558405,0.02601540726517087,37.919697585296355,0.015253517120812878,7.55717005678906,0.81302734375,0.2682753918365052,-3.2069722807709216,2.3540088130947003,0.18697265624999998,0.0,2.7915526887311586,1.0,,0,0.08597689121961594,0.12644493579864502,0.9777607042112434,1.022118089018654,0.0
N1,1,0.001,1.0,ref,2.454999089241028,0.9179999828338623,0.893449991941452,0.9161999821662903,0.009025846208966808,0.0570843704630752,0.02598399680818743,38.44658392216334,0.015596804486278438,7.551090370044877,0.8234375,0.2589062512270175,-3.2614299797560236,2.234297523933587,0.1765625,0.0,2.785550099912924,1.0,,0,0.09925664216279984,0.12574779987335205,0.9797612993720022,1.020780188160951,0.0
N1,2,0.001,1.0,ref,2.619999647140503,0.91839998960495,0.8921999931335449,0.9175999760627747,1.4879802115878675,0.05763882407407159,0.026427182283101983,38.127255932466724,0.01551084199920253,7.577912772309679,0.810576171875,0.2704814465203526,-3.2612016571964038,2.316641155750074,0.189423828125,0.0,2.7916961327167287,1.0,,0,0.08994823694229126,0.11193078756332397,0.9782835780677127,1.0204557055702925,0.0
N2,0,0.001,2.0,ref,3.0299991369247437,0.9150999784469604,0.884799987077713,0.9142000079154968,-1.6691720575317623,0.05480163355578843,0.025989414370963193,29.378218467518543,0.019559624489963824,7.36276207350473,0.7465625,0.32809375111246486,-2.261426889162946,2.1652768965985323,0.2534375,0.0,2.913109261840621,1.0,,0,0.08597687631845474,0.12644493579864502,1.9648652367914399,2.0412180994835856,0.0
N2,1,0.001,2.0,ref,2.7750015258789062,0.9143000245094299,0.8865500092506409,0.910099983215332,0.49097914444783053,0.05408458953323626,0.025636489128340538,29.257515296979484,0.01918411450608229,7.378857028407901,0.74390625,0.33048437610850667,-2.3705078232864283,2.1871094989280184,0.25609375,0.0,2.8914217235482003,1.0,,0,0.09925661236047745,0.12574779987335205,1.9568383403082976,2.039126960249286,0.0
N2,2,0.001,2.0,ref,3.1650006771087646,0.9154000282287598,0.8837500214576721,0.911300003528595,-3.6120222027139652,0.053652423444420644,0.025466786145246938,29.878327657528864,0.019287065583392625,7.38154435258497,0.7617578125,0.3144179698851076,-2.5206162758183823,2.2106284464609782,0.23824218749999998,0.0,2.929895161264854,1.0,,0,0.08994825184345245,0.11193078756332397,1.963804910824083,2.041033742553077,0.0
LRh,0,0.0007071067811865475,0.0,ref,2.3000001907348633,0.9196000099182129,0.8966000080108643,0.9150999784469604,-1.094748203019435,0.06492077419213782,0.013900424959853663,55.568093168361955,0.018455819340476763,6.0742385525944425,0.830263671875,0.2527626965496893,-3.0672022165239783,2.036202157488975,0.169736328125,0.0,2.2962123246363024,1.0,,0,,,,,
LRh,1,0.0007071067811865475,0.0,ref,1.9749999046325684,0.9215999841690063,0.9018499851226807,0.9136000275611877,-0.7999956159662142,0.06483021990972068,0.013887071654802213,56.35636412694171,0.0181043244322912,6.087763507802,0.839609375,0.24435156375111547,-3.1798075256408387,1.9078763959245661,0.160390625,0.0,2.2413814699395846,1.0,,0,,,,,
LRh,2,0.0007071067811865475,0.0,ref,2.1499961614608765,0.920799970626831,0.8993000090122223,0.9132999777793884,-3.0270788006315463,0.06555849129133191,0.01418378279364238,56.760047425795435,0.018349598448777156,6.0841999075811355,0.86451171875,0.22193945441322283,-3.1838569160681787,1.9372921715412377,0.13548828125,0.0,2.2542378597712833,1.0,,0,,,,,
LRq,0,0.0004472135954999579,0.0,ref,1.6400009393692017,0.913100004196167,0.896699994802475,0.9093000292778015,-3.365426583397518,0.06965645874986194,0.005948597918489248,62.50247768816162,0.035551746606394236,4.204478550449677,0.80953125,0.27142187620629554,-2.0038467437624656,1.412928650413451,0.19046875000000002,0.0,1.907346786463342,1.0,,0,,,,,
LRq,1,0.0004472135954999579,0.0,ref,1.5450000762939453,0.9135000109672546,0.8980500102043152,0.902899980545044,1.0007525745192265,0.06898037644732638,0.0059243516486399035,63.12009811093583,0.03500491405630333,4.172205964940221,0.817412109375,0.264329102780539,-1.9698699170983698,1.2986747060840171,0.182587890625,0.0,1.8976507776928893,1.0,,0,,,,,
LRq,2,0.0004472135954999579,0.0,ref,1.9199997186660767,0.9156000018119812,0.8964000046253204,0.9039999842643738,-0.15338202168158535,0.07046020595035354,0.006034048827557624,64.27644620491002,0.0345709266734847,4.197218762459809,0.826396484375,0.2562431652939267,-2.038967986848443,1.3580350219619195,0.173603515625,0.0,1.9102318315198539,1.0,,0,,,,,
N1L23,0,0.001,1.0,ref,2.8100013732910156,0.9200000166893005,0.8919000029563904,0.9147999882698059,-0.1383361063504078,0.06500649397844048,0.028301508748734237,59.945195523704626,0.010224216787689564,8.478109164436493,0.86197265625,0.22422461065943936,-4.978385490045719,2.9775387099477184,0.13802734375,0.0,2.708300633685388,1.0,,0,0.08597689121961594,0.12644493579864502,0.8726895879100883,1.1244530044951289,0.0
N1L23,1,0.001,1.0,ref,2.484998106956482,0.91839998960495,0.8935500085353851,0.9121000170707703,-3.802999517971297,0.06448624747330438,0.02780460187072188,59.235947857420925,0.010188519649751069,8.481317247557207,0.88220703125,0.2060136731895909,-5.054461310241539,2.7366933971252863,0.11779296875,0.0,2.6747538320704463,1.0,,0,0.09925664216279984,0.12574779987335205,0.9025946670783838,1.1145223983972083,0.0
N1L23,2,0.001,1.0,ref,2.394998073577881,0.9175999760627747,0.8936499953269958,0.9128000140190125,-0.25037625678493286,0.06611865186644122,0.02873556144885707,60.17366867835317,0.009950423485874785,8.587120033948107,0.886572265625,0.20208496225859562,-5.476273943308504,2.947480543690681,0.113427734375,0.0,2.702064443719463,1.0,,0,0.08994823694229126,0.11193078756332397,0.8791062097452964,1.132492322220215,0.0
N0w,0,0.001,0.0,wclamp,0.959998369216919,0.9254999756813049,0.9158999919891357,0.9193999767303467,-1.248883573632389,0.05940672154442919,0.02540812415775089,38.22626712054488,0.02507083667693906,3.715067173917306,0.865478515625,0.2210693372271635,-2.5191828540635472,1.3696861547668155,0.134521484375,0.0,2.6906273057338126,1.0,8.881784197001252e-16,60,,,,,
N0w,1,0.001,0.0,wclamp,0.6049990653991699,0.9241999983787537,0.918150007724762,0.9204999804496765,-0.6173064834191674,0.05867944837488953,0.025097586660562554,38.42334911221511,0.024078395542250955,3.7163948253949144,0.8642578125,0.2221679700378445,-2.4866627016008183,1.278271207044406,0.1357421875,0.0,2.6962986229390804,1.0,8.881784197001252e-16,60,,,,,
N0w,2,0.001,0.0,wclamp,0.415000319480896,0.9193000197410583,0.9151500165462494,0.9171000123023987,-0.9894729556892927,0.059563146449021616,0.025671747422996112,39.71949319203108,0.024242460787014967,3.728033626150225,0.88177734375,0.20640039193895063,-2.7115393753670975,1.382588603819118,0.11822265625,0.0,2.726352980541204,1.0,4.440892098500626e-16,60,,,,,
N1w,0,0.001,1.0,wclamp,0.9200006723403931,0.9196000099182129,0.910400003194809,0.9204999804496765,-2.461657488256316,0.05515473628215613,0.025205538982102482,30.239316185937398,0.03948328692265329,3.418184047697427,0.84708984375,0.23761914188726224,-2.0408190611724875,1.2035231668520656,0.15291015624999998,0.0,2.9029219541053686,1.0,,0,0.08597689121961594,0.12644493579864502,0.9809092777824624,1.0240998588809216,0.0
N1w,1,0.001,1.0,wclamp,0.5649983882904053,0.9179999828338623,0.9123499989509583,0.9161999821662903,2.0827014643448183,0.055691074597408796,0.025519397893057384,29.76481641620397,0.03746175117708264,3.404085167461491,0.8611816406249999,0.22493652472076064,-2.0198860239012557,1.11833893474991,0.13881835937499998,0.0,2.876666860829258,1.0,,0,0.09925664216279984,0.12574779987335205,0.972594260849942,1.022854393411124,0.0
N1w,2,0.001,1.0,wclamp,0.6900012493133545,0.91839998960495,0.9114999771118164,0.9175999760627747,1.3488732782522483,0.05673350690763865,0.025913869728446295,30.377976989067115,0.03730200877129503,3.4102369514586224,0.858359375,0.22747656377905512,-2.008385789806823,1.1603519571717598,0.14164062500000002,0.0,2.93652389786447,1.0,,0,0.08994823694229126,0.11193078756332397,0.9761171467397453,1.0252292684237754,0.0
SN0,0,0.001,0.0,ref,0.7100015878677368,0.9225000143051147,0.9153999984264374,0.9228000044822693,0.1240731181957144,0.057027688583835334,0.023792575510455632,29.363566785277825,0.01936874096724828,5.992030077526988,0.33,0.762584090763121,-1.0312104640818902,1.6161154626933163,0.304931640625,0.0,1.3642179993771406,1.0,8.881784197001252e-16,360,,,,,
