arm,seed,layer,block,block_name,task_start,task_end,n_task,strict_dead_frac,strict_dead,alive,eff_rank,eff_rank_per_alive,dose,log10_unfit,unfit,eval_loss_exact,log10_mean_unfit
L2_A1,1,1,4,B04,151,200,50,0.17120000000000002,17.120000000000001,82.879999999999995,20.875541589335494,0.25190785104999613,0.30750104843995607,-2.551026840300564,0.0080152024859190592,0.013200834649167019,-2.0960855017057791
L2_A1,1,1,5,B05,201,250,50,0.1948,19.48,80.519999999999996,21.755501666899747,0.2703599743927621,0.31108886490838517,-2.771547073483378,0.0025548675612585519,0.0042060034807312576,-2.5926316078209961
L2_A1,1,1,6,B06,251,300,50,0.2278,22.780000000000001,77.219999999999999,20.200065161375246,0.26190539296625592,0.3059027400338068,-1.9076948274174268,0.07290884098639068,0.087384846071821065,-1.1372198055805354
L2_A1,1,1,7,B07,301,350,50,0.30840000000000001,30.84,69.159999999999997,20.199166816657886,0.29284976389593065,0.29937448599016925,-2.5460690764021336,0.0057975808555830264,0.011516121014724139,-2.2367531857880909
L2_A1,1,1,8,B08,351,400,50,0.40020000000000006,40.020000000000003,59.979999999999997,21.303784072272197,0.3558070073211696,0.31387869364775439,-2.5984841836656329,0.0031750204172250403,0.005415947172332518,-2.4982534775973093
L2_A1,1,1,9,B09,401,450,50,0.36259999999999998,36.259999999999998,63.740000000000002,20.58571940115619,0.32345152769787128,0.29735540398090238,-2.458012038232344,0.026198333905579553,0.042403939766475843,-1.58172632694822
L2_A1,1,1,10,B10,451,500,50,0.39660000000000006,39.659999999999997,60.340000000000003,19.410840178694436,0.32194015375502538,0.29365362308884874,-2.1291173724834223,0.02862654546702335,0.044828272298158403,-1.5432310576762616
L2_A1,1,2,1,B01,1,50,50,0.34619999999999995,34.619999999999997,65.379999999999995,19.138874194408565,0.31277702355983833,7.5953910289919637,-2.9665140569709649,0.001375279454282648,0.002662027559741612,-2.8616090450181235
L2_A1,1,2,2,B02,51,100,50,0.64379999999999993,64.379999999999995,35.619999999999997,15.659908938278647,0.44153395735566958,7.5801629379937729,-2.7850856570635734,0.002004274752560382,0.003391908451614896,-2.6980427442110497
L2_A1,1,2,3,B03,101,150,50,0.8126000000000001,81.260000000000005,18.739999999999998,8.8882020542295095,0.48656836441916473,7.2774424135247013,-2.6203439154549248,0.0083697366090233968,0.01315157201036909,-2.0772882087985662
L2_A1,1,2,4,B04,151,200,50,0.82980000000000009,82.980000000000004,17.02,8.8468182966159805,0.53059204019083472,6.8017456362221438,-2.551026840300564,0.0080152024859190592,0.013200834649167019,-2.0960855017057791
L2_A1,1,2,5,B05,201,250,50,0.7904000000000001,79.040000000000006,20.960000000000001,9.1998692130841793,0.44279787519715647,6.0795145749039978,-2.771547073483378,0.0025548675612585519,0.0042060034807312576,-2.5926316078209961
L2_A1,1,2,6,B06,251,300,50,0.87760000000000005,87.760000000000005,12.24,6.2648082602207795,0.52579417973364817,7.5693717327322698,-1.9076948274174268,0.07290884098639068,0.087384846071821065,-1.1372198055805354
L2_A1,1,2,7,B07,301,350,50,0.87540000000000007,87.540000000000006,12.460000000000001,5.7829571965274109,0.4658312829441435,6.8181748452270163,-2.5460690764021336,0.0057975808555830264,0.011516121014724139,-2.2367531857880909
L2_A1,1,2,8,B08,351,400,50,0.82279999999999998,82.280000000000001,17.719999999999999,8.4416581521042211,0.48499658823906189,6.0017248003519477,-2.5984841836656329,0.0031750204172250403,0.005415947172332518,-2.4982534775973093
L2_A1,1,2,9,B09,401,450,50,0.85159999999999991,85.159999999999997,14.84,7.7872272563429012,0.54175107820049273,6.6447395742050057,-2.458012038232344,0.026198333905579553,0.042403939766475843,-1.58172632694822
L2_A1,1,2,10,B10,451,500,50,0.90540000000000009,90.540000000000006,9.4600000000000009,4.4399954876051639,0.47866842989963682,7.1811391520202674,-2.1291173724834223,0.02862654546702335,0.044828272298158403,-1.5432310576762616
L2_A1,2,1,1,B01,1,50,50,0.007000000000000001,0.69999999999999996,99.299999999999997,18.215329304855413,0.1834829052104941,0.31501796308024249,-3.0486095283182073,0.001114808892874722,0.00193183115515172,-2.9527995755606211
L2_A1,2,1,2,B02,51,100,50,0.071800000000000003,7.1799999999999997,92.819999999999993,19.216467498446573,0.20710850745592391,0.28276770327882256,-2.8249944910203464,0.0031320956905706221,0.0037102849883854923,-2.5041649780151305
L2_A1,2,1,3,B03,101,150,50,0.0974,9.7400000000000002,90.260000000000005,19.862687576140459,0.22010421672088104,0.29244175660550353,-2.8017244105439856,0.002151590377156534,0.0027556723946633101,-2.667240406738753
L2_A1,2,1,4,B04,151,200,50,0.10800000000000001,10.800000000000001,89.200000000000003,19.899532444646308,0.22312690585759767,0.3059426291136178,-2.4102506440238871,0.021753630354498794,0.021763503873085063,-1.6624682554284318
L2_A1,2,1,5,B05,201,250,50,0.12839999999999999,12.84,87.159999999999997,19.794656649300201,0.22730044777671082,0.32194435784890424,-2.332942085641005,0.027991112095451305,0.028462716896586193,-1.5529798465383637
L2_A1,2,1,6,B06,251,300,50,0.21719999999999998,21.719999999999999,78.280000000000001,19.33179075717748,0.24729574542546134,0.34130174397036811,-1.9744726456347328,0.038033586228328871,0.035343907266843042,-1.4198327225572958
L2_A1,2,1,7,B07,301,350,50,0.23300000000000001,23.300000000000001,76.700000000000003,19.385786314931835,0.25283728104722891,0.3120587583549459,-2.4026036836016091,0.032215119499712327,0.027890346102459426,-1.4919402533299151
L2_A1,2,1,8,B08,351,400,50,0.2732,27.32,72.680000000000007,19.280342676635058,0.26601926426196498,0.29129768340363271,-2.4841668226354416,0.0061271296124041892,0.0076273536775231746,-2.212742932568887
L2_A1,2,1,9,B09,401,450,50,0.3054,30.539999999999999,69.459999999999994,19.444497374099612,0.28008437414157167,0.31227053355077333,-2.3777234808998644,0.014765312210450764,0.015170829991157533,-1.8307573655060534
L2_A1,2,1,10,B10,451,500,50,0.34619999999999995,34.619999999999997,65.379999999999995,19.887746030163385,0.30435119744369227,0.3162231985912472,-2.4642066175564836,0.014298686977496405,0.013232630660328022,-1.8447038411789316
L2_A1,2,2,1,B01,1,50,50,0.31019999999999998,31.02,68.980000000000004,18.524946618147489,0.2846135788108482,8.2863380493002232,-3.0486095283182073,0.001114808892874722,0.00193183115515172,-2.9527995755606211
L2_A1,2,2,2,B02,51,100,50,0.70860000000000001,70.859999999999999,29.140000000000001,13.355834806032563,0.46266972582540972,7.9498192137049282,-2.8249944910203464,0.0031320956905706221,0.0037102849883854923,-2.5041649780151305
L2_A1,2,2,3,B03,101,150,50,0.77359999999999995,77.359999999999999,22.640000000000001,11.367459465121017,0.50220892081949742,7.5610718174621843,-2.8017244105439856,0.002151590377156534,0.0027556723946633101,-2.667240406738753
L2_A1,2,2,4,B04,151,200,50,0.82400000000000007,82.400000000000006,17.600000000000001,7.9622344050123424,0.4621546235239461,7.4103970980045393,-2.4102506440238871,0.021753630354498794,0.021763503873085063,-1.6624682554284318
L2_A1,2,2,5,B05,201,250,50,0.87439999999999996,87.439999999999998,12.56,5.9264558589516589,0.49471787863299788,7.6381887227717797,-2.332942085641005,0.027991112095451305,0.028462716896586193,-1.5529798465383637
L2_A1,2,2,6,B06,251,300,50,0.92320000000000002,92.319999999999993,7.6799999999999997,4.0564267904613631,0.53690257967571664,7.7753836149966817,-1.9744726456347328,0.038033586228328871,0.035343907266843042,-1.4198327225572958
L2_A1,2,2,7,B07,301,350,50,0.92980000000000007,92.980000000000004,7.0199999999999996,3.9885931935565835,0.57876793763275469,7.458069806689978,-2.4026036836016091,0.032215119499712327,0.027890346102459426,-1.4919402533299151
L2_A1,2,2,8,B08,351,400,50,0.93040000000000012,93.040000000000006,6.96,3.3514828875974603,0.51193445815513638,7.4411480358541926,-2.4841668226354416,0.0061271296124041892,0.0076273536775231746,-2.212742932568887
L2_A1,2,2,9,B09,401,450,50,0.91520000000000001,91.519999999999996,8.4800000000000004,4.1143602428451054,0.51811107424346592,7.620798835080417,-2.3777234808998644,0.014765312210450764,0.015170829991157533,-1.8307573655060534
L2_A1,2,2,10,B10,451,500,50,0.90579999999999994,90.579999999999998,9.4199999999999999,4.640318626740739,0.50297751447808725,7.2222077073021511,-2.4642066175564836,0.014298686977496405,0.013232630660328022,-1.8447038411789316
L2_A1,3,1,1,B01,1,50,50,0.0218,2.1800000000000002,97.819999999999993,18.582471720229965,0.19013560943449759,0.29272471390836308,-2.9050639146643871,0.0015493594573632822,0.0026990066684777396,-2.809847812557869
L2_A1,3,1,2,B02,51,100,50,0.048000000000000001,4.7999999999999998,95.200000000000003,19.918295455955054,0.20925941459784414,0.30306048954049375,-2.6498035397780599,0.0062548895114355497,0.0094214041149512061,-2.203780357433017
L2_A1,3,1,3,B03,101,150,50,0.095400000000000013,9.5399999999999991,90.459999999999994,20.230747849894936,0.22378295997416486,0.28157162009702985,-2.7046301340587156,0.002773694956406514,0.0044770483855095002,-2.5569413031884562
L2_A1,3,1,4,B04,151,200,50,0.11800000000000001,11.800000000000001,88.200000000000003,20.557310630426528,0.23307125731585659,0.30817447765112527,-2.4311052577492704,0.015745439532617821,0.015547922334732546,-1.8028452115643556
L2_A1,3,1,5,B05,201,250,50,0.1898,18.98,81.019999999999996,20.191738511240413,0.24925626086920374,0.29547899684841555,-2.4840658730307523,0.0095490480262635808,0.016028684589229077,-2.0200399224003744
L2_A1,3,1,6,B06,251,300,50,0.24160000000000001,24.16,75.840000000000003,20.507895462242494,0.2709686079257323,0.26861457227591051,-2.4344528815861128,0.030439645165447379,0.05116342941283962,-1.5165604144371538
L2_A1,3,1,7,B07,301,350,50,0.27760000000000001,27.760000000000002,72.239999999999995,18.989018358211265,0.2633206264871632,0.30709930220004877,-1.0308311917556556,0.17551591290417018,0.22631724261573791,-0.75568350271280227
L2_A1,3,1,8,B08,351,400,50,0.27080000000000004,27.079999999999998,72.920000000000002,19.224951701085519,0.26389928880514868,0.31058689911869608,-1.4938495211304967,0.10068307712662174,0.13204792552915204,-0.99704351979540529
L2_A1,3,1,9,B09,401,450,50,0.2848,28.48,71.519999999999996,20.016284111361148,0.27999750660917211,0.30719648876963107,-1.7482774447146352,0.072488089386813365,0.089010332472036588,-1.1397333470638678
L2_A1,3,1,10,B10,451,500,50,0.30199999999999999,30.199999999999999,69.799999999999997,18.970402243880578,0.27208529384633529,0.28616460820592921,-1.5768413549078437,0.10633665741747164,0.11947767858410022,-0.97331699540385008
L2_A1,3,2,1,B01,1,50,50,0.47119999999999995,47.119999999999997,52.880000000000003,17.149256485516879,0.35631046598277222,8.3568261384836067,-2.9050639146643871,0.0015493594573632822,0.0026990066684777396,-2.809847812557869
L2_A1,3,2,2,B02,51,100,50,0.78200000000000003,78.200000000000003,21.800000000000001,10.692765168808053,0.49431636614451963,7.5250425504662983,-2.6498035397780599,0.0062548895114355497,0.0094214041149512061,-2.203780357433017
L2_A1,3,2,3,B03,101,150,50,0.81999999999999995,82,18,7.1453811791021247,0.40306176666413401,7.2471829308656002,-2.7046301340587156,0.002773694956406514,0.0044770483855095002,-2.5569413031884562
L2_A1,3,2,4,B04,151,200,50,0.85040000000000004,85.040000000000006,14.960000000000001,7.5509180989536775,0.51860966182787616,6.9012273025671007,-2.4311052577492704,0.015745439532617821,0.015547922334732546,-1.8028452115643556
L2_A1,3,2,5,B05,201,250,50,0.88879999999999992,88.879999999999995,11.119999999999999,5.6095245714450837,0.51571479813923427,7.3696836764094318,-2.4840658730307523,0.0095490480262635808,0.016028684589229077,-2.0200399224003744
L2_A1,3,2,6,B06,251,300,50,0.90659999999999996,90.659999999999997,9.3399999999999999,4.3358216012224551,0.48277221635713113,6.9335893529778243,-2.4344528815861128,0.030439645165447379,0.05116342941283962,-1.5165604144371538
L2_A1,3,2,7,B07,301,350,50,0.9486,94.859999999999999,5.1399999999999997,3.4571572642021402,0.68864686846676204,7.6062415834148931,-1.0308311917556556,0.17551591290417018,0.22631724261573791,-0.75568350271280227
L2_A1,3,2,8,B08,351,400,50,0.95519999999999994,95.519999999999996,4.4800000000000004,2.5991630927980958,0.60522119786174888,7.8308954233447352,-1.4938495211304967,0.10068307712662174,0.13204792552915204,-0.99704351979540529
L2_A1,3,2,9,B09,401,450,50,0.92980000000000007,92.980000000000004,7.0199999999999996,4.1941195258657755,0.61189893014408347,7.1967133463927446,-1.7482774447146352,0.072488089386813365,0.089010332472036588,-1.1397333470638678
L2_A1,3,2,10,B10,451,500,50,0.94400000000000006,94.400000000000006,5.5999999999999996,3.3762532064485065,0.62868141181617887,7.7165349714705131,-1.5768413549078437,0.10633665741747164,0.11947767858410022,-0.97331699540385008
L2_A1,4,1,1,B01,1,50,50,0.018600000000000002,1.8600000000000001,98.140000000000001,18.929554481461931,0.19300155255415749,0.316860543424484,-2.9348033003809153,0.0014312043603181921,0.0029229371787838081,-2.8442983493137652
L2_A1,4,1,2,B02,51,100,50,0.091799999999999993,9.1799999999999997,90.819999999999993,19.63449763458566,0.2168308751364455,0.2961062585661321,-2.8247923481339519,0.001906876650199284,0.0044668896997785779,-2.7196773991775909
L2_A1,4,1,3,B03,101,150,50,0.16760000000000003,16.760000000000002,83.239999999999995,20.447247360676304,0.24574775676955693,0.30599571968658362,-2.8585735729331003,0.001868002681207912,0.0042605366203665061,-2.7286225047478068
L2_A1,4,1,4,B04,151,200,50,0.19899999999999998,19.899999999999999,80.099999999999994,19.989534671399024,0.25045958970893645,0.30454710095290088,-2.3473067740727469,0.032532533497045331,0.067152126212977684,-1.4876821143713019
L2_A1,4,1,5,B05,201,250,50,0.35580000000000001,35.579999999999998,64.420000000000002,20.139628312283989,0.31287289444399807,0.31109566943858885,-2.3757536651550692,0.017950942788102785,0.032188121798721443,-1.7459127372294889
L2_A1,4,1,6,B06,251,300,50,0.35839999999999994,35.840000000000003,64.159999999999997,20.531181623493197,0.32056520291252305,0.29907111959674376,-2.359571345549385,0.039010357486887852,0.065924106463480167,-1.4088200698401856
L2_A1,4,1,7,B07,301,350,50,0.40039999999999998,40.039999999999999,59.960000000000001,20.693780161500865,0.34540811052905773,0.29375771156246877,-2.4119521859500046,0.018591930225067804,0.050998832448187495,-1.7306755191803016
L2_A1,4,1,8,B08,351,400,50,0.4304,43.039999999999999,56.960000000000001,20.425181414469495,0.35917827418656723,0.29028524164343478,-2.7115962777678355,0.0025155960029982823,0.0058288482010535681,-2.5993591039884767
L2_A1,4,1,9,B09,401,450,50,0.47420000000000001,47.420000000000002,52.579999999999998,19.129329267764106,0.36620675931250979,0.31775324968966867,-2.0337670505078322,0.045286898956214801,0.1032602097941802,-1.3440274168377595
L2_A1,4,1,10,B10,451,500,50,0.54059999999999997,54.060000000000002,45.939999999999998,19.011293937729103,0.4155262030467316,0.31173476186099597,-2.5872836285434113,0.0036952440565051797,0.0062204682296569521,-2.4323568728596285
L2_A1,4,2,1,B01,1,50,50,0.3614,36.140000000000001,63.859999999999999,18.688393745630126,0.30310668033157318,8.1397170092149391,-2.9348033003809153,0.0014312043603181921,0.0029229371787838081,-2.8442983493137652
L2_A1,4,2,2,B02,51,100,50,0.72920000000000007,72.920000000000002,27.079999999999998,10.982323298396501,0.41582876517059864,7.6162526332916913,-2.8247923481339519,0.001906876650199284,0.0044668896997785779,-2.7196773991775909
L2_A1,4,2,3,B03,101,150,50,0.79859999999999998,79.859999999999999,20.140000000000001,8.7455628706242923,0.43726432043896113,7.1185631546899764,-2.8585735729331003,0.001868002681207912,0.0042605366203665061,-2.7286225047478068
L2_A1,4,2,4,B04,151,200,50,0.85400000000000009,85.400000000000006,14.6,6.9405318601489174,0.49058739387820338,7.3380169569081621,-2.3473067740727469,0.032532533497045331,0.067152126212977684,-1.4876821143713019
L2_A1,4,2,5,B05,201,250,50,0.88560000000000005,88.560000000000002,11.44,3.9302033108095293,0.376393220640861,6.9490771223984984,-2.3757536651550692,0.017950942788102785,0.032188121798721443,-1.7459127372294889
L2_A1,4,2,6,B06,251,300,50,0.8862000000000001,88.620000000000005,11.380000000000001,5.4118681978505512,0.48304343260376237,6.9021953391532627,-2.359571345549385,0.039010357486887852,0.065924106463480167,-1.4088200698401856
L2_A1,4,2,7,B07,301,350,50,0.88900000000000001,88.900000000000006,11.1,5.0716903757133061,0.46016554954609445,6.4557697995218923,-2.4119521859500046,0.018591930225067804,0.050998832448187495,-1.7306755191803016
L2_A1,4,2,8,B08,351,400,50,0.89780000000000004,89.780000000000001,10.220000000000001,4.7693849072141434,0.48014929747296792,6.5310449126149903,-2.7115962777678355,0.0025155960029982823,0.0058288482010535681,-2.5993591039884767
L2_A1,4,2,9,B09,401,450,50,0.91000000000000003,91,9,4.8458245822238748,0.55295246647199436,6.9664565794715454,-2.0337670505078322,0.045286898956214801,0.1032602097941802,-1.3440274168377595
L2_A1,4,2,10,B10,451,500,50,0.90439999999999998,90.439999999999998,9.5600000000000005,4.8758173648750986,0.52177533556120614,6.8895527969093431,-2.5872836285434113,0.0036952440565051797,0.0062204682296569521,-2.4323568728596285
L2_A1,5,1,1,B01,1,50,50,0.016200000000000003,1.6200000000000001,98.379999999999995,17.878885327238009,0.1817798977348766,0.29543205205402123,-3.015756832355994,0.001366564924108536,0.0019881381259780283,-2.8643697305924087
L2_A1,5,1,2,B02,51,100,50,0.040800000000000003,4.0800000000000001,95.920000000000002,19.545929782030957,0.2038483232857046,0.28963306857338361,-2.9326392270617192,0.001525905627404788,0.0022076013320855158,-2.816472325335746
L2_A1,5,1,3,B03,101,150,50,0.093000000000000013,9.3000000000000007,90.700000000000003,19.40407677974331,0.21422238425521631,0.29788958666737836,-2.762506776088931,0.0035140954362971738,0.0063395789794527804,-2.4541864480500544
L2_A1,5,1,4,B04,151,200,50,0.151,15.1,84.900000000000006,19.88983221028705,0.23436199446733319,0.30906131362200784,-2.7297552391521531,0.0052753910262960824,0.011185350103507304,-2.2777453437518371
L2_A1,5,1,5,B05,201,250,50,0.17679999999999998,17.68,82.319999999999993,21.300157834120036,0.25894099507525198,0.31947555628885294,-2.7444105006057185,0.0021641504481772099,0.0027797909050909396,-2.664712551078408
L2_A1,5,1,6,B06,251,300,50,0.22080000000000002,22.079999999999998,77.920000000000002,20.766792252046955,0.26659943094220373,0.29692471512411062,-2.7156060922483052,0.0045257319559913996,0.0084786978500370064,-2.3443111714332265
L2_A1,5,1,7,B07,301,350,50,0.26860000000000001,26.859999999999999,73.140000000000001,19.842261456663618,0.27123218882293437,0.31881692660193811,-2.4811423499043905,0.016346673336436832,0.022878273064709506,-1.7865706160084196
L2_A1,5,1,8,B08,351,400,50,0.2944,29.440000000000001,70.560000000000002,20.189707787288356,0.28668799186392158,0.28214842210587665,-2.5713915259259199,0.0090480009120886603,0.016884867833397457,-2.0434473643033071
L2_A1,5,1,9,B09,401,450,50,0.32660000000000006,32.659999999999997,67.340000000000003,20.599833881587426,0.30621333564771869,0.28887758244363604,-2.3284421047004362,0.017723049953777374,0.020372941322428152,-1.7514615384243668
L2_A1,5,1,10,B10,451,500,50,0.35259999999999997,35.259999999999998,64.739999999999995,19.61736012544926,0.30419802762238601,0.30125083567223204,-2.3077196284782411,0.018087753201785014,0.022352819342944735,-1.7426153763501213
L2_A1,5,2,1,B01,1,50,50,0.41820000000000002,41.82,58.18,17.226630205986215,0.31249278910347789,8.6388886937049545,-3.015756832355994,0.001366564924108536,0.0019881381259780283,-2.8643697305924087
L2_A1,5,2,2,B02,51,100,50,0.70540000000000003,70.540000000000006,29.460000000000001,12.298632391100908,0.42226480157361707,7.7198413363469092,-2.9326392270617192,0.001525905627404788,0.0022076013320855158,-2.816472325335746
L2_A1,5,2,3,B03,101,150,50,0.75840000000000007,75.840000000000003,24.16,10.639214627617672,0.4435138074640213,7.8817285485232533,-2.762506776088931,0.0035140954362971738,0.0063395789794527804,-2.4541864480500544
L2_A1,5,2,4,B04,151,200,50,0.82799999999999996,82.799999999999997,17.199999999999999,8.4010141250964914,0.49203234997544493,7.2888546182041019,-2.7297552391521531,0.0052753910262960824,0.011185350103507304,-2.2777453437518371
L2_A1,5,2,5,B05,201,250,50,0.81400000000000006,81.400000000000006,18.600000000000001,7.9230049216650844,0.4300063638034709,6.5401367097270793,-2.7444105006057185,0.0021641504481772099,0.0027797909050909396,-2.664712551078408
L2_A1,5,2,6,B06,251,300,50,0.86140000000000005,86.140000000000001,13.859999999999999,6.8510734950531083,0.50224779666362795,6.7737627466045982,-2.7156060922483052,0.0045257319559913996,0.0084786978500370064,-2.3443111714332265
L2_A1,5,2,7,B07,301,350,50,0.8590000000000001,85.900000000000006,14.1,6.5447893461488613,0.48366778254944981,7.3488848708243912,-2.4811423499043905,0.016346673336436832,0.022878273064709506,-1.7865706160084196
L2_A1,5,2,8,B08,351,400,50,0.89980000000000004,89.980000000000004,10.02,5.018752702568082,0.50961238831038957,6.9168851981059944,-2.5713915259259199,0.0090480009120886603,0.016884867833397457,-2.0434473643033071
L2_A1,5,2,9,B09,401,450,50,0.89760000000000006,89.760000000000005,10.24,4.4045842321131428,0.44110095718812892,6.4392085695334131,-2.3284421047004362,0.017723049953777374,0.020372941322428152,-1.7514615384243668
L2_A1,5,2,10,B10,451,500,50,0.92420000000000002,92.420000000000002,7.5800000000000001,3.5689591418090321,0.49841103577185109,7.1841753089183422,-2.3077196284782411,0.018087753201785014,0.022352819342944735,-1.7426153763501213
L2_A1,6,1,1,B01,1,50,50,0.023399999999999997,2.3399999999999999,97.659999999999997,19.009961664818899,0.19471100818489273,0.28722446486260572,-2.9774880625126574,0.001314067350252102,0.0024019540806390922,-2.8813823751923304
L2_A1,6,1,2,B02,51,100,50,0.047199999999999999,4.7199999999999998,95.280000000000001,19.659982634665724,0.20638344589903451,0.28570510751749945,-2.9853747671520323,0.0012674491786382818,0.002012828799347902,-2.8970694457062276
L2_A1,6,1,3,B03,101,150,50,0.063200000000000006,6.3200000000000003,93.680000000000007,19.635171593546865,0.20962657384384051,0.3036074619424568,-2.6237851314560503,0.0064926199394164195,0.008830193327733344,-2.187580018819093
L2_A1,6,1,4,B04,151,200,50,0.113,11.300000000000001,88.700000000000003,19.868047204709743,0.22412355688348168,0.28586790714352195,-2.7806290470252106,0.0076059400611773569,0.012696533602915498,-2.11884710138072
L2_A1,6,1,5,B05,201,250,50,0.18679999999999999,18.68,81.319999999999993,20.262371410992586,0.25057012188163674,0.30563070330150766,-2.6859038987164467,0.0065148376420987621,0.011138217439419857,-2.1860964029781358
L2_A1,6,1,6,B06,251,300,50,0.24780000000000002,24.780000000000001,75.219999999999999,20.932587148472479,0.27830794601172232,0.31789474013862395,-2.490855919898125,0.013254951828132175,0.018350817154638984,-1.8776218462646783
