arm,seed,layer,block,block_name,task_start,task_end,n_task,strict_dead_frac,strict_dead,alive,eff_rank,eff_rank_per_alive,dose,log10_unfit,unfit,eval_loss_exact,log10_mean_unfit
L2_A1,0,1,1,B01,1,50,50,0.012199999999999999,1.22,98.780000000000001,18.686234357499174,0.18926404398813482,0.29757241519597444,-3.0087204044976339,0.001154622401558506,0.002101536773035928,-2.9375600207340908
L2_A1,0,1,2,B02,51,100,50,0.046199999999999998,4.6200000000000001,95.379999999999995,19.995230697025683,0.20969521450209708,0.31470428771342734,-2.8459446470427645,0.001845372789361592,0.0025196314520559539,-2.7339158874948621
L2_A1,0,1,3,B03,101,150,50,0.083599999999999994,8.3599999999999994,91.640000000000001,20.160618280641874,0.22071052296739546,0.29341587839242089,-2.8850500298816337,0.0016316450308912938,0.0037701313961622141,-2.7873743173303449
L2_A1,0,1,4,B04,151,200,50,0.20019999999999999,20.02,79.980000000000004,19.659502071015623,0.24639110210111842,0.31159590833759859,-2.7501987761334261,0.0020849018034343838,0.0038085795500484437,-2.6809143949975947
L2_A1,0,1,5,B05,201,250,50,0.29399999999999998,29.399999999999999,70.599999999999994,19.916113006463352,0.28222960678736747,0.32068740121375572,-2.7193786029750329,0.0045808031412482523,0.0091629037112527043,-2.3390583715084889
L2_A1,0,1,6,B06,251,300,50,0.28539999999999999,28.539999999999999,71.459999999999994,18.98981384800706,0.26612582024279002,0.32401600816541304,-2.2047066759761509,0.027125512600316662,0.032220385003952717,-1.566622046050862
L2_A1,0,1,7,B07,301,350,50,0.3422,34.219999999999999,65.780000000000001,19.323425874296763,0.29410332975187403,0.30525507148858422,-2.5648675992165755,0.0056937084476606529,0.011824363969924716,-2.2446047751261822
L2_A1,0,1,8,B08,351,400,50,0.29960000000000003,29.960000000000001,70.040000000000006,20.689248492139019,0.29562201191797716,0.29881061256964048,-2.3575460554250443,0.019829072519678817,0.028227717970575324,-1.7026975989064292
L2_A1,0,1,9,B09,401,450,50,0.33360000000000001,33.359999999999999,66.640000000000001,20.222127562124591,0.30398262391896752,0.30726620718629244,-2.0945932046341493,0.045684007664632008,0.076729197702880073,-1.3402358042742677
L2_A1,0,1,10,B10,451,500,50,0.34499999999999997,34.5,65.5,20.695680920686353,0.31609945060288863,0.30385167617764641,-2.2927863980052225,0.029266119104631269,0.039841313446157503,-1.5336348642826401
L2_A1,0,2,1,B01,1,50,50,0.34999999999999998,35,65,19.220833198438466,0.30885106114201671,8.1959152056200946,-3.0087204044976339,0.001154622401558506,0.002101536773035928,-2.9375600207340908
L2_A1,0,2,2,B02,51,100,50,0.66000000000000003,66,34,14.361468147490081,0.42432608936008903,7.5012171039629969,-2.8459446470427645,0.001845372789361592,0.0025196314520559539,-2.7339158874948621
L2_A1,0,2,3,B03,101,150,50,0.73080000000000001,73.079999999999998,26.920000000000002,11.846834496525698,0.44271635595737258,7.2405124939842427,-2.8850500298816337,0.0016316450308912938,0.0037701313961622141,-2.7873743173303449
L2_A1,0,2,4,B04,151,200,50,0.75840000000000007,75.840000000000003,24.16,10.275891508747698,0.42613827354850314,7.3342816819032768,-2.7501987761334261,0.0020849018034343838,0.0038085795500484437,-2.6809143949975947
L2_A1,0,2,5,B05,201,250,50,0.81900000000000006,81.900000000000006,18.100000000000001,8.6768880287589827,0.48512071212972319,7.094925654041397,-2.7193786029750329,0.0045808031412482523,0.0091629037112527043,-2.3390583715084889
L2_A1,0,2,6,B06,251,300,50,0.89260000000000006,89.260000000000005,10.74,5.6038988317464566,0.52178498005909579,7.759833555780931,-2.2047066759761509,0.027125512600316662,0.032220385003952717,-1.566622046050862
L2_A1,0,2,7,B07,301,350,50,0.872,87.200000000000003,12.800000000000001,6.3805082527238381,0.50733399414781166,7.6618427763163268,-2.5648675992165755,0.0056937084476606529,0.011824363969924716,-2.2446047751261822
L2_A1,0,2,8,B08,351,400,50,0.87760000000000005,87.760000000000005,12.24,5.6237271000104476,0.47073069439518067,6.8633970685636214,-2.3575460554250443,0.019829072519678817,0.028227717970575324,-1.7026975989064292
L2_A1,0,2,9,B09,401,450,50,0.88379999999999992,88.379999999999995,11.619999999999999,6.1129920023702446,0.56072297230976764,7.111739644990112,-2.0945932046341493,0.045684007664632008,0.076729197702880073,-1.3402358042742677
L2_A1,0,2,10,B10,451,500,50,0.878,87.799999999999997,12.199999999999999,5.8934404076659872,0.48587536256922048,6.649248110955754,-2.2927863980052225,0.029266119104631269,0.039841313446157503,-1.5336348642826401
L2_A1,1,1,1,B01,1,50,50,0.030200000000000001,3.02,96.980000000000004,19.431698414135564,0.20066303710278419,0.27326443361896446,-2.9665140569709649,0.001375279454282648,0.002662027559741612,-2.8616090450181235
L2_A1,1,1,2,B02,51,100,50,0.065799999999999997,6.5800000000000001,93.420000000000002,20.147443186765088,0.21569826916774013,0.3130836406370841,-2.7850856570635734,0.002004274752560382,0.003391908451614896,-2.6980427442110497
L2_A1,1,1,3,B03,101,150,50,0.085000000000000006,8.5,91.5,20.447424634903793,0.22369947483160593,0.30129685908341147,-2.6203439154549248,0.0083697366090233968,0.01315157201036909,-2.0772882087985662
