endpoint,component,metric,arm,baseline,layer,window,epsilon,component_status,verdict,point,ci_lo,ci_hi,n_seed,n_negative,n_zero,n_positive,bootstrap_B,seed_values
P1,early_gap,strict_dead_frac,L2_A1,L2_none,2,B02,0.05,NOT_EQUIVALENT,NO_EARLY_MORPHOLOGICAL_ADVANTAGE,0.12210000000000004,0.062400000000000011,0.1799,10,0,0,10,20000,"[0.0038000000000000256, 0.08019999999999994, 0.24200000000000005, 0.14040000000000008, 0.036599999999999966, 0.20600000000000007, 0.15499999999999997, 0.08820000000000006, 0.15379999999999994, 0.1038]"
P1,late_gap,strict_dead_frac,L2_A1,L2_none,2,B10,0.05,EQUIVALENT,NO_EARLY_MORPHOLOGICAL_ADVANTAGE,0.028399999999999981,-0.0065999999999999392,0.050000000000000044,10,2,0,8,20000,"[-0.05279999999999996, -0.0381999999999999, 0.038799999999999946, 0.06559999999999999, 0.050000000000000044, 0.057600000000000096, 0.025000000000000022, 0.0046000000000000485, 0.028799999999999937, 0.028000000000000025]"
P1,gap_closure,strict_dead_frac_gap_change_B10_minus_B02,L2_A1,L2_none,2,B10-B02,,,NO_EARLY_MORPHOLOGICAL_ADVANTAGE,-0.10099999999999992,-0.13669999999999999,-0.066199999999999981,10,9,0,1,20000,"[-0.056599999999999984, -0.11839999999999984, -0.2032000000000001, -0.07480000000000009, 0.013400000000000079, -0.14839999999999998, -0.12999999999999995, -0.08360000000000001, -0.125, -0.07579999999999998]"
RECONCILIATION_REPORT_ONLY,L2_A1_phase1_transform,log10_mean_unfit,L2_A1,L2_none,,B10,,,REPORT_ONLY,-0.91538226848414117,-1.1881843751276426,-0.37277993037930607,10,10,0,0,20000,"[-1.25499935301554, -1.1213693972397452, -0.9920372740619725, -0.13482863139676016, -1.3957307820701395, -0.8387272629063098, -0.6040567701170338, -1.1677229453334617, -0.05981369584671703, -0.610731229361852]"
RECONCILIATION_REPORT_ONLY,L2_Aall_phase1_transform,log10_mean_unfit,L2_Aall,L2_none,,B10,,,REPORT_ONLY,-1.1911575662857072,-1.4463462387704942,-0.98555535669869676,10,10,0,0,20000,"[-1.6156792962557738, -1.5159226271478148, -1.3767698503931738, -0.7701702237881283, -0.9855553566986968, -1.2221644415824926, -1.1536999468482245, -1.1601506909889219, -0.8411920968889639, -1.4148630755588174]"
P1_TRAJECTORY,B01_gap,strict_dead_frac,L2_A1,L2_none,2,B01,0.05,POINT_NEAR,REPORT_ONLY,0.028499999999999998,-0.024199999999999999,0.063399999999999956,10,3,0,7,20000,"[-0.04700000000000004, -0.04520000000000007, -0.0242, 0.06339999999999996, 0.042800000000000005, 0.014800000000000035, 0.1068, 0.010800000000000087, 0.04219999999999996, 0.07100000000000001]"
P1_TRAJECTORY,B02_gap,strict_dead_frac,L2_A1,L2_none,2,B02,0.05,NOT_EQUIVALENT,REPORT_ONLY,0.12210000000000004,0.062400000000000011,0.1799,10,0,0,10,20000,"[0.0038000000000000256, 0.08019999999999994, 0.24200000000000005, 0.14040000000000008, 0.036599999999999966, 0.20600000000000007, 0.15499999999999997, 0.08820000000000006, 0.15379999999999994, 0.1038]"
P1_TRAJECTORY,B03_gap,strict_dead_frac,L2_A1,L2_none,2,B03,0.05,NOT_EQUIVALENT,REPORT_ONLY,0.13719999999999999,0.10619999999999996,0.15790000000000004,10,0,0,10,20000,"[0.06700000000000006, 0.14540000000000008, 0.13239999999999996, 0.14200000000000002, 0.12219999999999998, 0.19220000000000015, 0.15379999999999994, 0.09060000000000001, 0.1704, 0.10619999999999996]"
P1_TRAJECTORY,B04_gap,strict_dead_frac,L2_A1,L2_none,2,B04,0.05,NOT_EQUIVALENT,REPORT_ONLY,0.11320000000000002,0.071000000000000008,0.15260000000000007,10,0,0,10,20000,"[0.022400000000000087, 0.10360000000000003, 0.09060000000000001, 0.15360000000000007, 0.12280000000000002, 0.14239999999999997, 0.23420000000000007, 0.07199999999999984, 0.15260000000000007, 0.03839999999999999]"
P1_TRAJECTORY,B05_gap,strict_dead_frac,L2_A1,L2_none,2,B05,0.05,NOT_EQUIVALENT,REPORT_ONLY,0.082399999999999973,0.047600000000000087,0.12679999999999986,10,1,0,9,20000,"[0.04480000000000006, -0.04359999999999997, 0.08039999999999992, 0.11559999999999981, 0.12380000000000013, 0.05040000000000011, 0.08440000000000003, 0.04760000000000009, 0.17220000000000002, 0.1379999999999999]"
P1_TRAJECTORY,B06_gap,strict_dead_frac,L2_A1,L2_none,2,B06,0.05,NOT_EQUIVALENT,REPORT_ONLY,0.057499999999999996,0.036700000000000066,0.083600000000000008,10,0,0,10,20000,"[0.047800000000000065, 0.020600000000000063, 0.04279999999999995, 0.12479999999999991, 0.025600000000000067, 0.06440000000000001, 0.06800000000000006, 0.05120000000000002, 0.06379999999999997, 0.1028]"
P1_TRAJECTORY,B07_gap,strict_dead_frac,L2_A1,L2_none,2,B07,0.05,NOT_EQUIVALENT,REPORT_ONLY,0.054000000000000048,0.010700000000000043,0.080500000000000016,10,2,0,8,20000,"[-0.01739999999999997, 0.03880000000000006, 0.026000000000000134, 0.1372, 0.08660000000000001, 0.06920000000000004, 0.03739999999999999, -0.03499999999999992, 0.07940000000000003, 0.07440000000000002]"
P1_TRAJECTORY,B08_gap,strict_dead_frac,L2_A1,L2_none,2,B08,0.05,POINT_NEAR,REPORT_ONLY,0.035799999999999943,-0.013999999999999901,0.091799999999999993,10,3,0,7,20000,"[-0.03699999999999992, -0.0716, 0.009000000000000119, 0.08840000000000003, 0.12140000000000006, 0.09519999999999995, 0.08999999999999986, -0.010600000000000054, 0.055399999999999894, 0.016199999999999992]"
P1_TRAJECTORY,B09_gap,strict_dead_frac,L2_A1,L2_none,2,B09,0.05,POINT_NEAR,REPORT_ONLY,0.026000000000000023,-0.015700000000000047,0.051199999999999968,10,3,0,7,20000,"[-0.03520000000000012, -0.0716, 0.02100000000000002, 0.0696000000000001, 0.04420000000000002, 0.03500000000000003, 0.0673999999999999, -0.0039999999999998925, 0.0038000000000000256, 0.031000000000000028]"
P1_TRAJECTORY,B10_gap,strict_dead_frac,L2_A1,L2_none,2,B10,0.05,EQUIVALENT,REPORT_ONLY,0.028399999999999981,-0.0065999999999999392,0.050000000000000044,10,2,0,8,20000,"[-0.05279999999999996, -0.0381999999999999, 0.038799999999999946, 0.06559999999999999, 0.050000000000000044, 0.057600000000000096, 0.025000000000000022, 0.0046000000000000485, 0.028799999999999937, 0.028000000000000025]"
P2,functional_gap,log10_unfit,L2_A1,L2_none,,B10,0.1,NOT_EQUIVALENT,INCONCLUSIVE_FUNCTIONAL_KINETICS,-0.47176220735321162,-0.96772711390326172,0.39035563962745856,10,7,0,3,20000,"[-1.879079289325713, -1.31518640995727, -0.5764133107508131, 0.782083131981888, 0.39035563962745856, -0.6202678178492533, -0.1506434164588466, -0.9063233211007733, 0.5165385507996223, -0.3671111039556101]"
P3,aall_vs_none,strict_dead_frac,L2_Aall,L2_none,2,B10,0.05,NOT_EQUIVALENT,AALL_RELATIVE_ONLY,-0.35729999999999995,-0.41769999999999996,-0.28069999999999995,10,10,0,0,20000,"[-0.3365999999999999, -0.3478, -0.5356, -0.15159999999999996, -0.29679999999999995, -0.3667999999999999, -0.3703999999999999, -0.4009999999999999, -0.2248, -0.4650000000000001]"
P3,aall_vs_a1,strict_dead_frac,L2_Aall,L2_A1,2,B10,0.05,NOT_EQUIVALENT,AALL_RELATIVE_ONLY,-0.37109999999999999,-0.44930000000000003,-0.28160000000000002,10,10,0,0,20000,"[-0.28379999999999994, -0.3096000000000001, -0.5743999999999999, -0.21719999999999995, -0.3468, -0.4244, -0.3953999999999999, -0.40559999999999996, -0.25359999999999994, -0.4930000000000001]"
P3,aall_absolute_level,strict_dead_frac,L2_Aall,,2,B10,0.25,NOT_ABSOLUTE_LOW,AALL_RELATIVE_ONLY,0.53659999999999997,0.45729999999999998,0.63690000000000002,10,0,0,10,20000,"[0.5942000000000001, 0.5958, 0.33140000000000003, 0.7268000000000001, 0.5576, 0.4998, 0.49700000000000005, 0.5156000000000001, 0.6796, 0.41479999999999995]"
P4,layer1_gap,strict_dead_frac,L2_A1,L2_none,1,B10,0.05,NOT_EQUIVALENT,INCONCLUSIVE_LAYER_LOCALIZATION,-0.41449999999999998,-0.47689999999999999,-0.35340000000000005,10,10,0,0,20000,"[-0.45720000000000005, -0.4113999999999999, -0.37440000000000007, -0.5564, -0.09199999999999997, -0.4176, -0.4556, -0.35340000000000005, -0.4981999999999999, -0.347]"
P3F_REPORT_ONLY,aall_function_vs_none,log10_unfit,L2_Aall,L2_none,,B10,0.1,NOT_EQUIVALENT,INCONCLUSIVE_AALL_FUNCTION,-0.48243208011376315,-0.93153915951746924,0.34181283879094293,10,7,0,3,20000,"[-1.77016730901504, -1.2500742145203456, -0.4255170717749688, 0.4194276884402115, 0.7817835887153461, -0.5393470884525575, -0.19124718248754702, -0.6130041045145929, 0.34181283879094293, -0.6867823153592789]"
P3F_REPORT_ONLY,aall_function_B10_minus_B02,log10_unfit_change_B10_minus_B02,L2_Aall,L2_Aall,,B10-B02,0.1,NOT_EQUIVALENT,AALL_FUNCTION_DETERIORATED_BY_5M,0.38269923546645246,0.33921776962887318,0.46459905141724045,10,0,0,10,20000,"[0.38282480450128764, 0.4858827022195005, 0.3392177696288732, 0.6402754932958328, 0.3825736664316173, 0.46459905141724045, 0.32436636039258504, 0.39525548812830635, 0.3636608947587088, 0.18746990004759523]"
SENSITIVITY,L2_A1_vs_L2_none_strict_dead_frac_T100,strict_dead_frac,L2_A1,L2_none,2,T100,0.05,NOT_EQUIVALENT,REPORT_ONLY,0.11499999999999999,0.054999999999999993,0.19,10,0,0,10,20000,"[0.06999999999999995, 0.08999999999999997, 0.32000000000000006, 0.020000000000000018, 0.13, 0.020000000000000018, 0.15000000000000002, 0.15000000000000002, 0.22999999999999998, 0.09999999999999998]"
SENSITIVITY,L2_Aall_vs_L2_none_strict_dead_frac_T100,strict_dead_frac,L2_Aall,L2_none,2,T100,0.05,NOT_EQUIVALENT,REPORT_ONLY,-0.47499999999999998,-0.53000000000000003,-0.40000000000000002,10,10,0,0,20000,"[-0.52, -0.54, -0.43, -0.6000000000000001, -0.32, -0.49, -0.45999999999999996, -0.52, -0.37, -0.42999999999999994]"
