scope,window,metric,arm,baseline,layer,seed,arm_level,baseline_level,gap
block,B01,log10_unfit,L2_A1,L2_none,,0,-3.0087204044976339,-12.9306277275988,9.9219073231011663
block,B01,log10_unfit,L2_A1,L2_none,,1,-2.9665140569709649,-11.630165515838097,8.6636514588671325
block,B01,log10_unfit,L2_A1,L2_none,,2,-3.0486095283182073,-13.045563726947169,9.996954198628961
block,B01,log10_unfit,L2_A1,L2_none,,3,-2.9050639146643871,-12.740851157108306,9.835787242443919
block,B01,log10_unfit,L2_A1,L2_none,,4,-2.9348033003809153,-12.253021007318889,9.3182177069379737
block,B01,log10_unfit,L2_A1,L2_none,,5,-3.015756832355994,-13.513664972516624,10.49790814016063
block,B01,log10_unfit,L2_A1,L2_none,,6,-2.9774880625126574,-13.884471142905268,10.90698308039261
block,B01,log10_unfit,L2_A1,L2_none,,7,-3.0331533980295382,-11.559636497038023,8.5264830990084839
block,B01,log10_unfit,L2_A1,L2_none,,8,-2.8663581375297169,-13.262327041089099,10.395968903559382
block,B01,log10_unfit,L2_A1,L2_none,,9,-3.0775606690191024,-13.917663148415437,10.840102479396336
block,B01,log10_unfit,L2_Aall,L2_A1,,0,-2.7027172803221897,-3.0087204044976339,0.30600312417544417
block,B01,log10_unfit,L2_Aall,L2_A1,,1,-2.637827092261507,-2.9665140569709649,0.32868696470945791
block,B01,log10_unfit,L2_Aall,L2_A1,,2,-2.7800138663220597,-3.0486095283182073,0.26859566199614759
block,B01,log10_unfit,L2_Aall,L2_A1,,3,-2.5951949258609113,-2.9050639146643871,0.3098689888034758
block,B01,log10_unfit,L2_Aall,L2_A1,,4,-2.6874082951210938,-2.9348033003809153,0.2473950052598215
block,B01,log10_unfit,L2_Aall,L2_A1,,5,-2.7284818331870646,-3.015756832355994,0.2872749991689294
block,B01,log10_unfit,L2_Aall,L2_A1,,6,-2.7079775981386693,-2.9774880625126574,0.26951046437398807
block,B01,log10_unfit,L2_Aall,L2_A1,,7,-2.7658263525236397,-3.0331533980295382,0.26732704550589848
block,B01,log10_unfit,L2_Aall,L2_A1,,8,-2.6246822049357665,-2.8663581375297169,0.24167593259395037
block,B01,log10_unfit,L2_Aall,L2_A1,,9,-2.8147308972328577,-3.0775606690191024,0.26282977178624467
block,B01,log10_unfit,L2_Aall,L2_none,,0,-2.7027172803221897,-12.9306277275988,10.22791044727661
block,B01,log10_unfit,L2_Aall,L2_none,,1,-2.637827092261507,-11.630165515838097,8.9923384235765909
block,B01,log10_unfit,L2_Aall,L2_none,,2,-2.7800138663220597,-13.045563726947169,10.265549860625109
block,B01,log10_unfit,L2_Aall,L2_none,,3,-2.5951949258609113,-12.740851157108306,10.145656231247395
block,B01,log10_unfit,L2_Aall,L2_none,,4,-2.6874082951210938,-12.253021007318889,9.5656127121977956
block,B01,log10_unfit,L2_Aall,L2_none,,5,-2.7284818331870646,-13.513664972516624,10.785183139329559
block,B01,log10_unfit,L2_Aall,L2_none,,6,-2.7079775981386693,-13.884471142905268,11.176493544766599
block,B01,log10_unfit,L2_Aall,L2_none,,7,-2.7658263525236397,-11.559636497038023,8.7938101445143833
block,B01,log10_unfit,L2_Aall,L2_none,,8,-2.6246822049357665,-13.262327041089099,10.637644836153333
block,B01,log10_unfit,L2_Aall,L2_none,,9,-2.8147308972328577,-13.917663148415437,11.10293225118258
block,B01,strict_dead_frac,L2_A1,L2_none,1,0,0.012199999999999999,0.50219999999999998,-0.48999999999999999
block,B01,strict_dead_frac,L2_A1,L2_none,1,1,0.030200000000000001,0.48479999999999995,-0.45459999999999995
block,B01,strict_dead_frac,L2_A1,L2_none,1,2,0.007000000000000001,0.41439999999999999,-0.40739999999999998
block,B01,strict_dead_frac,L2_A1,L2_none,1,3,0.0218,0.51239999999999997,-0.49059999999999998
block,B01,strict_dead_frac,L2_A1,L2_none,1,4,0.018600000000000002,0.58379999999999999,-0.56520000000000004
block,B01,strict_dead_frac,L2_A1,L2_none,1,5,0.016200000000000003,0.35100000000000003,-0.33480000000000004
block,B01,strict_dead_frac,L2_A1,L2_none,1,6,0.023399999999999997,0.49200000000000005,-0.46860000000000007
block,B01,strict_dead_frac,L2_A1,L2_none,1,7,0.018600000000000002,0.56259999999999999,-0.54400000000000004
block,B01,strict_dead_frac,L2_A1,L2_none,1,8,0.012199999999999999,0.39479999999999998,-0.3826
block,B01,strict_dead_frac,L2_A1,L2_none,1,9,0.028000000000000004,0.48960000000000004,-0.46160000000000001
block,B01,strict_dead_frac,L2_A1,L2_none,2,0,0.34999999999999998,0.39700000000000002,-0.047000000000000042
block,B01,strict_dead_frac,L2_A1,L2_none,2,1,0.34619999999999995,0.39140000000000003,-0.045200000000000073
block,B01,strict_dead_frac,L2_A1,L2_none,2,2,0.31019999999999998,0.33439999999999998,-0.024199999999999999
block,B01,strict_dead_frac,L2_A1,L2_none,2,3,0.47119999999999995,0.4078,0.063399999999999956
block,B01,strict_dead_frac,L2_A1,L2_none,2,4,0.3614,0.31859999999999999,0.042800000000000005
block,B01,strict_dead_frac,L2_A1,L2_none,2,5,0.41820000000000002,0.40339999999999998,0.014800000000000035
block,B01,strict_dead_frac,L2_A1,L2_none,2,6,0.38900000000000001,0.28220000000000001,0.10680000000000001
block,B01,strict_dead_frac,L2_A1,L2_none,2,7,0.33520000000000005,0.32439999999999997,0.010800000000000087
block,B01,strict_dead_frac,L2_A1,L2_none,2,8,0.38179999999999997,0.33960000000000001,0.04219999999999996
block,B01,strict_dead_frac,L2_A1,L2_none,2,9,0.45140000000000002,0.38040000000000002,0.071000000000000008
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,0,0.0144,0.012199999999999999,0.0022000000000000006
