act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss
SNA,l2init,0.001,0,4,b3,1,10,0.06860448982,0.261924588,0.2005723138,1.305886057,0.8825066998,0.1269215524,6.860448982e-05,1.610908047e-05,3.764101555e-06,1.234497891e-05,1.610908047e-05
SNA,l2init,0.001,0,5,W1,2,78400,204.7821257,14.31021054,5.761751502,2.483656321,0.4302359798,12.92410066,0.2047821257,0.1670323778,0.07307615189,0.0939562259,0.1670323778
SNA,l2init,0.001,0,5,b1,1,100,0.3128860377,0.5593621704,0.2109972727,2.651039813,0.3840772146,0.516473921,0.0003128860377,0.0002667453111,0.0001213581019,0.0001453872091,0.0002667453111
SNA,l2init,0.001,0,5,W2,2,10000,146.8572378,12.11846681,5.78005976,2.096598878,0.6708060615,9.28937496,0.1468572378,0.08629248716,0.04017540391,0.04611708325,0.08629248716
SNA,l2init,0.001,0,5,b2,1,100,0.4420066932,0.6648358393,0.5586943256,1.189981371,0.8359380998,0.3648894749,0.0004420066932,0.0001331443289,1.126602094e-05,0.000121878308,0.0001331443289
SNA,l2init,0.001,0,5,W3,2,1000,57.74983705,7.599331356,1.805810489,4.208266261,0.7132299157,6.437045005,0.05774983705,0.04143554839,0.03356488403,0.007870664361,0.04143554839
SNA,l2init,0.001,0,5,b3,1,10,0.04137963382,0.2034198462,0.2005723138,1.014197036,0.7971070226,0.1287024994,4.137963382e-05,1.656433334e-05,8.108440741e-09,1.65562249e-05,1.656433334e-05
SNA,l2init,0.001,0,6,W1,2,78400,213.4843444,14.61110346,5.761751502,2.535878796,0.414146996,13.30232091,0.2134843444,0.1769517417,0.07831103013,0.09864071159,0.1769517417
SNA,l2init,0.001,0,6,b1,1,100,0.3260166961,0.5709787178,0.2109972727,2.706095251,0.4696125703,0.5073297165,0.0003260166961,0.0002573834413,0.0001295866408,0.0001277968005,0.0002573834413
SNA,l2init,0.001,0,6,W2,2,10000,147.0656492,12.12706268,5.78005976,2.098086037,0.6713989104,9.292530839,0.1470656492,0.0863511294,0.04028444604,0.04606668336,0.0863511294
