t,branch,seed,cond,status,hit99,hit999,stop_step,bundle_steps,correct_at_stop,stop_observed,min_correct_after_hit,memo_acc,online_acc,tc,parent_ckpt,parent_sha256,reused,stop_snap,end_snap
48,next,0,std,alive,3100,3600,4100,5100,1200,1,1199,1,0.8030637255,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed0_stop.npz,snap/fork_t48_next_seed0_end.npz
48,next,1,std,alive,4200,4500,5000,5100,1200,1,1199,1,0.766372549,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed1_stop.npz,snap/fork_t48_next_seed1_end.npz
48,next,2,std,alive,4200,4600,5100,5100,1200,1,1200,1,0.7737009804,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed2_stop.npz,snap/fork_t48_next_seed2_end.npz
48,next,3,std,alive,3800,4300,4800,5100,1200,1,1199,1,0.7824019608,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed3_stop.npz,snap/fork_t48_next_seed3_end.npz
48,next,4,std,alive,3000,3500,4000,5100,1200,1,1196,1,0.8140686275,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed4_stop.npz,snap/fork_t48_next_seed4_end.npz
48,next,5,std,alive,3300,4500,5000,5100,1200,1,1199,1,0.7947916667,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed5_stop.npz,snap/fork_t48_next_seed5_end.npz
48,next,6,std,alive,3200,4200,4700,5100,1200,1,1199,1,0.8050857843,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed6_stop.npz,snap/fork_t48_next_seed6_end.npz
48,next,7,std,alive,3300,3800,4300,5100,1200,1,796,0.8350000381,0.8037622549,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed7_stop.npz,snap/fork_t48_next_seed7_end.npz
48,next,8,std,alive,3100,3500,4000,5100,1200,1,1199,1,0.807879902,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed8_stop.npz,snap/fork_t48_next_seed8_end.npz
48,next,9,std,alive,4000,4100,4600,5100,1200,1,1199,1,0.7919117647,1445100,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_next_seed9_stop.npz,snap/fork_t48_next_seed9_end.npz
48,C,0,std,alive,3400,3600,4100,5300,1199,1,1198,1,0.8047877358,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed0_stop.npz,snap/fork_t48_C_seed0_end.npz
48,C,1,std,alive,3500,4700,5200,5300,1199,1,1198,0.9991666675,0.7816391509,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed1_stop.npz,snap/fork_t48_C_seed1_end.npz
48,C,2,std,alive,4200,4800,5300,5300,1200,1,1198,1,0.7571816038,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed2_stop.npz,snap/fork_t48_C_seed2_end.npz
48,C,3,std,alive,3800,3900,4400,5300,1200,1,1199,1,0.7933018868,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed3_stop.npz,snap/fork_t48_C_seed3_end.npz
48,C,4,std,alive,3000,3300,3800,5300,1200,1,1197,1,0.8262735849,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed4_stop.npz,snap/fork_t48_C_seed4_end.npz
48,C,5,std,alive,4200,4700,5200,5300,1199,1,1198,0.9991666675,0.803879717,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed5_stop.npz,snap/fork_t48_C_seed5_end.npz
48,C,6,std,alive,2800,4000,4500,5300,1200,1,1200,1,0.8210259434,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed6_stop.npz,snap/fork_t48_C_seed6_end.npz
48,C,7,std,alive,3400,4600,5100,5300,1200,1,1200,1,0.8060141509,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed7_stop.npz,snap/fork_t48_C_seed7_end.npz
48,C,8,std,alive,3600,4100,4600,5300,1200,1,1198,1,0.8088561321,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed8_stop.npz,snap/fork_t48_C_seed8_end.npz
48,C,9,std,alive,3300,3700,4200,5300,1200,1,1200,1,0.8154245283,1445300,results/altlabels_cifar_0923/LR_iid/ckpts/t48.pt,8c641381b3268bd9fdf6301a9f75272ca1b903806da0097701f51291e6656c14,0,snap/fork_t48_C_seed9_stop.npz,snap/fork_t48_C_seed9_end.npz
