t,branch,seed,cond,status,hit99,hit999,stop_step,bundle_steps,correct_at_stop,stop_observed,min_correct_after_hit,memo_acc,online_acc,tc,parent_ckpt,parent_sha256,reused,stop_snap,end_snap
2,B,0,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed0_stop.npz,snap/fork_t02_B_seed0_end.npz
2,B,1,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed1_stop.npz,snap/fork_t02_B_seed1_end.npz
2,B,2,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed2_stop.npz,snap/fork_t02_B_seed2_end.npz
2,B,3,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed3_stop.npz,snap/fork_t02_B_seed3_end.npz
2,B,4,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed4_stop.npz,snap/fork_t02_B_seed4_end.npz
2,B,5,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed5_stop.npz,snap/fork_t02_B_seed5_end.npz
2,B,6,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed6_stop.npz,snap/fork_t02_B_seed6_end.npz
2,B,7,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed7_stop.npz,snap/fork_t02_B_seed7_end.npz
2,B,8,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed8_stop.npz,snap/fork_t02_B_seed8_end.npz
2,B,9,std,alive,100,100,600,600,1200,1,1200,1,1,60600,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_B_seed9_stop.npz,snap/fork_t02_B_seed9_end.npz
2,C,0,std,alive,1600,1900,2400,3200,1200,1,1200,1,0.8282421875,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed0_stop.npz,snap/fork_t02_C_seed0_end.npz
2,C,1,std,alive,1700,2300,2800,3200,1200,1,1200,1,0.8330664062,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed1_stop.npz,snap/fork_t02_C_seed1_end.npz
2,C,2,std,alive,1400,1800,2300,3200,1200,1,1200,1,0.8323046875,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed2_stop.npz,snap/fork_t02_C_seed2_end.npz
2,C,3,std,alive,1500,1800,2300,3200,1185,1,1090,1,0.8305078125,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed3_stop.npz,snap/fork_t02_C_seed3_end.npz
2,C,4,std,alive,1900,2000,2500,3200,1200,1,1200,1,0.8208203125,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed4_stop.npz,snap/fork_t02_C_seed4_end.npz
2,C,5,std,alive,1700,1900,2400,3200,1200,1,1194,1,0.830078125,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed5_stop.npz,snap/fork_t02_C_seed5_end.npz
2,C,6,std,alive,1500,1700,2200,3200,1200,1,1196,1,0.8387695312,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed6_stop.npz,snap/fork_t02_C_seed6_end.npz
2,C,7,std,alive,1500,1700,2200,3200,1105,1,1105,1,0.8354882812,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed7_stop.npz,snap/fork_t02_C_seed7_end.npz
2,C,8,std,alive,1700,1800,2300,3200,1191,1,1112,1,0.82,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed8_stop.npz,snap/fork_t02_C_seed8_end.npz
2,C,9,std,alive,1700,2700,3200,3200,1200,1,1200,1,0.8150585938,63200,results/altlabels_cifar_0923/LR_abab/ckpts/t02.pt,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,0,snap/fork_t02_C_seed9_stop.npz,snap/fork_t02_C_seed9_end.npz
10,A,0,std,alive,400,500,1000,1000,1200,1,1200,1,0.8976875,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed0_stop.npz,snap/fork_t10_A_seed0_end.npz
10,A,1,std,alive,400,500,1000,1000,1200,1,1200,1,0.892125,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed1_stop.npz,snap/fork_t10_A_seed1_end.npz
10,A,2,std,alive,400,500,1000,1000,1200,1,1200,1,0.8975625,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed2_stop.npz,snap/fork_t10_A_seed2_end.npz
10,A,3,std,alive,500,500,1000,1000,1200,1,1200,1,0.896125,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed3_stop.npz,snap/fork_t10_A_seed3_end.npz
10,A,4,std,alive,400,500,1000,1000,1200,1,1200,1,0.9018125,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed4_stop.npz,snap/fork_t10_A_seed4_end.npz
10,A,5,std,alive,400,500,1000,1000,1200,1,1200,1,0.8924375,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed5_stop.npz,snap/fork_t10_A_seed5_end.npz
10,A,6,std,alive,400,500,1000,1000,1200,1,1200,1,0.8915625,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed6_stop.npz,snap/fork_t10_A_seed6_end.npz
10,A,7,std,alive,400,500,1000,1000,1200,1,1200,1,0.909375,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed7_stop.npz,snap/fork_t10_A_seed7_end.npz
10,A,8,std,alive,500,500,1000,1000,1200,1,1200,1,0.887,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed8_stop.npz,snap/fork_t10_A_seed8_end.npz
10,A,9,std,alive,400,500,1000,1000,1200,1,1200,1,0.8976875,301000,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_A_seed9_stop.npz,snap/fork_t10_A_seed9_end.npz
10,B,0,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed0_stop.npz,snap/fork_t10_B_seed0_end.npz
10,B,1,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed1_stop.npz,snap/fork_t10_B_seed1_end.npz
10,B,2,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed2_stop.npz,snap/fork_t10_B_seed2_end.npz
10,B,3,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed3_stop.npz,snap/fork_t10_B_seed3_end.npz
10,B,4,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed4_stop.npz,snap/fork_t10_B_seed4_end.npz
10,B,5,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed5_stop.npz,snap/fork_t10_B_seed5_end.npz
10,B,6,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed6_stop.npz,snap/fork_t10_B_seed6_end.npz
10,B,7,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed7_stop.npz,snap/fork_t10_B_seed7_end.npz
10,B,8,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed8_stop.npz,snap/fork_t10_B_seed8_end.npz
10,B,9,std,alive,100,100,600,600,1200,1,1200,1,1,300600,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_B_seed9_stop.npz,snap/fork_t10_B_seed9_end.npz
10,C,0,std,alive,1700,2200,2700,3200,1200,1,1200,1,0.8197460937,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed0_stop.npz,snap/fork_t10_C_seed0_end.npz
10,C,1,std,alive,1600,1900,2400,3200,1200,1,1199,1,0.829140625,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed1_stop.npz,snap/fork_t10_C_seed1_end.npz
10,C,2,std,alive,1800,2100,2600,3200,1200,1,1199,1,0.8172265625,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed2_stop.npz,snap/fork_t10_C_seed2_end.npz
10,C,3,std,alive,1900,2100,2600,3200,1200,1,1199,1,0.8122265625,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed3_stop.npz,snap/fork_t10_C_seed3_end.npz
10,C,4,std,alive,1700,2000,2500,3200,1200,1,1200,1,0.81765625,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed4_stop.npz,snap/fork_t10_C_seed4_end.npz
