kind,question,level,label,reason,n_valid_seeds
label,Q1,95,INCOMPLETE,0 valid seeds < 8,0
label,Q1,97.5,INCOMPLETE,0 valid seeds < 8,0
label,Q2,95,INCOMPLETE,0 valid seeds < 8,0
label,Q2,97.5,INCOMPLETE,0 valid seeds < 8,0
label,Q2_rho_cap2,95,INCOMPLETE,0 valid seeds < 8,0
label,Q2_rho_cap2,97.5,INCOMPLETE,0 valid seeds < 8,0
label,Q3,95,INCOMPLETE,0 valid seeds < 8,0
label,Q3,97.5,INCOMPLETE,0 valid seeds < 8,0
