act,kind,name,a,b,n,mean,se,ci95_lo,ci95_hi,ci975_lo,ci975_hi,wins,n_sign,p_sign,class,class_bonf,shell_median,l2init_median,ratio,pass,label,reason,label_bonf,reason_bonf,sentence,problems
R,contrast,d1,shell,l2,10,-0.000189791667,0.0007148967457,-0.001424547134,0.001187340886,-0.001569938282,0.0014244625,4,10,0.75390625,UNRESOLVED,UNRESOLVED,,,,,,,,,,
R,contrast,d2,shell,l2init,10,-0.01711388542,0.0004967265562,-0.0181055599,-0.01627684661,-0.01826024088,-0.01617926993,0,10,0.001953125,SHELL_BELOW,SHELL_BELOW,,,,,,,,,,
R,contrast,d3,l2init,l2,10,0.01692409375,0.0006718463251,0.01569389192,0.0181673987,0.01552213541,0.01834430834,10,10,0.001953125,GREATER,GREATER,,,,,,,,,,
R,contrast_report,r_l2_none,l2,none,10,0.818780875,0.008446057483,0.8013745203,0.8285199484,0.7950684561,0.8288174056,10,10,0.001953125,,,,,,,,,,,,
R,contrast_report,r_l2init_none,l2init,none,10,0.8357049688,0.008334478196,0.8187821258,0.8446581505,0.811412775,0.8448087323,10,10,0.001953125,,,,,,,,,,,,
R,contrast_report,r_shell_none,shell,none,10,0.8185910833,0.008134385753,0.80196205,0.8274547906,0.8015739124,0.8276657813,10,10,0.001953125,,,,,,,,,,,,
R,guard,W1,,,,,,,,,,,,,,,2.218947125,2.193207157,1.011736223,True,,,,,,
R,guard,W2,,,,,,,,,,,,,,,1.878453946,1.891504755,0.9931003034,True,,,,,,
R,guard,W3,,,,,,,,,,,,,,,4.535200989,5.053087191,0.897510931,False,,,,,,
R,guard_bias_report,b1,,,,,,,,,,,,,,,2.751003421,3.008622245,0.9143731572,True,,,,,,
R,guard_bias_report,b2,,,,,,,,,,,,,,,1.803378105,1.385426317,1.301677385,False,,,,,,
R,guard_bias_report,b3,,,,,,,,,,,,,,,1.412912674,1.07276087,1.317080734,False,,,,,,
R,guard_summary,weights_W1_W2_W3,,,,,,,,,,,,,,,,,,False,,,,,,
R,label,conclusion,,,10,,,,,,,,,,,,,,,,D,NORM_MATCH_FAIL,D,NORM_MATCH_FAIL,方向効果は未同定。性能比較のみ確定,
SNA,contrast,d1,shell,l2,10,0.004181802085,0.0002605975374,0.003810894271,0.00472575182,0.003785758469,0.004847169262,10,10,0.001953125,GREATER,GREATER,,,,,,,,,,
SNA,contrast,d2,shell,l2init,10,0.001411927084,7.36886269e-05,0.001268187763,0.001544072916,0.001245196093,0.001561187629,10,10,0.001953125,EQUIV,EQUIV,,,,,,,,,,
SNA,contrast,d3,l2init,l2,10,0.002769875,0.0002352866999,0.002431331514,0.00325775755,0.00240204961,0.003348399345,10,10,0.001953125,GREATER,GREATER,,,,,,,,,,
SNA,contrast_report,r_l2_none,l2,none,10,-0.02194895834,0.0002837407136,-0.02252356562,-0.02148505443,-0.02260847109,-0.0214395207,0,10,0.001953125,,,,,,,,,,,,
SNA,contrast_report,r_l2init_none,l2init,none,10,-0.01917908333,0.0001102445336,-0.01938257396,-0.01896807579,-0.01940549036,-0.01893966562,0,10,0.001953125,,,,,,,,,,,,
SNA,contrast_report,r_shell_none,shell,none,10,-0.01776715625,9.541964121e-05,-0.0179515237,-0.01760367578,-0.01797631432,-0.01758662474,0,10,0.001953125,,,,,,,,,,,,
SNA,guard,W1,,,,,,,,,,,,,,,2.475911522,2.42714627,1.0200916,True,,,,,,
SNA,guard,W2,,,,,,,,,,,,,,,2.023749994,2.092560347,0.9671166697,True,,,,,,
SNA,guard,W3,,,,,,,,,,,,,,,3.761338518,4.174405731,0.9010476605,True,,,,,,
SNA,guard_bias_report,b1,,,,,,,,,,,,,,,2.657982441,2.810664877,0.9456774667,True,,,,,,
SNA,guard_bias_report,b2,,,,,,,,,,,,,,,1.394749145,1.215300185,1.147658136,False,,,,,,
SNA,guard_bias_report,b3,,,,,,,,,,,,,,,1.359896459,1.18745172,1.145222526,False,,,,,,
SNA,guard_summary,weights_W1_W2_W3,,,,,,,,,,,,,,,,,,True,,,,,,
SNA,label,conclusion,,,10,,,,,,,,,,,,,,,,D,EQUIV_GAIN_UNRESOLVED,D,EQUIV_GAIN_UNRESOLVED,方向効果は未同定。性能比較のみ確定,
R+SNA,cross_activation,statement_allowed,,,,,,,,,,,,,,,,,,True,,,,,,
