arm,R_W,sink_W,R_M,sink_M,G_within,G_between,width,dp_wclamp,edge_wclamp,dp_mclamp,edge_mclamp,dp_dclamp,edge_dclamp,b_Z_ref,b_S_ref,b_B_ref,g3_ok
LR,+0.242;+0.565;+0.228,MIXED,+1.374;+1.020;+1.681,SINK_SURVIVES_M,+0.748;+0.787;+0.973,+0.647;+0.975;+2.592,MIXED,-0.011;-0.005;-0.015,EDGE_HELD,-0.030;-0.035;-0.028,MIXED,+0.113;+0.091;+0.104,EDGE_LIFTS,-0.02115;-0.02335;-0.01530,+0.01341;+0.01308;+0.01145,+0.01856;+0.01604;+0.00870,111;111;111;111
SNA,NA;+0.143;NA,NOT_TESTABLE_REF_FLAT,NA;+0.606;NA,NOT_TESTABLE_REF_FLAT,+0.999;+0.586;+0.803,NA;-0.245;+0.198,NOT_TESTABLE_REF_FLAT,-0.024;-0.010;+0.003,EDGE_HELD,-0.014;-0.021;-0.011,EDGE_HELD,+0.021;+0.040;+0.053,MIXED,-0.00372;-0.01116;-0.00103,+0.00651;+0.00880;+0.00812,+0.00161;+0.02020;+0.01811,111;111;111;111
ELU1,+1.588;+0.958;+1.075,SINK_SURVIVES_W,+0.655;+0.230;+0.411,MIXED,+0.663;+0.593;+0.291,+0.713;+0.550;+0.081,WIDTH_PARTIAL,-0.016;-0.033;-0.012,MIXED,-0.043;-0.043;-0.045,EDGE_PARTIAL,+0.222;+0.173;+0.204,EDGE_LIFTS,-0.03206;-0.03844;-0.03340,+0.02019;+0.02217;+0.02344,+0.04448;+0.06035;+0.06147,111;111;111;111
