arm,seed,clamp,b_Z,b_S,b_B,b_B_between,p_late,acc_med,ce_frac,sigma_late,between_late,star_sd_late,w2col_late,pressure,z_held,z20,eps_max_late
LR,0,ref,-0.021152519245179854,0.013408941394194632,0.01855766155396443,0.01999407888386653,0.15620800781250002,0.9058000147342682,1.0,2.2665184879941362,2.37897147059038,2.3074128717352136,2.372712658162604,0.0,-3.7665885210978254,-1.7742515933768737,1.2820776908686462
LR,0,wclamp,-0.0051291186119599135,0.00022283518701254619,-0.004013337637188313,-0.0031426798387903417,0.14569287109375,0.91839998960495,1.0,1.3430529724797409,1.504453644447295,1.4528922140907319,2.404782198442156,1.7046304286330423,-2.452942423293727,-1.7742515933768737,0.622391552590243
LR,0,mclamp,-0.029066378007277613,0.013319313425652074,0.0023043416956871118,0.0024504930820000563,0.126189453125,0.9048499763011932,1.0,2.219453438139419,1.5350557162843448,1.4472168813928254,2.3572646795848664,2.862251560854317,-4.0666389948787645,-1.7742515933768737,1.2310865646761173
LR,0,dclamp,-0.0049077504285967586,0.010031116757553181,0.012008228821049523,0.013794365828475819,0.26936962890625005,0.9079000055789948,1.0,2.029608493978503,2.563357233854709,2.4288186410454218,2.355686230737124,0.09014973284440966,-1.9727732712301305,-1.7742515933768737,1.1850043470723997
LR,1,ref,-0.023346905061578434,0.013079719150086141,0.01604227282934866,0.01673345982168298,0.15749365234375,0.906000018119812,1.0,2.146581828550532,2.2456115932450813,2.1728942756946275,2.351542584911737,0.0,-3.8163295710751575,-1.8746849766250415,1.1665072001625676
LR,1,wclamp,-0.013197872723157278,0.001855202585178608,0.000935380514800626,0.0006366664178099029,0.15253857421875,0.9193499982357025,1.0,1.2427814376486086,1.4356827435549069,1.40442238966541,2.388682447363446,1.656044256412563,-2.4569985268972845,-1.8746849766250415,0.5769247238243124
LR,1,mclamp,-0.023808677116615894,0.011379105133225013,0.001337094038184286,0.0014184871575886045,0.12292822265624999,0.9070000052452087,1.0,2.043120397548085,1.1991943573519122,1.1306254539150584,2.3541773809214632,9.86171834734208,-3.8629385250558537,-1.8746849766250415,1.2394316117667041
LR,1,dclamp,-0.0031454502287609496,0.010296813891428858,0.01564491826588909,0.0160901469319332,0.24889160156249995,0.909850001335144,1.0,1.9592731802903696,2.442079657830967,2.369717560738944,2.3231208557965566,0.09141505622347218,-2.068923602279418,-1.8746849766250415,1.0762098160103728
LR,2,ref,-0.015297553215742781,0.011446453857864667,0.008701637452986239,0.008831080552453201,0.14581640624999997,0.9033499956130981,1.0,2.233232726706256,2.149668276667682,2.0421601060709955,2.377591337959301,0.0,-3.849284078232958,-1.8337053943866517,1.1001252835392104
LR,2,wclamp,-0.003493992268766202,-0.0010587313435084773,-0.008554973894414668,-0.009551960941939903,0.13059179687499997,0.9196499884128571,1.0,1.3426823458851573,1.5397326591642475,1.4745173095309274,2.446480343707555,1.7141790872966685,-2.5197733299664398,-1.8337053943866517,0.6949462352309201
LR,2,mclamp,-0.025717188174771914,0.011780508613637112,0.0009223483513894328,-0.0001069782276460985,0.118029296875,0.9060500264167786,1.0,2.146788694865718,1.3883057197338746,1.272787575653533,2.354774406438947,5.9072130442288,-3.939642492995437,-1.8337053943866517,1.1329225960514333
LR,2,dclamp,-0.004474646117534979,0.011138341184558555,0.022555449690210318,0.0239152242733423,0.24951806640625002,0.9072499871253967,1.0,2.009332134310349,2.63930243957346,2.5591713854470184,2.3357894878044054,0.09476568020132298,-2.005511710158582,-1.8337053943866517,1.140083237578905
SNA,0,ref,-0.0037213140019068287,0.006510975181131983,0.0016067544827607521,0.004422015781506714,0.2969267578125,0.9187000095844269,1.0,1.4523220644706425,1.0366267370042066,0.960255234892647,1.3188572075605896,0.0,-1.013850913559912,-0.7065748288367417,1.0670508638368392
SNA,0,wclamp,-0.00424901770835652,0.0022528801420717216,0.017587921799987284,0.017666384800621292,0.27305078125,0.9234000146389008,1.0,0.9106752442371262,0.9560352512650082,0.9286203780769373,1.367973661350763,1.4524593455152024,-0.8744462820982688,-0.7065748288367417,0.5222850034454981
SNA,0,mclamp,-0.008165719079303909,0.006680003722842389,0.00034552377688485357,0.0023370544082213967,0.282814453125,0.9195500016212463,1.0,1.429916352536581,0.7975926711914393,0.74428407494157,1.3245013359797515,6.608107455457341,-1.1864140572366497,-0.7065748288367417,0.8391225894550327
