zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,task,step,clamp,pressure,acc,arm,iv,seed
0.0656259593415733,0.30207475813543233,0.02258697268092099,0.56263671875,0.021676303151240646,0.1590628291517413,0.015445108974033004,0.54263427734375,0.0014250453707575766,0.023971102061369223,-9.516381437076314e-05,0.0002783788678108758,0.0010803230869114034,0.6034311275492441,-0.002083779652020894,0.01993118927573395,0.0264327424322236,0.11003562129919266,0.11672889604331806,0.5913869022895184,0.9142164372690604,1.7302217483520508,1,20,ref,0.0,,ELU1,none,2
0.36910929844390894,0.8231321574746883,0.1476771722603734,0.6359765625,0.16413312924015147,0.2702796864457282,0.1273184031149358,0.635458984375,0.015265891645760936,0.05672280982297735,0.0010624074364628503,0.001590405535464364,0.003286851314113972,0.9406875859133169,0.00038392344722524283,0.028467519633544464,0.1633015864567102,0.3332057304991741,0.17368307466279329,0.7579473151901996,0.8657986410924423,0.422985702753067,1,300,ref,0.0,,ELU1,none,2
0.10236057957430762,0.9171009054811591,0.21299573587710782,0.53125,0.010294102961988374,0.3194207463231295,0.23189271583607327,0.5050341796875,0.02201139272291516,0.07804843768141469,0.0019697827772952024,0.0001120466423190784,0.004383098147450205,1.1067039329779527,-0.0025619615316099954,0.03314952441872672,0.008915851332864237,0.4475682675430046,0.18770699367763294,0.7948860837259217,0.784552835920681,0.3383326232433319,1,625,ref,0.0,0.9132000207901001,ELU1,none,2
-0.3590259145042179,0.6369335341806049,0.44125080873950673,0.3433984375,-0.14079532847617582,0.34236942045845237,0.2809959446720237,0.42331298828125,0.02942553659332178,0.08620903001564635,0.001582253456088436,-0.0012475472890344777,0.004913555235064834,1.1657977666037351,-0.006284011482202914,0.03422501719577088,-0.13408002595216745,0.49789081718969147,0.18935654707799454,0.7818783836202147,0.6714094907047911,0.9355900287628174,2,20,ref,0.0,,ELU1,none,2
-0.07513595339343776,0.9853570493309538,0.504771880511911,0.4726171875,-0.04309690091825351,0.39986137891830015,0.405386674478755,0.48688720703125,0.04108687785704285,0.11757935152484793,0.0012228929685536138,-0.000181106684792822,0.005987593219595061,1.358707706676528,-0.00581316837167833,0.04087609193639073,-0.02436534087353461,0.603697899748601,0.21680456630202105,0.8229024958084901,0.7190062596127337,0.38016781210899353,2,300,ref,0.0,,ELU1,none,2
-0.22088150230173767,1.1210978481283953,0.47769643246135823,0.43310546875,-0.14073809264684964,0.4264545047024101,0.4356949670474334,0.45287353515625,0.0465720220723318,0.13554855079803194,-0.0002571282893858548,-0.0010365969713478473,0.00629286125266617,1.4521938537518733,-0.006965846387902275,0.046799539994726615,-0.11315257190466933,0.6323905235023016,0.2509296634725944,0.8541419782119969,0.6779474204934292,0.27115172147750854,2,625,ref,0.0,0.9230999946594238,ELU1,none,2
-0.5985565947699815,0.6390386664257902,0.6144001941059433,0.27380859375,-0.3407981281481139,0.44114340239294725,0.4277178419708178,0.34721435546875,0.05599512169984818,0.142377016585417,-0.0037646368104394257,-0.0029118867313932474,0.006358097993997351,1.4953552695111654,-0.011398294254322537,0.047086440889317085,-0.30968559937766754,0.6347033297129739,0.2672604133261096,0.8413627526669536,0.5837115030245877,1.0147203207015991,3,20,ref,0.0,,ELU1,none,2
-0.236062897348519,1.0903398406701619,0.62785740247701,0.41904296875,-0.2304841909026894,0.4914839260676417,0.6275885678004509,0.42644287109375,0.06936915274126947,0.17537244485920536,-0.003185148017611786,-0.0018217107395532073,0.007567453354265004,1.654535171729983,-0.00949855933431536,0.054427855248948435,-0.19611062132052642,0.7538166787032899,0.32901369772550737,0.8831295523084028,0.6625874242584792,0.27934983372688293,3,300,ref,0.0,,ELU1,none,2
-0.3207869398962825,1.2173253885085726,0.6775414928406756,0.40517578125,-0.2887779215768238,0.5163717927717012,0.6873440596842122,0.41044189453125,0.07878549664282383,0.19086202988966489,-0.0030076981622280357,-0.002357649815898327,0.007953013629561512,1.7261363944503458,-0.01185081375471782,0.05905147600409391,-0.25336330200743773,0.791407660996173,0.34910225614462465,0.910727651970151,0.6344245436702329,0.2531531751155853,3,625,ref,0.0,0.9189000129699707,ELU1,none,2
-0.5035676545463417,0.7361179139829627,0.9746482418289578,0.34310546875,-0.38809039092206804,0.5284536869168183,0.7238900191638606,0.369755859375,0.08643440720986409,0.1942750211481099,-0.0014461291419953844,-0.0032564678960231006,0.00805510329488809,1.7505965622055306,-0.014265138129703701,0.06240472708374193,-0.34785058376297295,0.8085905259667131,0.33353327285554846,0.9044693050670005,0.6036567488162313,1.0135999917984009,4,20,ref,0.0,,ELU1,none,2
