arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKA,raw,0,0,0.001,1,none,0.8872020833,1,1,0,0,-0.3145807385,5.178458214,-18.86442566,1.017825723,64.58867246,0,0,-2.786802292,9.116339684,-16.61008835,0.8333462477,70.31817003,5.023633003,1.032802343,0.830082655,0.119506523,0.06421911716,0.2200387418,0,1.200000048,0.06846287102,0.03740551695,0.1630031019,0,1.200000048
KKA,raw,0,0,0.001,2,none,0.9413020833,1,1,0,0,-3.624108553,7.030373573,-36.27560043,0.8348922133,70.14213706,0,0,-7.776533604,13.1368885,-34.77912903,0.6785684228,75.77465934,6.813074589,1.359437346,1.040055513,0.08672018349,0.04079388082,0.1397595704,0,1.200000048,0.04688041285,0.02349044941,0.0730734095,0,1.200000048
KKA,raw,0,0,0.001,3,none,0.94291875,1,1,0,0,-3.859780312,7.515498161,-23.81180954,0.7852492332,76.24510336,0,0,-13.53615475,15.78499031,-44.14953232,0.6007030606,76.3168236,7.96522665,1.613345265,1.053659201,0.08163721859,0.05127545074,0.1292792857,0,1.200000048,0.03966499865,0.01786772162,0.06161450967,0,1.200000048
KKA,raw,0,0,0.001,4,none,0.93886875,1,1,0,0,-4.465919018,8.635473251,-37.88844299,0.8022373915,70.9137497,0,0,-15.50333881,22.55029106,-43.84390259,0.6357674003,77.559578,9.128551483,1.833414316,1.100869656,0.07125773281,0.04881704599,0.1028642952,0,1.200000048,0.02762991935,0.018528549,0.04650460184,0,1.200000048
KKA,raw,0,0,0.001,5,none,0.9359458333,1,1,0,0,-5.772544861,9.45356369,-32.72133255,0.7551285028,75.39679276,0,0,-19.18274307,23.35736465,-62.73583984,0.5784518719,77.74891911,10.28146744,1.988653898,1.080411077,0.06534760445,0.0408892408,0.09537426382,0,1.200000048,0.02635818906,0.0139421355,0.04053650796,0,1.200000048
KKA,raw,0,0,0.001,6,none,0.93671875,1,1,0,0,-7.87839365,9.554987907,-35.15618515,0.7096206546,78.33531227,0,0,-22.81070328,23.60185623,-67.69647217,0.5677324533,77.04310996,11.07880402,2.085608006,1.042156577,0.06419022381,0.0403922759,0.09014934301,0,1.200000048,0.02618800104,0.01502214558,0.04352842644,0,1.200000048
KKA,raw,0,0,0.001,7,none,0.944,1,1,0,0,-6.898055077,9.746488571,-39.48189926,0.7393189669,77.51643142,0,0,-20.50620842,25.33671761,-62.26293945,0.5970516205,77.85154763,11.67719841,2.199801207,1.072230101,0.06362822652,0.04327907041,0.08981633186,0,1.200000048,0.02451285534,0.01507902797,0.04064165428,0,1.200000048
KKA,raw,0,0,0.001,8,none,0.9455708333,1,1,0,0,-7.084555626,10.12164783,-33.89084625,0.7186260223,78.55744194,0,0,-20.49431801,26.37691116,-62.76801682,0.5829725862,78.496728,12.36496067,2.272070646,1.093636394,0.06127969921,0.0386878401,0.08822263777,0,1.200000048,0.02369189449,0.01365414727,0.03554131463,0,1.200000048
KKA,raw,0,0,0.001,9,none,0.9390083333,1,1,0,0,-8.105503082,10.41474724,-31.08167076,0.6717476249,79.9504552,0,0,-27.28610992,27.36953735,-58.61356354,0.5418158174,78.44916152,13.02257824,2.372360468,1.068865776,0.05911050737,0.04272353649,0.08478028327,0,1.200000048,0.02254874445,0.01320409123,0.03572904319,0,1.200000048
KKA,raw,0,0,0.001,10,none,0.9392729167,1,1,0,0,-8.092967987,10.79362965,-36.89281845,0.7298187613,79.25064248,0,0,-25.57561493,31.3227787,-76.61136627,0.5981374383,78.68431108,13.59256268,2.48674345,1.138272762,0.05708554015,0.04106993228,0.08139891177,0,1.200000048,0.01968581229,0.01160422247,0.03015905619,0,1.200000048
