statistic,metric,estimate,ci_lo,ci_hi,weight,n_boot,bootstrap_seed,n_nonfinite
A,S0,0.042294548151013973,0.031337145641054644,0.058090196403650901,4431,10000,20260901,0
A,S1,0.17782210830619774,0.16862224576971424,0.2018336566942367,4431,10000,20260901,0
A,delta_S,0.15569526388754551,0.14623739108584669,0.18008398881458634,4431,10000,20260901,0
D,S0,0.0060481192506017314,0.0035762003429781475,0.0070416827367227328,4431,10000,20260901,0
D,S1,0.083167378686772805,0.067336718427929321,0.091008893003824323,4431,10000,20260901,0
D,delta_S,0.077119259436171067,0.061634292749697173,0.085903315906807165,4431,10000,20260901,0
