id,status,value,threshold,detail
M2-S1,PASS,"{""n_cell"": true, ""n_exposure"": true, ""n_seed"": true, ""n_t0"": true, ""n_valid_cell"": true}",registered exposure/cell structure,
M2-S2,PASS,True,exact original final-state hashes,runner gate
M2-S3,PASS,True,all original UNIT/RUN arrays exactly equal,runner gate
M2-S4,PASS,0.0,finite/nonnegative/S=0 iff p_hat=0/scalar error<1e-12,
M2-S5,PASS,15582,"1:1 join, n=15582",unique source key
M2-S6,PASS,"{""finite"": true, ""opening_identity"": true}",S0>0; S1>=0; S1=0 iff strict_dead,
M2-S7,PASS,"{""n_low"": 5023, ""n_high"": 4431, ""n_cell"": 2839}",work-6 fixed primary rows/cells,
M2-S8,PASS,0,0 nonfinite bootstrap values,B=10000
M2-S9,PASS,8,all CSV byte-identical across two full builds,
