seed,unit,switch,t0,t1,epoch,p_hat,p_count,end_strict_dead,end_dead_0_05,eval_nmse,y_var,pre_max,x,r,w_norm,b,v,utility_raw,utility_nmse,margin5_bin,cell_id,utility_nmse_group,primary_cell_valid,S0,S1,delta_S
0,4,200000,200001,210000,200-390k,0.0625,2,1,1,1.8370652491183892,2.9365234375,0.17891297023743391,-0.27526337065040918,1.6348137254004014,1.6578256361811283,0.0016821147873997001,0.70455652475357045,-0.015421612053859999,-0.0052516563828241998,1,1,mid,True,0.01091520901536569,0,-0.01091520901536569
0,20,200000,200001,210000,200-390k,0.5,16,0,0,1.8370652491183892,2.9365234375,4.2785718664526939,0.0091183404889008998,4.1639206152970187,4.1639305991609374,0.079594716429710305,-1.3254839181900024,0.98892025989749155,0.33676566216662168,4,74,mid,True,0.84542254731059074,0.27586165233515203,-0.56956089497543871
0,28,200000,200001,210000,200-390k,0.0625,2,0,1,1.8370652491183892,2.9365234375,1.3844557702541351,-0.68645719810008221,3.9780943555912094,4.0368871902506838,-0.50882804393768311,1.7601237297058103,0.23677756135620831,0.080631933099021294,4,4,high,True,0.050368702039122581,0.016132886754348874,-0.034235815284773707
0,29,200000,200001,210000,200-390k,0.0625,2,1,1,1.8370652491183892,2.9365234375,0.37782576680183411,-0.44426816810786862,2.4447723613622254,2.4848110801577161,-0.32031258940696711,1.1943879127502439,0.0082500388492530996,0.0028094578588742998,3,3,mid,True,0.013647197745740414,0,-0.013647197745740414
0,39,200000,200001,210000,200-390k,0.09375,3,0,0,1.8370652491183892,2.9365234375,1.0773495025932789,-0.4018918431282138,2.7217982247129582,2.7513092573579594,-0.1768592894077301,1.516684889793396,0.26788248042984297,0.091224363139394402,4,9,mid,True,0.062040887656621635,0.052570704363461118,-0.0094701832931605168
0,43,200000,200001,210000,200-390k,0.21875,7,0,1,1.8370652491183892,2.9365234375,2.3433081666007638,-0.19028434091112001,3.5839577601251742,3.5890056222799984,-0.52055239677429188,-1.6876884698867798,0.0087999353222052001,0.0029967189125168002,4,29,mid,True,0.2298612461599987,0.036022028187289834,-0.19383921797270887
0,52,200000,200001,210000,200-390k,0.0625,2,1,1,1.8370652491183892,2.9365234375,1.171881128102541,-1.4303799007477256,5.5200126788834316,5.702326423092325,-0.1065017580986022,1.0290120840072632,0.0077560114451519996,0.0026412223877072,4,4,mid,True,0.049037949414923787,0,-0.049037949414923787
0,55,200000,200001,210000,200-390k,0.28125,9,0,0,1.8370652491183892,2.9365234375,3.4846144616603847,-0.29073516526796078,5.0984125380862677,5.1066953448231711,-0.70392191410064686,1.0139433145523071,0.58883134472801535,0.20051988593331821,4,39,high,True,0.38718427997082472,0.14155356399714947,-0.24563071597367525
0,56,200000,200001,210000,200-390k,0.0625,2,0,0,1.8370652491183892,2.9365234375,1.6940580010414124,-1.0229785919840082,6.0589892508257455,6.1447405104918396,-1.1051822900772097,-0.66451865434646595,0.088615212107973101,0.030176912936004101,4,4,high,True,0.055313169956207275,0.36035472783260047,0.3050415578763932
0,61,200000,200001,210000,200-390k,0.21875,7,0,0,1.8370652491183892,2.9365234375,2.0518884509801865,-0.37120879064570528,3.3640682607812105,3.3844868487627728,-0.098934873938560403,1.7032098770141602,0.84236264086099566,0.28685711481265702,4,29,high,True,0.18050305964425206,0.040762058459222317,-0.13974100118502975
0,64,200000,200001,210000,200-390k,0.15625,5,1,1,1.8370652491183892,2.9365234375,1.492329977452755,-0.2349339438619403,3.1930567969146519,3.2016879401811447,-0.52339738607406605,-1.2977501153945925,0.086438886986656999,0.029435789914977299,4,19,mid,True,0.14735731645487249,0,-0.14735731645487249
0,6,210000,210001,220000,200-390k,0.21875,7,1,1,1.4726484020848769,2.1835937500000004,0.40385416522622097,-0.0493434918300086,1.4728766166711631,1.473702923971677,-0.1216899529099464,0.2785530686378479,0.033312640528266602,0.015255878309903799,0,165,high,True,0.040011809091083705,0,-0.040011809091083705
0,20,210000,210001,220000,200-390k,0.21875,7,0,0,1.4726484020848769,2.1835937500000004,2.4754044786095615,-0.60711401346869642,4.1659932371343595,4.2099984652252882,0.036829739809036199,-1.0091311931610107,-0.14978030872754411,-0.068593486644456705,4,169,low,True,0.21568503486923873,0.075710840756073594,-0.13997419411316514
