scope,seed,group,metric,n,mean,sd,q05,q10,q25,median,q75,q90,q95,p_negative,p_zero
all_labeled,0,low,S0,451,0.35962060366807164,0.49691504905652423,0.010745777224656194,0.020383513532578945,0.053112818393856287,0.15523087489418685,0.46604177478002384,1.0332427015528083,1.3850510033080354,0,0
all_labeled,0,low,S1,451,0.30893825736869029,0.50050851414481567,0,0,5.1977694965898991e-05,0.084148942958563566,0.39846185711212456,0.95933102164417505,1.3736922006355599,0,0.25055432372505543
all_labeled,0,low,delta_S,451,-0.050682346299381321,0.34195156885224953,-0.54389738437021151,-0.38543954398483038,-0.14449154291651212,-0.033526599407196045,0.0042034200305351987,0.19644773256732151,0.55442318627319764,0.73835920177383596,0
all_labeled,1,low,S0,468,0.35362619136053891,0.45340533577345143,0.010249789210502061,0.017233941628364845,0.041857022006297484,0.17073639552108943,0.50925592221028637,0.97464246910531083,1.204428776685381,0,0
all_labeled,1,low,S1,468,0.2969012819641787,0.46233753031587366,0,0,0,0.09387070604134351,0.39105062509770505,0.87662162095075491,1.1699644088163039,0,0.27136752136752135
all_labeled,1,low,delta_S,468,-0.056724909396360219,0.36458368850104778,-0.58077097854693416,-0.43700131085934119,-0.16045651040622033,-0.032389810825407039,0.042218301183311269,0.2604736067296472,0.50678036785684522,0.69444444444444442,0
all_labeled,2,low,S0,368,0.41499567032307189,0.52866764690191226,0.013537545956205576,0.022242255962919448,0.051831231889082119,0.17563354910816997,0.5915485511359293,1.064986509323353,1.6551165230746845,0,0
all_labeled,2,low,S1,368,0.3450932184854853,0.55510746740627137,0,0,0,0.080454728566110134,0.44560342776821926,1.1350838895945345,1.502757116733118,0,0.27989130434782611
all_labeled,2,low,delta_S,368,-0.069902451837586574,0.38558612886979543,-0.68248663041449609,-0.49543987661309075,-0.18801216431893408,-0.039704540593447746,0.016652682927087881,0.31608431339263937,0.59455595422186835,0.73369565217391308,0
all_labeled,3,low,S0,426,0.43184438251380619,0.54388244256417639,0.012351813702480285,0.020989720534998924,0.053685160004533827,0.19463697465835139,0.60758214138331823,1.2025598261971027,1.6830375819117762,0,0
all_labeled,3,low,S1,426,0.35531561793845812,0.56916256899518769,0,0,0,0.089773332525510341,0.41469450469594449,1.17592939583119,1.6960729884449393,0,0.2699530516431925
all_labeled,3,low,delta_S,426,-0.07652876457534806,0.40101878835074045,-0.69513554117293097,-0.50483081456332002,-0.18822013621684164,-0.055420440505258739,0.00044523864926304668,0.23723998584318906,0.59995984613487963,0.74882629107981225,0
all_labeled,4,low,S0,307,0.44656007363255562,0.53851506452569542,0.010412255238043145,0.016622898296918719,0.044796420261263847,0.22657622909173369,0.70887260380550288,1.1675109729403639,1.5652944419547565,0,0
all_labeled,4,low,S1,307,0.40314291353963128,0.56913216188625348,0,0,0,0.12175675015896559,0.6183760860003531,1.2724907910684125,1.5910475105047226,0,0.25407166123778502
all_labeled,4,low,delta_S,307,-0.043417160092924324,0.43186538540134201,-0.6722927174636425,-0.4728247084189206,-0.17142649821471423,-0.036442374344915152,0.041948762132960837,0.3588234348571861,0.65570971153210811,0.70032573289902278,0
all_labeled,5,low,S0,336,0.49194562196743435,0.57263860897383023,0.013162715273210779,0.029655184102011845,0.092468087794259191,0.28269991230627056,0.69671276917506475,1.2066839479375631,1.5421729582303669,0,0
all_labeled,5,low,S1,336,0.39209937564357589,0.54711412365551715,0,0,0.0095406579785048962,0.14808300622826209,0.58230810768145602,1.1417394172167405,1.4472225264762528,0,0.21726190476190477
all_labeled,5,low,delta_S,336,-0.09984624632385844,0.44676828382057204,-0.81791255780080974,-0.5525588151649572,-0.24555449117906392,-0.064007517736172304,0.0020833582566410769,0.34132590054650791,0.64929928111814661,0.7410714285714286,0
all_labeled,6,low,S0,303,0.43377121565195448,0.46698979925332285,0.011217694889637643,0.02248000055551529,0.065292419400066137,0.27305018715560436,0.64227785437833518,1.1920267358887946,1.4255326622427673,0,0
all_labeled,6,low,S1,303,0.35178484711663133,0.47710428237172769,0,0,0,0.11845106719556497,0.48552231432404369,1.1543061312288048,1.4948169354844136,0,0.27062706270627063
all_labeled,6,low,delta_S,303,-0.081986368535323137,0.41149948075759685,-0.82160325562290382,-0.50675351582467554,-0.23560180036292877,-0.052543803001753986,0.0067026047327090055,0.32386498341802533,0.7403820590698148,0.73927392739273923,0
all_labeled,7,low,S0,581,0.33800158845879946,0.4036076620836147,0.015041253063827753,0.020131715340539813,0.04324226500466466,0.17659355880459771,0.48595413030125201,0.90240376139990985,1.1328800516203046,0,0
all_labeled,7,low,S1,581,0.29030477053525805,0.39663579225666995,0,0,0.013234598562121391,0.10784851014614105,0.43098738370463252,0.83065491018351167,1.1577343819662929,0,0.17383820998278829
all_labeled,7,low,delta_S,581,-0.047696817923541433,0.27059277059056913,-0.48483175400178879,-0.33620805614918936,-0.13735042967891786,-0.029622454283526167,0.01413708075415343,0.23355016182176769,0.38331633305642754,0.7142857142857143,0
all_labeled,8,low,S0,383,0.36722689800263753,0.42961329795351505,0.009983366931555793,0.022120683453977111,0.05265698698349297,0.1921893524704501,0.54894702089950442,1.0001132760895419,1.2148347642505537,0,0
all_labeled,8,low,S1,383,0.29274363921076635,0.43640361668457262,0,0,0,0.0754031827673316,0.41741886804811656,0.95965683066751817,1.2050867647398262,0,0.28720626631853785
all_labeled,8,low,delta_S,383,-0.07448325879187119,0.35009012380907018,-0.57195620893617161,-0.44037692131241785,-0.21119480888592079,-0.052661999128758907,-0.0035217864788137376,0.21065060379914952,0.50467087773140473,0.75979112271540472,0
all_labeled,9,low,S0,447,0.32566983128317506,0.44774513787592063,0.012137957941740751,0.023706695530563593,0.042740859556943178,0.13579904474318027,0.41852987269521691,0.90171825457364363,1.1652328458148979,0,0
all_labeled,9,low,S1,447,0.24399854109481137,0.42627756403820621,0,0,0,0.065504126607265789,0.29574320535175502,0.67760015402964247,0.9602726957760751,0,0.26174496644295303
all_labeled,9,low,delta_S,447,-0.081671290188363693,0.32496280395419663,-0.52692546295002107,-0.39555010785115885,-0.1573643904121127,-0.042542879935353994,-0.0069315641449065879,0.13531910449964948,0.32254265490919326,0.79642058165548102,0
all_labeled,10,low,S0,384,0.33685874406169347,0.44863569213583343,0.01081630169210257,0.016953286202624446,0.040198031434556469,0.13284384517464787,0.48248596809571609,0.96283578993170504,1.3724791249027453,0,0
all_labeled,10,low,S1,384,0.23145076794914013,0.39267980074809933,0,0,0,0.045072259490552824,0.29179684293922037,0.70476467377739027,1.19104907864239,0,0.33333333333333331
all_labeled,10,low,delta_S,384,-0.10540797611255333,0.36923205475111981,-0.79485758472583257,-0.50674231364973821,-0.2063899325003149,-0.049444073723861948,-0.0073776158387772739,0.14840732413576915,0.40230905755888668,0.7890625,0
all_labeled,11,low,S0,443,0.30007167661012113,0.41740009947343443,0.0096923374920152138,0.015276306634768845,0.036042671359609812,0.11024396598804742,0.39194807821331779,0.89967902111820885,1.2316401720629067,0,0
all_labeled,11,low,S1,443,0.25896753205321704,0.44545631628484478,0,0,0,0.027446507010608912,0.33126542204990983,0.83772486178204419,1.2570372723581384,0,0.37471783295711059
all_labeled,11,low,delta_S,443,-0.041104144556904046,0.29934266253559039,-0.47675072789425027,-0.31318576871417464,-0.13239645725116134,-0.037809445988386869,-0.00076894409721717238,0.2103327298536897,0.3617331927496707,0.75395033860045146,0
all_labeled,12,low,S0,397,0.41006975521790084,0.47623369546017053,0.010135213937610387,0.018522281828336418,0.057143860496580601,0.20539612602442503,0.59023344214074314,1.1529173386050389,1.490658770827576,0,0
all_labeled,12,low,S1,397,0.3352763722115823,0.49032698086036963,0,0,0.0057022552937269211,0.091646520420908928,0.44166236530872993,1.1226500338758343,1.469907667482039,0,0.24181360201511334
all_labeled,12,low,delta_S,397,-0.074793383006318562,0.3777687447216464,-0.70732063443283544,-0.53646767081227154,-0.22255041277821874,-0.043822702282341197,0.021605486981570721,0.34519257443607793,0.59169955328106849,0.7103274559193955,0
all_labeled,13,low,S0,373,0.35599490939015493,0.42573164852926454,0.013135907659307122,0.01978335874155164,0.05434760230127722,0.18241918517742306,0.49774927273392677,1.0046118016587571,1.3105737331323324,0,0
all_labeled,13,low,S1,373,0.29964126568909305,0.44447185407891715,0,0,0,0.079120294190943241,0.42135211452841759,0.98869966773199847,1.2680970068089656,0,0.27882037533512066
all_labeled,13,low,delta_S,373,-0.056353643701061877,0.36097288337041911,-0.62533675823360679,-0.36603903049835934,-0.16848871158435941,-0.044029442593455315,0.0069133209181018174,0.31492445720359696,0.48480045804753891,0.74530831099195716,0
all_labeled,14,low,S0,288,0.46471992007569596,0.56870076715819273,0.014809302716457751,0.023886596941156316,0.06548746966291219,0.22576107416534796,0.6571929054625798,1.3106852990924385,1.566725140126072,0,0
all_labeled,14,low,S1,288,0.35093223217414976,0.51151423342426539,0,0,0,0.10340514761628583,0.49220385175431147,1.013988038909156,1.5889799414901056,0,0.25694444444444442
all_labeled,14,low,delta_S,288,-0.1137876879015462,0.43013437583048725,-0.83440332350146484,-0.59245393934543245,-0.25984065243392251,-0.064808525079570245,0.0023596634709974751,0.33356324112974134,0.59163622859559728,0.74652777777777779,0
all_labeled,15,low,S0,565,0.33920128010953687,0.42203682843844265,0.010983811190817505,0.017666736617684368,0.0402095892932266,0.16048941179178655,0.50146732106804848,0.94728932641446639,1.2285278871655461,0,0
all_labeled,15,low,S1,565,0.28491557221626795,0.42142340636983472,0,0,0.0051785343675874174,0.082239110022783279,0.39473420448484831,0.92002846347168099,1.2518766014603888,0,0.22300884955752212
all_labeled,15,low,delta_S,565,-0.054285707893268913,0.31625231265161718,-0.5516095033846794,-0.36657470657955854,-0.15071148506831378,-0.03788070660084486,0.028621239587664604,0.26459711701609229,0.41538211738225034,0.69911504424778759,0
all_labeled,16,low,S0,317,0.45093856555851247,0.54578568063619415,0.0098051658598706133,0.015540300915017725,0.040106164524331689,0.19063823739998043,0.6988274595933035,1.2799978576600552,1.5689782884408483,0,0
all_labeled,16,low,S1,317,0.36902075020805436,0.53240069171296445,0,0,0,0.10327034443616867,0.52950067007623147,1.1634951351210476,1.5696855446789413,0,0.30914826498422715
all_labeled,16,low,delta_S,317,-0.081917815350458084,0.41275393531978999,-0.69474963806569578,-0.48815217465162275,-0.2067756956021185,-0.038774386048316956,0.0014773949515074492,0.28877778088208372,0.5828360347892152,0.74132492113564674,0
all_labeled,17,low,S0,353,0.35405063709084411,0.45136789974121772,0.010265039280056953,0.019219944067299367,0.040210157167166471,0.16136643430218101,0.46338676474988461,1.1141870802035558,1.3245722829713482,0,0
all_labeled,17,low,S1,353,0.30305100148761377,0.45740188417856431,0,0,0,0.079855873103952035,0.41623159032315016,0.99102449305355622,1.3906555656343691,0,0.28611898016997167
all_labeled,17,low,delta_S,353,-0.050999635603230356,0.35158670730017916,-0.66637482525547964,-0.3558948704740032,-0.12679992197081447,-0.031148930633207783,0.040681692713405937,0.25320601258426911,0.48436037956271205,0.69121813031161472,0
