scope,group,metric,n_seed,n,mean,sd,q05,q10,q25,median,q75,q90,q95,p_negative,p_zero
all_labeled,low,S0,20,8186,0.37639858109626706,0.47403224672093974,0.011160026740981266,0.019220408634282649,0.048310874815797433,0.17881525645498186,0.53379331616451964,1.0508255440217908,1.3901961466763169,0,0
all_labeled,low,S1,20,8186,0.30889977576715316,0.47339660207241063,0,0,0,0.087189414422027767,0.41499929095152766,0.96067365724593401,1.3750229484649026,0,0.25934522355240652
all_labeled,low,delta_S,20,8186,-0.067498805329113939,0.36216534787736998,-0.6344046441372484,-0.43771833126083948,-0.17502053031057585,-0.04022168526716996,0.010155031195608899,0.25813293198734755,0.50910515441501047,0.73173711214268267,0
all_labeled,mid,S0,20,2965,0.076927512760799732,0.10138984405731651,0.0051550605101510884,0.0094518674071878191,0.019553216612621327,0.04299304069718346,0.092893972992897034,0.18563917152350767,0.2601661192718891,0,0
all_labeled,mid,S1,20,2965,0.10427417866268662,0.19505228331874416,0,0,0,0.030828071758151054,0.1134200842352584,0.2891363823786377,0.46716886274516572,0,0.30556492411467118
all_labeled,mid,delta_S,20,2965,0.027346665901886901,0.17841349804889278,-0.1423680339939892,-0.090126815577968949,-0.039025794772896916,-0.010039337212219834,0.038279311498627067,0.18508187799452566,0.33487403055187281,0.6219224283305228,0
all_labeled,high,S0,20,4431,0.13673397703885457,0.17495950679751418,0.0084932993140682811,0.013118882197886705,0.029024258023127913,0.069002026299131103,0.17451814896776341,0.34927236940711737,0.50562511850148439,0,0
all_labeled,high,S1,20,4431,0.19142376761165794,0.29826341954558983,0,0,0.017993996094446629,0.072329235845245421,0.23287550645181909,0.53610441274940968,0.82174940936965868,0,0.16677950801173549
all_labeled,high,delta_S,20,4431,0.054689790572803362,0.25762463034465949,-0.22984488966903882,-0.14748479938134551,-0.049890329944901168,-0.0033198222517967224,0.098730569763574749,0.3112856360967271,0.54034318245248869,0.52132701421800953,0
primary_valid,low,S0,20,5023,0.12563593138013987,0.15974985157092364,0.0084404492983594544,0.012964860396459698,0.028060825075954199,0.065078515559434891,0.16106636147014797,0.31237654776778101,0.46604500126559273,0,0
primary_valid,low,S1,20,5023,0.10389009380209037,0.21781417976647632,0,0,0,0.017200334186782129,0.10566774767357856,0.30752835469320416,0.48910077307809841,0,0.40175194107107304
primary_valid,low,delta_S,20,5023,-0.021745837578049498,0.19005513192030804,-0.25758737355936318,-0.17928902694839052,-0.080766717554070055,-0.028398087248206139,-0.0031989455164875835,0.12623449566308412,0.25950038586743163,0.76786780808281907,0
primary_valid,mid,S0,20,2965,0.076927512760799732,0.10138984405731651,0.0051550605101510884,0.0094518674071878191,0.019553216612621327,0.04299304069718346,0.092893972992897034,0.18563917152350767,0.2601661192718891,0,0
primary_valid,mid,S1,20,2965,0.10427417866268662,0.19505228331874416,0,0,0,0.030828071758151054,0.1134200842352584,0.2891363823786377,0.46716886274516572,0,0.30556492411467118
primary_valid,mid,delta_S,20,2965,0.027346665901886901,0.17841349804889278,-0.1423680339939892,-0.090126815577968949,-0.039025794772896916,-0.010039337212219834,0.038279311498627067,0.18508187799452566,0.33487403055187281,0.6219224283305228,0
primary_valid,high,S0,20,4431,0.13673397703885457,0.17495950679751418,0.0084932993140682811,0.013118882197886705,0.029024258023127913,0.069002026299131103,0.17451814896776341,0.34927236940711737,0.50562511850148439,0,0
primary_valid,high,S1,20,4431,0.19142376761165794,0.29826341954558983,0,0,0.017993996094446629,0.072329235845245421,0.23287550645181909,0.53610441274940968,0.82174940936965868,0,0.16677950801173549
primary_valid,high,delta_S,20,4431,0.054689790572803362,0.25762463034465949,-0.22984488966903882,-0.14748479938134551,-0.049890329944901168,-0.0033198222517967224,0.098730569763574749,0.3112856360967271,0.54034318245248869,0.52132701421800953,0
