cell_id,n_low,n_high,weight,PS_S0,A_S0,mean_low_S0,mean_high_S0,D_S0,PS_S1,A_S1,mean_low_S1,mean_high_S1,D_S1,PS_delta_S,A_delta_S,mean_low_delta_S,mean_high_delta_S,D_delta_S
0,8,8,8,0.515625,0.015625,0.0056535678122600075,0.0061188954550743802,0.00046532764281437267,0.703125,0.203125,0.0078974966345413122,0.056372688061856024,0.048475191427314712,0.6875,0.1875,0.0022439288222813047,0.050253792606781644,0.04800986378450034
1,8,8,8,0.53125,0.03125,0.010610581895889482,0.010581084185105283,-2.9497710784198716e-05,0.7421875,0.2421875,0.0046536940426449291,0.035891214123694226,0.031237520081049297,0.734375,0.234375,-0.0059568878532445524,0.025310129938588943,0.031267017791833496
2,8,8,8,0.5625,0.0625,0.01219937004862004,0.014299454747742857,0.0021000846991228173,0.5703125,0.0703125,0.061294077751881559,0.023397843950078823,-0.037896233801802737,0.546875,0.046875,0.04909470770326152,0.0090983892023359658,-0.039996318500925554
3,8,8,8,0.484375,-0.015625,0.02042170349159278,0.019305731504573487,-0.001115971987019293,0.953125,0.453125,0.0023831524595152587,0.13052949823213567,0.12814634577262041,0.953125,0.453125,-0.018038551032077521,0.11122376672756218,0.1292623177596397
4,8,8,8,0.359375,-0.140625,0.039788407179003116,0.034651270780159393,-0.0051371363988437224,0.734375,0.234375,0.020055432395565731,0.064189399301540107,0.044133966905974376,0.71875,0.21875,-0.019732974783437385,0.029538128521380713,0.049271103304818098
5,4,3,3,0.75,0.25,0.0072344698710367084,0.011122856832419833,0.0038883869613831248,0.58333333333333337,0.08333333333333337,0.012607893149834126,0.031347728916443884,0.018739835766609758,0.5,0,0.0053734232787974179,0.020224872084024053,0.014851448805226635
6,3,3,3,0.33333333333333331,-0.16666666666666669,0.023220353827734169,0.020489498332608491,-0.0027308554951256774,1,0.5,0,0.206430788008826,0.206430788008826,1,0.5,-0.023220353827734169,0.18594128967621751,0.20916164350395167
7,3,3,3,0.88888888888888884,0.38888888888888884,0.019275984707443666,0.024724534557511408,0.0054485498500677423,0.33333333333333331,-0.16666666666666669,0.0037510707819213471,0,-0.0037510707819213471,0.1111111111111111,-0.3888888888888889,-0.015524913925522318,-0.024724534557511408,-0.0091996206319890899
8,3,3,3,0.1111111111111111,-0.3888888888888889,0.035146280036618315,0.031019962383046124,-0.0041263176535721903,0.77777777777777779,0.27777777777777779,0.0017829715119053919,0.089618598110973835,0.087835626599068448,1,0.5,-0.03336330852471292,0.058598635727927707,0.091961944252640621
9,4,3,3,0.66666666666666663,0.16666666666666663,0.049673506204271689,0.056250389432534575,0.0065768832282628864,0.91666666666666663,0.41666666666666663,0.025965472043026239,0.14440567806983987,0.11844020602681363,0.91666666666666663,0.41666666666666663,-0.02370803416124545,0.088155288637305304,0.11186332279855075
10,4,3,3,0.75,0.25,0.010992718453053385,0.016234200147058193,0.0052414816940048077,1,0.5,0.013626689498778433,0.16927348480870327,0.15564679530992484,0.91666666666666663,0.41666666666666663,0.0026339710457250476,0.15303928466164507,0.15040531361592002
11,3,3,3,0.55555555555555558,0.05555555555555558,0.023714580204493057,0.026527491572778672,0.0028129113682856151,0.77777777777777779,0.27777777777777779,0.0064511108988275128,0.12805992846066752,0.12160881756184001,0.77777777777777779,0.27777777777777779,-0.017263469305665542,0.10153243688788886,0.1187959061935544
12,3,3,3,0.88888888888888884,0.38888888888888884,0.027950941973055404,0.040687615650919419,0.012736673677864015,0.5,0,0.092708108781759321,0.055642784553735204,-0.037065324228024117,0.44444444444444442,-0.05555555555555558,0.064757166808703914,0.014955168902815785,-0.049801997905888129
13,3,3,3,0.66666666666666663,0.16666666666666663,0.050572532345540822,0.053187524434179068,0.0026149920886382461,0.55555555555555558,0.05555555555555558,0.10024187157008176,0.15186179599550087,0.051619924425419114,0.55555555555555558,0.05555555555555558,0.049669339224540941,0.098674271561321802,0.049004932336780861
14,4,3,3,0.41666666666666669,-0.083333333333333315,0.059333576706194435,0.05481865482094387,-0.0045149218852505654,0.75,0.25,0.041408722885535099,0.069505553042593718,0.028096830157058619,0.75,0.25,-0.017924853820659337,0.01468689822164985,0.032611752042309185
15,3,2,2,0.5,0,0.020168878863235779,0.027417810291808564,0.007248931428572785,1,0.5,0.013411521775803218,0.052491481015749741,0.039079959239946525,1,0.5,-0.0067573570874325624,0.025073670723941177,0.031831027811373737
16,2,2,2,1,0.5,0.023477954848203808,0.041688697267090902,0.018210742418887094,0.5,0,0.39806525851599872,0.095660636259708554,-0.30240462225629017,0.5,0,0.37458730366779491,0.053971938992617652,-0.32061536467517726
17,3,2,2,0.33333333333333331,-0.16666666666666669,0.055925826231638588,0.058866711071459576,0.0029408848398209883,1,0.5,0.041314198848946639,0.27308628453465644,0.23177208568570981,1,0.5,-0.01461162738269195,0.21421957346319687,0.22883120084588882
18,2,2,2,1,0.5,0.081527472240850329,0.09824582512374036,0.016718352882890031,0.5,0,0.25048944140871754,0.11158536569564603,-0.13890407571307151,0.25,-0.25,0.16896196916786721,0.013339540571905673,-0.15562242859596154
19,3,2,2,0.33333333333333331,-0.16666666666666669,0.12946657952852547,0.11865948676131666,-0.010807092767208815,0.5,0,0.054095565263802804,0.0435390257043764,-0.010556539559426405,0.5,0,-0.075371014264722661,-0.075120461056940258,0.00025055320778240298
20,4,3,3,0.083333333333333329,-0.41666666666666669,0.052501730329822749,0.031452877970878035,-0.021048852358944714,0.75,0.25,0.088546086888527498,0.044530610321089625,-0.044015476567437872,0.75,0.25,0.036044356558704749,0.013077732350211591,-0.022966624208493158
21,4,3,3,0.91666666666666663,0.41666666666666663,0.055540667759487405,0.068171417689882219,0.012630749930394813,0.5,0,0.071919785943464376,0.066462577155713617,-0.0054572087877507586,0.41666666666666669,-0.083333333333333315,0.016379118183976971,-0.0017088405341686059,-0.018087958718145575
22,3,3,3,0,-0.5,0.087175250208626195,0.060792010161094368,-0.026383240047531828,0.55555555555555558,0.05555555555555558,0.05263372091576457,0.076544017172030479,0.023910296256265909,0.55555555555555558,0.05555555555555558,-0.034541529292861618,0.015752007010936115,0.050293536303797737
23,4,3,3,1,0.5,0.09571310620958684,0.1121572237170767,0.016444117507489864,0.25,-0.25,0.057740576041396707,0.031883359731485449,-0.025857216309911259,0.25,-0.25,-0.037972530168190133,-0.080273863985591262,-0.042301333817401129
