cell_id,n_low,n_high,weight,PS_S0,A_S0,mean_low_S0,mean_high_S0,D_S0,PS_S1,A_S1,mean_low_S1,mean_high_S1,D_S1,PS_delta_S,A_delta_S,mean_low_delta_S,mean_high_delta_S,D_delta_S
24,4,3,3,0.25,-0.25,0.1930973578710109,0.14161758743769801,-0.051479770433312894,0.91666666666666663,0.41666666666666663,0.023846589436288923,0.11933486035559326,0.095488270919304341,1,0.5,-0.16925076843472198,-0.022282727082104731,0.14696804135261723
25,2,2,2,1,0.5,0.032468281773617491,0.041227026842534542,0.008758745068917051,1,0.5,0.054155587800778449,0.21843931991315912,0.16428373211238068,1,0.5,0.021687306027160957,0.17721229307062458,0.15552498704346363
26,2,2,2,0.25,-0.25,0.074259847169741988,0.065418924059486017,-0.0088409231102559716,1,0.5,0.016739727463573217,0.22087361139710993,0.20413388393353671,1,0.5,-0.057520119706168771,0.15545468733762391,0.21297480704379268
27,2,2,2,0.75,0.25,0.092261007521301508,0.09543169429525733,0.003170686773955822,1,0.5,0.046094708610326052,0.10171226214151829,0.055617553531192243,1,0.5,-0.046166298910975456,0.0062805678462609649,0.052446866757236421
28,2,2,2,0,-0.5,0.12317959898791742,0.10931128682568669,-0.013868312162230723,1,0.5,0.0058627915568649769,0.1751840908837039,0.16932129932683893,1,0.5,-0.11731680743105244,0.065872804058017209,0.18318961148906965
29,2,2,2,0.5,0,0.14628253475530073,0.15161541773704812,0.0053328829817473888,0.5,0,0.20065178918230231,0.03756752994377166,-0.16308425923853065,0.25,-0.25,0.054369254427001579,-0.11404788779327646,-0.16841714222027804
30,2,2,2,0.25,-0.25,0.067288685939274728,0.05965962284244597,-0.0076290630968287587,1,0.5,0.065504208032507449,0.33878990387893282,0.27328569584642537,1,0.5,-0.0017844779067672789,0.27913028103648685,0.28091475894325413
31,2,1,1,0.5,0,0.10809827945195138,0.11481558345258236,0.0067173040006309748,0.5,0,0.064028278808109462,0.064731980513897724,0.00070370170578826219,0.5,0,-0.044070000643841922,-0.050083602938684635,-0.0060136022948427126
32,2,1,1,1,0.5,0.098150642123073339,0.11470723524689674,0.016556593123823404,1,0.5,0.1828511995554436,0.53610441274940968,0.35325321319396608,1,0.5,0.08470055743237026,0.42139717750251293,0.33669662007014267
33,2,1,1,0.5,0,0.13538667792454362,0.13915919978171587,0.0037725218571722507,1,0.5,0.10633437288925052,0.41462539904750884,0.30829102615825832,1,0.5,-0.029052305035293102,0.27546619926579297,0.30451850430108607
34,2,1,1,1,0.5,0.1882989916484803,0.25063550472259521,0.062336513074114919,1,0.5,0.25398050947114825,1.3258117259247229,1.0718312164535746,1,0.5,0.065681517822667956,1.0751762212021276,1.0094947033794597
35,2,1,1,1,0.5,0.05553470978338737,0.070198710367549211,0.01466400058416184,1,0.5,0.059024071146268398,0.13657756906468421,0.077553497918415815,1,0.5,0.0034893613628810272,0.066378858697135001,0.062889497334253974
36,2,1,1,1,0.5,0.079254110634792596,0.092740638530813158,0.013486527896020561,0,-0.5,0.14987995522096753,0.015409836545586586,-0.13447011867538095,0,-0.5,0.070625844586174935,-0.077330801985226572,-0.14795664657140151
37,1,1,1,0,-0.5,0.13209782773628831,0.11090761533705518,-0.021190212399233133,1,0.5,0.3923885851399973,0.75680758710950613,0.36441900196950883,1,0.5,0.26029075740370899,0.64589997177245095,0.38560921436874196
38,2,1,1,0.5,0,0.15989934746176004,0.14288079150719568,-0.017018555954564363,1,0.5,0.0097134066745638847,0.19158031871484127,0.18186691204027738,1,0.5,-0.15018594078719616,0.048699527207645588,0.19888546799484175
39,2,1,1,1,0.5,0.2150162598118186,0.38718427997082472,0.17216802015900612,1,0.5,0.0077967210672795773,0.14155356399714947,0.13375684292986989,0,-0.5,-0.20721953874453902,-0.24563071597367525,-0.038411177229136229
40,2,2,2,0,-0.5,0.10855139198247343,0.056792553426930681,-0.051758838555542752,1,0.5,0,0.091892052005277947,0.091892052005277947,1,0.5,-0.10855139198247343,0.035099498578347266,0.1436508905608207
41,2,2,2,1,0.5,0.12028353616187815,0.1566510044503957,0.036367468288517557,1,0.5,0.04100825940258801,0.19940722514547815,0.15839896574289014,1,0.5,-0.079275276759290136,0.042756220695082447,0.12203149745437258
42,2,2,2,0.75,0.25,0.13066841760883108,0.14506718720076606,0.014398769591934979,0,-0.5,0.068764003342948854,0.024421986716333777,-0.044342016626615077,0,-0.5,-0.061904414265882224,-0.12064520048443228,-0.058740786218550056
43,2,2,2,0,-0.5,0.26249440983519889,0.15927698276937008,-0.10321742706582882,0.5,0,0.2053312730640755,0.27543659013463184,0.070105317070556339,0.75,0.25,-0.057163136771123391,0.11615960736526176,0.17332274413638515
44,2,2,2,1,0.5,0.23830161290243268,0.43895371037069708,0.2006520974682644,0.5,0,0.17640343389939517,0.16834438941441476,-0.0080590444849804044,0,-0.5,-0.061898179003037512,-0.27060932095628232,-0.20871114195324481
45,1,1,1,1,0.5,0.10832051718898583,0.13738683424890041,0.029066317059914581,1,0.5,0.037078505265526474,0.17059016786515713,0.13351166259963065,1,0.5,-0.071242011923459359,0.033203333616256714,0.10444534553971607
49,1,1,1,1,0.5,0.20291587669635192,0.27293161698617041,0.070015740289818496,1,0.5,0.022330182837322354,0.11305351671762764,0.09072333388030529,1,0.5,-0.18058569385902956,-0.15987810026854277,0.020707593590486795
50,1,1,1,0,-0.5,0.16505844914354384,0.15917271375656128,-0.0058857353869825602,0,-0.5,0.26752594637218863,0.16724843229167163,-0.10027751408051699,0,-0.5,0.10246749722864479,0.0080757185351103544,-0.094391778693534434
51,1,1,1,0,-0.5,0.19137281645089388,0.17649330128915608,-0.0148795151617378,1,0.5,0.012474124785512686,0.31753187690628693,0.30505775212077424,1,0.5,-0.17889869166538119,0.14103857561713085,0.31993726728251204
52,1,1,1,0,-0.5,0.24675677018240094,0.19640518841333687,-0.050351581769064069,0,-0.5,0.37282645364757627,0.32360958389472216,-0.049216869752854109,1,0.5,0.12606968346517533,0.12720439548138529,0.00113471201620996
53,1,1,1,1,0.5,0.29097008518874645,0.30557901551946998,0.014608930330723524,1,0.5,0,0.12801251001656055,0.12801251001656055,1,0.5,-0.29097008518874645,-0.17756650550290942,0.11340357968583703
54,1,1,1,1,0.5,0.34413665533065796,0.34927236940711737,0.0051357140764594078,1,0.5,0.14060558879282326,0.19768847373779863,0.057082884944975376,1,0.5,-0.2035310665378347,-0.15158389566931874,0.051947170868515968
55,1,1,1,0,-0.5,0.1298691350966692,0.11292296124156564,-0.016946173855103552,0,-0.5,0.016785610583610833,0,-0.016785610583610833,1,0.5,-0.11308352451305836,-0.11292296124156564,0.00016056327149271965
56,1,1,1,1,0.5,0.1655523955123499,0.22227321547688916,0.05672081996453926,1,0.5,0.10584157984703779,0.33972284663468599,0.2338812667876482,1,0.5,-0.059710815665312111,0.11744963115779683,0.17716044682310894
57,1,1,1,1,0.5,0.1921893524704501,0.25219300965545699,0.060003657185006887,1,0.5,0,0.29652974189957604,0.29652974189957604,1,0.5,-0.1921893524704501,0.044336732244119048,0.23652608471456915
58,1,1,1,0,-0.5,0.36467785292188637,0.2576259805355221,-0.10705187238636427,1,0.5,0.14450075663626194,0.54791736183688045,0.40341660520061851,1,0.5,-0.22017709628562443,0.29029138130135834,0.51046847758698277
59,1,1,1,0,-0.5,0.42038620449602604,0.35350284888409078,-0.066883355611935258,1,0.5,0.020046787802129984,0.86154309537960216,0.84149630757747218,1,0.5,-0.40033941669389606,0.50804024649551138,0.90837966318940744
60,1,1,1,0,-0.5,0.14319040765985847,0.12614163593389094,-0.017048771725967526,0,-0.5,0.20881603378802538,0.039635188637475949,-0.16918084515054943,0,-0.5,0.065625626128166914,-0.08650644729641499,-0.1521320734245819
61,1,1,1,0,-0.5,0.23511649121064693,0.21374511625617743,-0.021371374954469502,1,0.5,0.50437978468835354,0.51961311418563128,0.015233329497277737,1,0.5,0.26926329347770661,0.30586799792945385,0.036604704451747239
63,1,1,1,0,-0.5,0.35853965452406555,0.29730124981142581,-0.061238404712639749,0,-0.5,0.54589357203803957,0.13814872165676206,-0.4077448503812775,0,-0.5,0.18735391751397401,-0.15915252815466374,-0.34650644566863775
64,1,1,1,1,0.5,0.36255263723433018,0.52268278179690242,0.16013014456257224,1,0.5,0.14073617127723992,0.8446810623863712,0.70394489110913128,1,0.5,-0.22181646595709026,0.32199828058946878,0.54381474654655904
65,1,1,1,1,0.5,0.10660467704292387,0.21042239596135914,0.10381771891843528,1,0.5,0.0033855241490527987,0.1561587112955749,0.1527731871465221,1,0.5,-0.10321915289387107,-0.05426368466578424,0.048955468228086829
66,1,1,1,0,-0.5,0.28288323699962348,0.23972414057061542,-0.043159096429008059,1,0.5,0.033990086580161005,0.049723829608410597,0.015733743028249592,1,0.5,-0.24889315041946247,-0.19000031096220482,0.058892839457257651
67,1,1,1,0,-0.5,0.29035337176173925,0.28027991510998618,-0.010073456651753077,1,0.5,0.010311808378901333,0.68280951667111367,0.67249770829221234,1,0.5,-0.28004156338283792,0.40252960156112749,0.68257116494396541
68,1,1,1,0,-0.5,0.50917579303495586,0.45698545579216443,-0.052190337242791429,0,-0.5,0.76837689802050591,0.71446966147050261,-0.05390723655000329,0,-0.5,0.25920110498555005,0.25748420567833818,-0.001716899307211861
69,1,1,1,0,-0.5,0.58244521380402148,0.49046325520612299,-0.091981958597898483,1,0.5,0.27042022021487355,0.6781214140355587,0.40770119382068515,1,0.5,-0.31202499358914793,0.18765815882943571,0.49968315241858363
70,2,1,1,1,0.5,0.13618582068011165,0.20139620034024119,0.065210379660129547,1,0.5,0.02510869488469325,0.074914081662427634,0.049805386777734384,0.5,0,-0.1110771257954184,-0.12648211867781356,-0.015404992882395163
71,2,1,1,1,0.5,0.24007966602221131,0.3360646516084671,0.095984985586255789,0.5,0,0.38374118355568498,0.40422065556049347,0.020479472004808486,0.5,0,0.14366151753347367,0.068156003952026367,-0.075505513581447303
72,2,1,1,1,0.5,0.35924081737175584,0.38724465668201447,0.028003839310258627,1,0.5,0.2758939777922933,0.79855401208624244,0.52266003429394914,1,0.5,-0.083346839579462539,0.41130935540422797,0.49465619498369051
73,2,1,1,0,-0.5,0.45921962801367044,0.36551103368401527,-0.09370859432965517,0.5,0,0.065334929531672969,0.031450566835701466,-0.033884362695971504,1,0.5,-0.39388469848199748,-0.33406046684831381,0.059824231633683667
74,2,1,1,0.5,0,0.72708826418966055,0.75159206055104733,0.024503796361386776,1,0.5,0.43815591977909207,1.0419618166051805,0.60380589682608843,1,0.5,-0.28893234441056848,0.29036975605413318,0.57930210046470165
80,1,1,1,1,0.5,0.15155653865076602,0.33805676398333162,0.18650022533256561,0,-0.5,0.041462716413661838,0.021177356014959514,-0.020285360398702323,0,-0.5,-0.11009382223710418,-0.31687940796837211,-0.20678558573126793
84,1,1,1,0,-0.5,0.70389336626976728,0.66187451500445604,-0.042018851265311241,0,-0.5,0.41739956755191088,0.35865401214687154,-0.05874555540503934,0,-0.5,-0.28649379871785641,-0.30322050285758451,-0.016726704139728099
85,1,1,1,0,-0.5,0.28184130880981684,0.17841834609862417,-0.10342296271119267,0,-0.5,0.18325630109757185,0.06453596381470561,-0.11872033728286624,0,-0.5,-0.098585007712244987,-0.11388238228391856,-0.015297374571673572
86,1,1,1,1,0.5,0.3689751486381283,0.50523735070601106,0.13626220206788275,1,0.5,0.088049909565597773,0.24342654814245179,0.15537663857685402,1,0.5,-0.28092523907253053,-0.26181080256355926,0.019114436508971266
87,1,1,1,1,0.5,0.51451114960946143,0.55831710761412978,0.043805958004668355,1,0.5,0.098342259123455733,0.15158665576018393,0.053244396636728197,1,0.5,-0.41616889048600569,-0.40673045185394585,0.0094384386320598423
88,1,1,1,0,-0.5,0.66490138415247202,0.64393817540258169,-0.020963208749890327,1,0.5,0.13580489996820688,0.44067078579973895,0.30486588583153207,1,0.5,-0.52909648418426514,-0.20326738960284274,0.3258290945814224
89,1,1,1,1,0.5,0.80795883352402598,1.0070459574926645,0.19908712396863848,1,0.5,0.35871948720887303,0.8466466786339879,0.48792719142511487,1,0.5,-0.44923934631515294,-0.16039927885867655,0.28884006745647639
95,1,1,1,0,-0.5,0.51303210749756545,0.46435683569870889,-0.048675271798856556,1,0.5,0.41589357284829021,0.47405908303335309,0.058165510185062885,1,0.5,-0.097138534649275243,0.0097022473346441984,0.10684078198391944
96,1,1,1,0,-0.5,0.69962569669587538,0.61116742365993559,-0.088458273035939783,1,0.5,0.19135742221260443,0.62132984469644725,0.42997242248384282,1,0.5,-0.50826827448327094,0.01016242103651166,0.5184306955197826
98,1,1,1,0,-0.5,0.6670052636472974,0.66063645866233855,-0.0063688049849588424,0,-0.5,1.2355541875585914,0.060846906155347824,-1.1747072814032435,0,-0.5,0.56854892391129397,-0.59978955250699073,-1.1683384764182847
99,1,1,1,1,0.5,0.66471053170971572,0.69969939172733575,0.034988860017620027,0,-0.5,0.59986847545951605,0.086708683520555496,-0.51315979193896055,0,-0.5,-0.064842056250199676,-0.61299070820678025,-0.54814865195658058
100,1,1,1,1,0.5,0.21506342000793666,0.32226171874208376,0.1071982987341471,1,0.5,0.2915356757293921,0.47148223675321788,0.17994656102382578,1,0.5,0.07647225572145544,0.14922051801113412,0.072748262289678678
101,1,1,1,1,0.5,0.43956348556093872,0.74216166185215116,0.30259817629121244,1,0.5,0,0.39060446480289102,0.39060446480289102,1,0.5,-0.43956348556093872,-0.35155719704926014,0.088006288511678576
102,1,1,1,0,-0.5,0.74651016003917903,0.64402288198471069,-0.10248727805446833,1,0.5,0.54112176597118378,0.62212888663634658,0.081007120665162802,1,0.5,-0.20538839406799525,-0.021893995348364115,0.18349439871963114
103,1,1,1,0,-0.5,0.79852828080765903,0.76948709308635443,-0.029041187721304595,0,-0.5,0.90739036444574594,0.37291568145155907,-0.53447468299418688,0,-0.5,0.10886208363808692,-0.39657141163479537,-0.50543349527288228
104,1,1,1,0,-0.5,1.1335112857632339,0.83102300041355193,-0.30248828534968197,1,0.5,0.2797424525488168,0.28308953065425158,0.0033470781054347754,1,0.5,-0.8537688332144171,-0.54793346975930035,0.30583536345511675
111,1,1,1,0,-0.5,0.42206025039195083,0.19416518812067807,-0.22789506227127276,0,-0.5,0.22410227125510573,0.17326948750996962,-0.050832783745136112,1,0.5,-0.1979579791368451,-0.020895700610708445,0.17706227852613665
116,1,1,1,0,-0.5,0.53252542437985539,0.46350050496403128,-0.069024919415824115,1,0.5,0.27950968034565449,0.84874880785355344,0.56923912750789896,1,0.5,-0.25301574403420091,0.38524830288952217,0.63826404692372307
117,1,1,1,1,0.5,0.54180269711650908,0.57418428506935015,0.032381587952841073,1,0.5,0.022983003640547395,0.32725009090154344,0.30426708726099605,1,0.5,-0.51881969347596169,-0.24693419416780671,0.27188549930815498
118,1,1,1,1,0.5,0.67515922500751913,0.68390347808599472,0.0087442530784755945,0,-0.5,0.48823136277496815,0.17158752703107893,-0.31664383574388921,0,-0.5,-0.18692786223255098,-0.51231595105491579,-0.32538808882236481
119,1,1,1,0,-0.5,1.1958157937042415,0.80993978795595467,-0.38587600574828684,1,0.5,0,0.9706008480861783,0.9706008480861783,1,0.5,-1.1958157937042415,0.16066106013022363,1.3564768538344651
120,1,1,1,1,0.5,1.1676065027713776,1.8459195864852518,0.67831308371387422,1,0.5,1.0880437572486699,1.1499539005308179,0.061910143282148056,0,-0.5,-0.079562745522707701,-0.69596568595443387,-0.61640294043172617
122,1,1,1,1,0.5,0.41116203926503658,0.46664428594522178,0.055482246680185199,1,0.5,0.27736422978341579,0.56195294111967087,0.28458871133625507,1,0.5,-0.13379780948162079,0.095308655174449086,0.22910646465606987
126,1,1,1,0,-0.5,1.3895771102979779,1.1401918642222881,-0.24938524607568979,1,0.5,0.29151814896613359,1.2980103478766978,1.0064921989105642,1,0.5,-1.0980589613318443,0.15781848365440965,1.255877444986254
140,6,6,6,0.72222222222222221,0.22222222222222221,0.0047743628250221564,0.0064748996422470855,0.0017005368172249291,0.66666666666666663,0.16666666666666663,0.017423298384528607,0.032272828340258762,0.014849529955730155,0.61111111111111116,0.11111111111111116,0.01264893555950645,0.025797928698011674,0.013148993138505224
141,6,6,6,0.3888888888888889,-0.1111111111111111,0.012099534326504605,0.010328824990817035,-0.0017707093356875703,0.69444444444444442,0.19444444444444442,0.020835141290566146,0.053816502331756055,0.032981361041189913,0.66666666666666663,0.16666666666666663,0.0087356069640615406,0.043487677340939022,0.034752070376877484
142,6,6,6,0.41666666666666669,-0.083333333333333315,0.016202340872647863,0.015131119483460983,-0.0010712213891868796,0.55555555555555558,0.05555555555555558,0.022162186990802486,0.017476165337332834,-0.0046860216534696519,0.58333333333333337,0.08333333333333337,0.0059598461181546254,0.0023450458538718522,-0.0036148002642827732
143,6,6,6,0.41666666666666669,-0.083333333333333315,0.022321273747365922,0.021726542559918016,-0.00059473118744790554,0.86111111111111116,0.36111111111111116,0.010859189768477032,0.03456173645099625,0.02370254668251922,0.83333333333333337,0.33333333333333337,-0.01146208397888889,0.012835193891078234,0.024297277869967125
144,6,6,6,0.77777777777777779,0.27777777777777779,0.029225455041644938,0.036574661109625595,0.0073492060679806563,0.63888888888888884,0.13888888888888884,0.043947026051076442,0.04654667056941738,0.0025996445183409378,0.41666666666666669,-0.083333333333333315,0.0147215710094315,0.0099720094597917832,-0.0047495615496397168
145,3,3,3,0.44444444444444442,-0.05555555555555558,0.01038833197283869,0.0091116815359176453,-0.0012766504369210452,0.66666666666666663,0.16666666666666663,0.02123948997662713,0.016267446320853196,-0.0049720436557739341,0.66666666666666663,0.16666666666666663,0.010851158003788441,0.0071557647849355517,-0.0036953932188528897
146,3,2,2,0.66666666666666663,0.16666666666666663,0.015479645070930323,0.019431320688454434,0.0039516756175241117,0.66666666666666663,0.16666666666666663,0.063961042847950011,0.08662082371301949,0.022659780865069479,0.66666666666666663,0.16666666666666663,0.048481397777019687,0.067189503024565056,0.018708105247545369
147,3,2,2,0,-0.5,0.033847298434314631,0.021991898654960096,-0.011855399779354535,0.5,0,0.011277224946146211,0.014266157755628228,0.0029889328094820176,0.83333333333333337,0.33333333333333337,-0.022570073488168418,-0.0077257408993318677,0.014844332588836551
148,3,2,2,0.66666666666666663,0.16666666666666663,0.034495921126411609,0.036980648757889867,0.0024847276314782576,1,0.5,0.018937950953841209,0.10566806513816118,0.086730114184319973,1,0.5,-0.015557970172570398,0.068687416380271316,0.084245386552841708
149,3,3,3,0.66666666666666663,0.16666666666666663,0.055135092312411871,0.066842958369913205,0.011707866057501334,0.77777777777777779,0.27777777777777779,0.0034959527353445687,0.18048232555156574,0.17698637281622118,0.66666666666666663,0.16666666666666663,-0.051639139577067304,0.11363936718165253,0.16527850675871983
150,3,3,3,0.88888888888888884,0.38888888888888884,0.011300694187715029,0.020406664135710646,0.0091059699479956163,0.61111111111111116,0.11111111111111116,0.031260861980930109,0.14742393960477784,0.11616307762384773,0.55555555555555558,0.05555555555555558,0.019960167793215078,0.12701727546906719,0.10705710767585211
151,3,2,2,0.33333333333333331,-0.16666666666666669,0.028142982938637335,0.025166476480080746,-0.0029765064585565888,1,0.5,0,0.19219809366040863,0.19219809366040863,1,0.5,-0.028142982938637335,0.16703161718032788,0.19517460011896523
152,3,2,2,0.33333333333333331,-0.16666666666666669,0.045679122985651098,0.038003885623766109,-0.0076752373618849887,0.66666666666666663,0.16666666666666663,0.043841974261643678,0.049353946349583566,0.0055119720879398884,0.66666666666666663,0.16666666666666663,-0.0018371487240074202,0.011350060725817457,0.013187209449824877
153,3,2,2,0.5,0,0.046314085484482348,0.048211668676231056,0.0018975831917487085,0.5,0,0.025506899878867745,0.12968088290654123,0.10417398302767349,0.66666666666666663,0.16666666666666663,-0.020807185605614602,0.081469214230310172,0.10227639983592478
154,3,2,2,1,0.5,0.06812890262032549,0.13121984503231943,0.063090942411993936,0.58333333333333337,0.08333333333333337,0.011623076725906381,0.023422856465913355,0.011799779740006974,0.5,0,-0.056505825894419104,-0.10779698856640607,-0.051291162671986967
155,2,1,1,0.5,0,0.040662079263711348,0.042365690140286461,0.0017036108765751123,0.25,-0.25,0.018163405315135606,0,-0.018163405315135606,0.5,0,-0.022498673948575743,-0.042365690140286461,-0.019867016191710718
156,2,1,1,1,0.5,0.038723052246496081,0.052235412294976413,0.013512360048480332,1,0.5,0.047125103417783976,0.17983047012239695,0.13270536670461297,1,0.5,0.0084020511712878942,0.12759505782742053,0.11919300665613264
157,1,1,1,1,0.5,0.061046465940307826,0.062166226096451283,0.0011197601561434567,1,0.5,0,0.081804899731650949,0.081804899731650949,1,0.5,-0.061046465940307826,0.019638673635199666,0.080685139575507492
158,2,1,1,0,-0.5,0.11078475322574377,0.086899612793786218,-0.023885140431957552,0,-0.5,0.18395069295729627,0.019560412736609578,-0.16439028022068669,0,-0.5,0.073165939731552498,-0.06733920005717664,-0.14050513978872914
159,2,1,1,0,-0.5,0.11505635525099933,0.10140802524983883,-0.013648330001160502,1,0.5,0.033159326616441831,0.26096781459636986,0.22780848797992803,1,0.5,-0.0818970286345575,0.15955978934653103,0.24145681798108853
160,4,4,4,0.5,0,0.040367635236179922,0.039830063629779033,-0.00053757160640088841,0.6875,0.1875,0.056324138044146821,0.090924415984773077,0.034600277940626256,0.6875,0.1875,0.015956502807966899,0.051094352354994044,0.035137849547027145
161,4,4,4,0.4375,-0.0625,0.065641135646728799,0.068012219948286656,0.0023710843015578575,0.75,0.25,0.046865661708579864,0.12054454425378935,0.07367888254520949,0.75,0.25,-0.018775473938148934,0.052532324305502698,0.071307798243651632
