replicate,weight,A_S0,A_S1,A_delta_S,D_S0,D_S1,D_delta_S
0,3491,0.038346068616764699,0.1761696692339775,0.16046036540880426,0.0047638599429265221,0.075965850534091675,0.071201990591165151
1,2928,0.037638232668970401,0.19416665510415507,0.17102627089819716,0.0051157521804252263,0.086594154590107081,0.081478402409681891
2,2903,0.041227900778365814,0.1749543749586808,0.16193741956745741,0.0048024390482390295,0.073416380237042528,0.068613941188803498
3,2649,0.049847229235677686,0.17190221118590318,0.15438888425864639,0.0053707213295457095,0.07170551520007086,0.066334793870525099
4,2585,0.033644904418598839,0.19575804326771445,0.17601880925865454,0.0053313541227372968,0.080071199534774748,0.074739845412037376
5,2423,0.035362139809106366,0.18792442882929888,0.160108006589641,0.0049539839005986767,0.088777674742241769,0.083823690841643039
6,3003,0.048912559302169707,0.17864341046159235,0.15447540674813409,0.0065650385348047877,0.074793839459798381,0.068228800924993532
7,3176,0.036698398159355355,0.18359496253466667,0.16125160611149289,0.0047549439652299396,0.089248329875432172,0.084493385910202251
8,3046,0.045948605272308492,0.17828151366398245,0.16076868251031098,0.0059388107253384196,0.072160165328607986,0.066221354603269542
9,2649,0.042225596642357699,0.1714646585116574,0.151136623956556,0.0053229103053921301,0.071720738743299345,0.066397828437907189
10,3087,0.046686708712947805,0.17552670577451915,0.15431313548417533,0.0057701954872373265,0.072585079789699886,0.066814884302462491
11,2866,0.037756327567911661,0.18037109920396727,0.16418950418427047,0.004077124892566693,0.082950976613540381,0.07887385172097372
12,2286,0.039220970290524078,0.20044889372317204,0.17272162682267678,0.0043121841441843304,0.095166051414547662,0.090853867270363292
13,2820,0.05312655429676711,0.18072954084922177,0.15412123042442183,0.0060309365666574985,0.080354602356324439,0.074323665789666954
14,2874,0.059285104248569795,0.18690392621760044,0.15616552124902852,0.0061145137701822715,0.079114599125142016,0.073000085354959693
15,3212,0.038210447363622946,0.17480027021200736,0.16068918109702662,0.0042159507774502496,0.078761924964024552,0.07454597418657434
16,2818,0.043063710203525667,0.18027578840211916,0.15671809855628172,0.0056876137024713122,0.079144833735894787,0.073457220033423476
17,2924,0.05056852062666016,0.18079616533147655,0.15356758257322553,0.0050318032097684592,0.076930689737065225,0.071898886527296729
18,2443,0.045559728623584532,0.18484133890396678,0.1577949646205887,0.0048160036675236493,0.079687620888881941,0.07487161722135835
19,2610,0.037513189237327167,0.18895067682424005,0.17142598780529816,0.0044929909073607192,0.074120301310156941,0.069627310402796266
20,2574,0.063220338540851406,0.18238596339557878,0.14879310019170161,0.0058513282858495821,0.076018794511861762,0.070167466226012165
21,2542,0.046442201910337245,0.17360057494302178,0.15904475147197408,0.0048480246280278123,0.065153079478969589,0.060305054850941765
22,3134,0.052507698463346165,0.1829670865368058,0.15449174487145129,0.0076956104915024406,0.078301720915329623,0.070606110423827209
23,2586,0.043077610711021383,0.17823526746090551,0.16253196511317161,0.0052876578901725913,0.068976721068938415,0.063689063178765867
24,2981,0.052696216340966426,0.17099502355708324,0.15008755548004118,0.006252212816502776,0.072294397530604168,0.066042184714101337
25,2523,0.040987043409754481,0.19005777796651757,0.16733464822049843,0.0064952132804831017,0.07698628911239562,0.070491075831912511
26,2970,0.028413390761875608,0.18865440722763963,0.16903045000267225,0.0044226554212104434,0.09123919129841157,0.086816535877201145
