n_records,raw_u,u,log10_u,onset,sub_frac,depth_q50,depth_q90,frozen_frac,absv_sub_med,valley_frac,arm,seed,role,revive_across,revive_within
10,0.31610018612071267,0.31610018612071267,-0.5001752484464859,1,0.951,7.59572696685791,9.83141803741455,0.929,1.2764875888824463,0.99,Gc_b1_1216,0,clamp,1834,1093
10,0.9936399272654259,0.9936399272654259,-0.002770965635028925,1,1.0,11.622076034545898,18.981546401977543,0.991,8.410158157348633,1.0,G_b1_1216,0,reference,708,573
10,0.2109225964581783,0.2109225964581783,-0.6758768911405035,1,0.944,7.854184150695801,10.851184463500976,0.922,1.2910365462303162,0.991,Gc_b1_1216,1,clamp,2007,994
10,0.9999900217066606,0.9999900217066606,-4.3335393568016745e-06,1,1.0,11.276088237762451,19.259175300598148,0.988,7.615157127380371,1.0,G_b1_1216,1,reference,477,510
10,0.40109868763963064,0.40109868763963064,-0.3967487589901784,1,0.908,7.127869606018066,9.326155090332033,0.849,1.3888360857963562,0.991,Gc_b1_1216,2,clamp,1884,1104
10,0.9999988428740171,0.9999988428740171,-5.02533719996575e-07,1,1.0,11.157315731048584,17.007520294189458,0.977,8.01388931274414,1.0,G_b1_1216,2,reference,720,685
10,0.31324259113888375,0.31324259113888375,-0.504119192211072,1,0.918,7.523366689682007,9.95013723373413,0.883,1.3152862787246704,0.999,Gc_b1_1216,3,clamp,1848,1195
10,0.9507818281922896,0.9507818281922896,-0.021919127313263547,1,1.0,10.776954650878906,16.051428031921386,0.979,7.848008155822754,1.0,G_b1_1216,3,reference,678,603
10,0.2896099707773102,0.2896099707773102,-0.5381864901992566,1,0.929,7.617747783660889,9.896213150024414,0.903,1.327547550201416,0.992,Gc_b1_1216,4,clamp,1973,1157
10,1.0000001591007186,1.0000001591007186,6.909655865803709e-08,1,1.0,11.19706392288208,17.228337860107423,0.997,8.021870613098145,1.0,G_b1_1216,4,reference,556,540
10,0.30402059173189533,0.30402059173189533,-0.5170970000337742,1,0.891,6.922386169433594,8.816522598266602,0.828,1.325136423110962,0.998,Gc_b1_1216,5,clamp,2065,1135
10,0.9690342877475091,0.9690342877475091,-0.013660855853166462,1,1.0,10.418063640594482,17.790006256103517,0.925,8.198270320892334,1.0,G_b1_1216,5,reference,811,630
10,0.15635489251001883,0.15635489251001883,-0.8058885246745815,1,0.911,6.916996002197266,9.386713981628418,0.876,1.3134905099868774,0.993,Gc_b1_1216,6,clamp,1986,1182
10,0.9866662268664801,0.9866662268664801,-0.0058297372446800095,1,1.0,10.567167282104492,14.991865062713623,0.984,8.510613441467285,1.0,G_b1_1216,6,reference,724,683
10,0.4759829559960311,0.4759829559960311,-0.32240859822362283,1,0.947,7.606045722961426,10.226510620117187,0.931,1.4160879850387573,0.994,Gc_b1_1216,7,clamp,1728,990
10,0.9825458227983438,0.9825458227983438,-0.007647186372984624,1,1.0,11.320751190185547,16.72896041870117,0.976,7.877003192901611,1.0,G_b1_1216,7,reference,649,622
10,0.18257968445011752,0.18257968445011752,-0.7385475478425422,1,0.904,7.126371622085571,9.713922214508056,0.854,1.2866817116737366,0.986,Gc_b1_1216,8,clamp,2055,1158
10,0.9925186082841291,0.9925186082841291,-0.003261342096981828,1,1.0,10.957212448120117,16.55260467529297,0.984,8.164508819580078,1.0,G_b1_1216,8,reference,698,715
10,0.13145202050661434,0.13145202050661434,-0.8812327341058925,1,0.899,7.255258560180664,9.881413841247559,0.838,1.350354790687561,0.989,Gc_b1_1216,9,clamp,1864,1048
10,0.9980196553125378,0.9980196553125378,-0.0008609054964791423,1,1.0,10.256470680236816,14.64358835220337,0.962,8.079375267028809,1.0,G_b1_1216,9,reference,721,619
10,0.3627018036945479,0.3627018036945479,-0.4404502846935071,1,0.968,6.511937618255615,8.870371341705322,0.961,1.4076822400093079,0.992,Sc_b3_1216,0,clamp,1654,697
10,0.9999850624402861,0.9999850624402861,-6.487348209558336e-06,1,1.0,9.139520645141602,14.048932361602784,0.965,7.985621690750122,1.0,S_b3_1216,0,reference,621,572
10,0.24169666889549218,0.24169666889549218,-0.6167293350713547,1,0.936,7.171708345413208,9.183318614959717,0.928,1.3360599279403687,0.991,Sc_b3_1216,1,clamp,1713,705
10,1.0000030923119148,1.0000030923119148,1.3429719244584218e-06,1,1.0,9.78062915802002,15.371625328063967,0.978,7.395402431488037,1.0,S_b3_1216,1,reference,452,502
10,0.40378495650630575,0.40378495650630575,-0.3938498652537008,1,0.906,6.246758937835693,8.189328670501709,0.87,1.296659767627716,0.994,Sc_b3_1216,2,clamp,1754,699
10,0.9998815997904685,0.9998815997904685,-5.1423601998407834e-05,1,1.0,8.560638904571533,11.860932922363284,0.924,8.195133686065674,1.0,S_b3_1216,2,reference,749,613
10,0.3847440618502789,0.3847440618502789,-0.41482807435693314,1,0.944,6.565311670303345,8.72774019241333,0.926,1.3745010495185852,0.986,Sc_b3_1216,3,clamp,1724,795
10,1.0000001071672553,1.0000001071672553,4.654214512019649e-08,1,1.0,9.172919273376465,12.700998497009278,0.964,7.880409240722656,1.0,S_b3_1216,3,reference,692,599
10,0.4219728052213864,0.4219728052213864,-0.37471553700717886,1,0.942,7.039175033569336,9.60937385559082,0.926,1.3136239647865295,0.991,Sc_b3_1216,4,clamp,1789,750
10,0.9999923003992001,0.9999923003992001,-3.3439070136617887e-06,1,1.0,9.2839937210083,13.733093929290773,0.948,7.359166383743286,1.0,S_b3_1216,4,reference,627,572
10,0.17484019838745382,0.17484019838745382,-0.7573587093973954,1,0.901,6.035573959350586,8.217830657958984,0.869,1.344522476196289,0.987,Sc_b3_1216,5,clamp,1867,764
10,0.9867047587889953,0.9867047587889953,-0.005812777229103353,1,1.0,9.133968353271484,14.141151809692383,0.918,7.470388650894165,1.0,S_b3_1216,5,reference,1147,674
10,0.15823913358156227,0.15823913358156227,-0.8006861036651002,1,0.912,6.198670387268066,8.367598056793213,0.897,1.348500370979309,0.99,Sc_b3_1216,6,clamp,1762,730
10,0.9999749328658438,0.9999749328658438,-1.0886654490340098e-05,1,1.0,9.153766632080078,13.71017427444458,0.937,8.164376258850098,1.0,S_b3_1216,6,reference,914,734
10,0.5379612691423272,0.5379612691423272,-0.2692489905106682,1,0.966,6.7207701206207275,9.013593196868896,0.958,1.3787329196929932,0.993,Sc_b3_1216,7,clamp,1682,738
10,0.9999835213538454,0.9999835213538454,-7.156644060250587e-06,1,1.0,9.25177526473999,14.031908226013185,0.942,7.500349998474121,1.0,S_b3_1216,7,reference,799,656
10,0.2802008885913291,0.2802008885913291,-0.5525304917850802,1,0.944,6.322006940841675,8.956253051757812,0.934,1.3643271327018738,0.983,Sc_b3_1216,8,clamp,1694,684
10,0.9983270752435583,0.9983270752435583,-0.0007271503940401501,1,1.0,9.014211654663086,13.3846004486084,0.936,7.676259279251099,1.0,S_b3_1216,8,reference,730,572
10,0.3289564810730013,0.3289564810730013,-0.4828615527490465,1,0.961,6.776185035705566,8.96406364440918,0.952,1.2594048976898193,0.989,Sc_b3_1216,9,clamp,1591,650
10,0.9922513817879448,0.9922513817879448,-0.0033782876312179817,1,1.0,8.932849407196045,12.708344841003418,0.88,7.313948631286621,1.0,S_b3_1216,9,reference,734,563
