verdict,arm,reference,n_onset_clamp,n_onset_ref,log10_u_clamp,log10_u_ref,delta_median,delta_ci_lo,delta_ci_hi,sign_neg,sign_pos,sign_p,depth_q50_clamp,depth_q50_ref,frozen_clamp,frozen_ref,revive_across_clamp,revive_across_ref,family_label,pred_onset_10_of_10,pred_level,pred_depth_le_8,pred_churn_positive
FLIGHT_CARRIES_OVERSHOOT,Gc_b1_1216,G_b1_1216,10,10,-0.5276417451165154,-0.0030161538660053765,-0.5208113517382116,-0.7379656725155241,-0.4470762696339577,10,0,0.001953125,7.3893126249313354,11.05726408958435,0.8795,0.9815,1928.5,703.0,FLIGHT_CARRIES_OVERSHOOT,1,1,1,1
FLIGHT_CARRIES_OVERSHOOT,Sc_b3_1216,S_b3_1216,10,10,-0.4616559187212768,-9.021649275295343e-06,-0.459963531231563,-0.651674636779666,-0.3937984416517024,10,0,0.001953125,6.53862464427948,9.14664363861084,0.927,0.9395,1718.5,732.0,FLIGHT_CARRIES_OVERSHOOT,1,1,1,1
