seed,n_boundary,n_valid_005,n_c_level_005,r005_nonconstant,rho_005,n_valid_strict,rho_strict
0,99,41,5,True,,53,0.16362158072069952
1,99,34,7,True,,45,
2,99,62,9,True,-0.22589768796677065,72,-0.08120274507006058
3,99,31,5,True,,50,0.135527623535285
4,99,24,7,True,,40,
5,99,73,8,True,-0.11668603231043052,86,-0.045980450798540996
6,99,46,7,True,,56,-0.18192780161693706
7,99,43,10,True,,50,-0.12490125255604324
8,99,53,7,True,0.11557331520802328,62,0.01604680038082435
9,99,52,6,True,-0.24813975876969221,60,-0.06420183546198523
