replicate,rho_005,rho_strict
0,-0.06628322178083447,-0.12868107058642173
1,-0.06628322178083447,-0.03421679194494322
2,-0.021015086061894294,-0.03931238893885283
3,-0.14910639868229678,0.0033566521522955715
4,-0.12434805866044793,-0.035445820111126736
5,-0.10128610123342317,-0.04386607740762429
6,0.07686342395494765,0.028267875975182898
7,-0.0756701350230593,0.024243798267424257
8,-0.14020957036112816,-0.06463069456544897
9,-0.07937714682354623,-0.03238364508431845
10,-0.14398894622451555,0.028250339832249134
11,-0.0859241093449021,0.018977511782355412
12,-0.23331171156774452,-0.052026872142004896
13,-0.06628322178083447,-0.08358098942174844
14,-0.15165097257453294,-0.08339811163103117
15,-0.06628322178083447,-0.08161770368092355
16,-0.204155291753416,-0.05939932140756116
17,-0.16425167520693199,-0.04202987267630927
18,0.03815353270187201,-0.047245529590722535
19,-0.1709487298135648,-0.020035643860653266
20,-0.19690782634896445,-0.03687919274101832
21,-0.10128610123342317,-0.023096617233283386
22,-0.0859241093449021,0.019082341118613507
23,-0.11836723922986012,-0.0384374507674613
24,-0.14020957036112816,-0.043277307728782154
25,-0.005664376117881888,-0.06319485943083754
26,-0.0005563585512036243,-0.00347822050569193
27,-0.204155291753416,-0.0350334532897054
28,-0.040667255570470594,-0.015092448010510951
29,-0.14020957036112816,-0.0004213277606100617
30,-0.15165097257453294,-0.09377389686228418
31,-0.1399959924864988,-0.03797834226331578
32,-0.0005563585512036243,0.015088424075018227
33,-0.08308415862403316,-0.038979636824881154
34,-0.15308991752921056,0.007355917474539339
35,-0.09757908943293625,-0.045755067364077105
36,-0.050073038594901344,-0.0697035342187561
37,-0.22184901347783986,-0.09894308105454991
38,-0.1362889806860119,-0.036486881979890286
39,-0.11322702325898715,0.05392210856873192
40,-0.24813975876969221,0.09050233118695687
41,0.03815353270187201,-0.035686812091677816
42,-0.057468192413669274,-0.018541271067422323
43,0.03815353270187201,-0.030864713445764597
44,-0.14020957036112816,-0.03257260197914423
45,-0.1712918601386006,-0.03309576302231801
46,-0.17539714397414913,-0.015442392353508635
47,-0.16037069457296657,-0.0662832806366092
48,-0.1194880438428132,-0.029230615679855743
49,-0.11438002627613493,-0.05062238586584613
50,0.0008272450693737332,0.027430350334920212
51,-0.21295218515667128,-0.08379887385353131
52,0.03815353270187201,0.06446227753623282
53,-0.1712918601386006,-0.011361030382711385
54,-0.11207402024183934,-0.08960188624298995
55,-0.0859241093449021,-0.038524944202250125
56,-0.14020957036112816,-0.051958128107472586
57,-0.10348609138728138,-0.013231517013595599
58,-0.16050394113018443,-0.007155944414532163
59,-0.14609045487380257,-0.05455170797985391
60,-0.005664376117881888,-0.029219284692102887
61,-0.20740411252377156,-0.046593846392871306
62,,-0.013408682044054673
63,-0.0965249080985921,-0.0037458011260140555
64,-0.1399959924864988,-0.0796945359932569
65,-0.204155291753416,-0.016175404163602553
66,-0.06072270408010408,-0.06893045071739466
67,-0.16205190149239618,0.015353992847916869
68,-0.04562462443431703,0.04021259238389877
69,0.03815353270187201,0.0009324653187894882
70,-0.02546350022247861,-0.017281873280171795
71,-0.03394883912444863,0.003992178480654682
72,-0.11668603231043052,-0.02507793268102758
73,-0.11322702325898715,0.0022921265896399703
74,-0.16190494689637577,-0.05599732493187862
75,-0.11668603231043052,0.09569498869539884
76,-0.18241289554006138,-0.04282713397063701
77,-0.08308415862403316,-0.072055895313604
78,-0.11207402024183934,-0.057543793656685174
79,-0.05516218637937369,0.012305594185726625
80,0.0017496474830919668,0.05303600145593923
81,-0.16037069457296657,-0.012250616706298543
82,-0.20061483814945139,-0.06601079252796525
83,-0.17422420573542094,-0.06160562373647017
84,0.11557331520802328,-0.006379993574404439
85,-0.14020957036112816,-0.049968556184012976
86,-0.05516218637937369,0.04332611004116133
87,-0.17639987770527885,-0.050295660479372485
88,-0.19690782634896445,0.03173977092999056
89,-0.1362889806860119,-0.052646984161784365
90,-0.021015086061894294,0.0074978578377866475
91,-0.11808703807662187,-0.05194812834000212
92,-0.24813975876969221,0.060065138570905036
93,-0.16050394113018443,-0.015259433987881313
94,-0.22589768796677065,-0.07806007814811299
95,-0.06257620998034753,-0.04905625949549929
96,0.022669576200641757,-0.05045292019668167
97,-0.18949380274799063,0.00408453701391874
98,-0.17685237783933097,-0.030630666505765448
99,-0.23701872336823143,-0.06912772060904407
100,-0.15165097257453294,-0.05770854270269134
101,0.11557331520802328,-0.10886368134391643
102,-0.09652490809859211,0.0020306901760714898
103,-0.08308415862403315,-0.013892427261550568
104,0.11557331520802328,-0.04401818040534831
105,-0.1985947740526856,-0.08530213009104426
106,-0.08308415862403316,0.022659077184947227
107,-0.19690782634896445,0.05411705999942396
108,-0.17685237783933097,-0.01716343992715433
109,-0.1194880438428132,-0.023590226750518827
110,-0.023782293303049006,0.0339455447136537
111,-0.11878754095971752,-0.049519951655351106
112,-0.19690782634896445,0.017363581931025662
113,-0.14052993717307216,-0.045660268818501576
114,-0.14781995939952425,-0.07195327672518706
115,-0.1712918601386006,-0.046208898453969055
116,-0.11391882506927582,-0.06572764706789011
117,-0.2152763271548768,-0.06268856852823876
118,-0.08308415862403316,-0.007010556403560157
119,-0.11322702325898715,-0.021490629161177385
120,-0.24072573516871834,-0.006603256312532814
121,-0.10265452917860603,0.01024856895000283
122,-0.1222651951671759,-0.027663863703139148
123,-0.0756701350230593,-0.020987171798598214
124,-0.23701872336823143,-0.06200237635948177
125,0.03815353270187201,-0.0403691382892469
126,-0.08308415862403316,-0.02833957354409261
127,-0.14910639868229678,-0.0756240301395218
128,-0.23331171156774452,-0.09218211810764725
129,-0.1399959924864988,-0.0860308192222451
130,-0.19690782634896445,-0.06888300372692784
131,-0.06746695556558505,-0.03632090271922687
132,0.033611836537559316,-0.007250601651190819
133,-0.2151097689583545,-0.10074991252473449
134,-0.17269286590479194,-0.057352609868187104
135,-0.11836723922986014,0.011118646072525865
136,-0.12434805866044793,-0.020752146407335362
137,-0.1712918601386006,-0.036267524854951674
138,-0.23701872336823143,-0.0478588902951398
139,-0.03926624980427926,0.01000345369843076
140,-0.23331171156774452,-0.011706577288005473
141,-0.1194880438428132,0.03587660334297632
142,-0.11207402024183934,-0.01799208321298258
143,-0.15721149027526335,-0.004343530212943513
144,-0.005664376117881888,-0.00011863960585289318
145,-0.1709487298135648,0.018602677441332885
146,-0.12434805866044793,-0.0002661767264425981
147,0.11557331520802328,-0.03142404640940728
148,-0.11322702325898713,0.014574724998415462
149,-0.24813975876969221,-0.08027215052976713
150,-0.11878754095971752,-0.008302404044387856
151,-0.15165097257453294,-0.006892036541249241
152,-0.11878754095971752,-0.053653179066133865
153,-0.11668603231043052,-0.08895408131372065
154,-0.06628322178083447,0.0036991733839418137
155,-0.1362889806860119,-0.014252608346491415
156,-0.03341979016601905,-0.07934003059799302
157,-0.204155291753416,-0.07109880744929824
158,-0.0756701350230593,-0.07047117423112699
159,0.11557331520802328,-0.013238491389121613
160,-0.1567969293296975,-0.026688770919175205
161,-0.19555826818598754,-0.02925707400272824
162,-0.11878754095971752,-0.01723917098875165
163,-0.1362889806860119,-0.07616881012391805
164,-0.11322702325898715,0.03603977245625439
165,-0.23331171156774452,-0.07882037152447488
166,-0.11836723922986012,-0.049077514048249844
167,-0.23701872336823143,-0.08938408984308104
168,-0.2097158094541464,-0.08323033101351228
169,-0.06628322178083447,0.0014772543802473639
170,0.03815353270187201,-0.0006520958115301123
171,-0.03926624980427926,0.01170664888304485
172,-0.06628322178083447,-0.06372492585150592
173,-0.12690206744378704,0.02418924964380938
174,-0.22589768796677065,-0.04425035831766622
175,-0.20432184994993832,0.04338211767812634
176,-0.11836723922986012,-0.09588776082488931
177,-0.1712918601386006,0.09979479676059581
178,-0.05516218637937369,-0.0323813770053935
179,-0.17685237783933097,-0.012261815911211484
180,-0.11322702325898713,0.028107117579185943
181,0.0008272450693737304,-0.056718319049282276
182,-0.05886919817986062,-0.028108387817660674
183,-0.0005563585512036243,0.029180218341982193
184,-0.03926624980427926,-0.0835122105185901
185,-0.13521925676712526,-0.009784259949239912
186,-0.07636378388675369,-0.035687249301642944
187,-0.1362889806860119,-0.08158352594970972
188,-0.14465798452171247,-0.10113608042428911
189,-0.16926752289413521,0.0048256168795147575
190,-0.19690782634896445,-0.08416375781436702
191,-0.11668603231043052,-0.05793704434349398
192,0.03815353270187201,0.030935682110240132
193,-0.05516218637937369,-0.010120648779321801
194,-0.1712918601386006,-0.07832673308834048
195,-0.23701872336823143,0.0602245859370618
196,-0.14609045487380257,0.013793537817860052
197,-0.16050394113018443,0.04173668892446463
198,-0.09757908943293625,-0.014995221729101952
199,-0.2152763271548768,0.008898702256341198
200,-0.22589768796677065,-0.12870926443458927
201,-0.14052993717307216,-0.036894286679664656
202,0.0017496474830919668,0.02692891222561965
203,-0.07191536972616937,-0.030684044370040638
204,0.00021231012689490613,-0.032083789717849885
205,-0.16561195869686268,-0.05410833497542579
206,-0.24813975876969221,-0.014376337075796202
207,-0.14052993717307216,0.010276767550733612
208,-0.1710467670492893,-0.04159091955161686
209,-0.0005563585512036243,0.08251252331046596
