seed,boundary_step,step_post,pair_index,n_old,n_new,overlap,flipped_bit,n_flipped_bits,flip_direction,q_other_ones,c_formula,c_direct,n_risk_005,n_death_005,r005,n_risk_strict,n_death_strict,r_strict
0,10000,10001,110,8,7,7,2,1,-1,7,0.9444002816030351,0.9444002816030351,65,3,0.046153846153846156,67,2,0.029850746268656716
0,20000,20001,320,7,8,7,9,1,1,7,0.9444002816030351,0.9444002816030351,61,8,0.13114754098360656,65,8,0.12307692307692308
0,30000,30001,530,8,7,7,6,1,-1,7,0.9444002816030351,0.9444002816030351,56,0,0.0,58,0,0.0
0,40000,40001,740,7,6,6,3,1,-1,6,0.9374368665610922,0.9374368665610922,55,4,0.07272727272727272,59,1,0.01694915254237288
0,50000,50001,950,6,7,6,8,1,1,6,0.9374368665610922,0.9374368665610922,53,5,0.09433962264150944,57,2,0.03508771929824561
0,60000,60001,1160,7,6,6,11,1,-1,6,0.9374368665610922,0.9374368665610922,46,2,0.043478260869565216,56,4,0.07142857142857142
0,70000,70001,1370,6,7,6,11,1,1,6,0.9374368665610922,0.9374368665610922,48,10,0.20833333333333334,55,11,0.2
0,80000,80001,1580,7,8,7,5,1,1,7,0.9444002816030351,0.9444002816030351,43,4,0.09302325581395349,48,3,0.0625
0,90000,90001,1790,8,9,8,14,1,1,8,0.9499679070317291,0.9499679070317292,43,7,0.16279069767441862,50,3,0.06
0,100000,100001,2000,9,8,8,14,1,-1,8,0.9499679070317291,0.9499679070317292,37,2,0.05405405405405406,46,4,0.08695652173913043
0,110000,110001,2210,8,9,8,3,1,1,8,0.9499679070317291,0.9499679070317292,33,5,0.15151515151515152,43,4,0.09302325581395349
0,120000,120001,2420,9,10,9,6,1,1,9,0.9545214042184236,0.9545214042184236,33,9,0.2727272727272727,39,7,0.1794871794871795
0,130000,130001,2630,10,9,9,8,1,-1,9,0.9545214042184236,0.9545214042184236,23,3,0.13043478260869565,28,5,0.17857142857142858
0,140000,140001,2840,9,8,8,1,1,-1,8,0.9499679070317291,0.9499679070317292,19,0,0.0,23,0,0.0
0,150000,150001,3050,8,9,8,4,1,1,8,0.9499679070317291,0.9499679070317292,20,1,0.05,28,4,0.14285714285714285
0,160000,160001,3260,9,8,8,6,1,-1,8,0.9499679070317291,0.9499679070317292,17,1,0.058823529411764705,23,0,0.0
0,170000,170001,3470,8,7,7,11,1,-1,7,0.9444002816030351,0.9444002816030351,18,2,0.1111111111111111,22,1,0.045454545454545456
0,180000,180001,3680,7,8,7,11,1,1,7,0.9444002816030351,0.9444002816030351,24,4,0.16666666666666666,28,1,0.03571428571428571
0,190000,190001,3890,8,7,7,11,1,-1,7,0.9444002816030351,0.9444002816030351,16,1,0.0625,19,1,0.05263157894736842
0,200000,200001,4100,7,8,7,2,1,1,7,0.9444002816030351,0.9444002816030351,24,5,0.20833333333333334,25,1,0.04
0,210000,210001,4310,8,9,8,8,1,1,8,0.9499679070317291,0.9499679070317292,20,4,0.2,24,2,0.08333333333333333
0,220000,220001,4520,9,10,9,14,1,1,9,0.9545214042184236,0.9545214042184236,18,0,0.0,20,0,0.0
0,230000,230001,4730,10,9,9,4,1,-1,9,0.9545214042184236,0.9545214042184236,15,2,0.13333333333333333,18,1,0.05555555555555555
0,240000,240001,4940,9,8,8,7,1,-1,8,0.9499679070317291,0.9499679070317292,15,1,0.06666666666666667,19,0,0.0
0,250000,250001,5150,8,7,7,9,1,-1,7,0.9444002816030351,0.9444002816030351,18,5,0.2777777777777778,21,2,0.09523809523809523
0,260000,260001,5360,7,8,7,9,1,1,7,0.9444002816030351,0.9444002816030351,17,5,0.29411764705882354,24,2,0.08333333333333333
0,270000,270001,5570,8,9,8,4,1,1,8,0.9499679070317291,0.9499679070317292,11,1,0.09090909090909091,13,0,0.0
0,280000,280001,5780,9,10,9,11,1,1,9,0.9545214042184236,0.9545214042184236,6,0,0.0,9,0,0.0
0,290000,290001,5990,10,11,10,7,1,1,10,0.9583148474999099,0.9583148474999099,5,0,0.0,6,0,0.0
0,300000,300001,6200,11,10,10,11,1,-1,10,0.9583148474999099,0.9583148474999099,4,0,0.0,5,0,0.0
0,310000,310001,6410,10,9,9,8,1,-1,9,0.9545214042184236,0.9545214042184236,2,0,0.0,2,0,0.0
0,320000,320001,6620,9,10,9,1,1,1,9,0.9545214042184236,0.9545214042184236,4,0,0.0,5,0,0.0
0,330000,330001,6830,10,11,10,8,1,1,10,0.9583148474999099,0.9583148474999099,7,0,0.0,7,0,0.0
0,340000,340001,7040,11,12,11,0,1,1,11,0.9615239476408232,0.9615239476408232,5,1,0.2,6,0,0.0
0,350000,350001,7250,12,11,11,2,1,-1,11,0.9615239476408232,0.9615239476408232,3,0,0.0,5,0,0.0
0,360000,360001,7460,11,10,10,5,1,-1,10,0.9583148474999099,0.9583148474999099,5,0,0.0,6,0,0.0
0,370000,370001,7670,10,9,9,9,1,-1,9,0.9545214042184236,0.9545214042184236,3,0,0.0,4,0,0.0
0,380000,380001,7880,9,8,8,1,1,-1,8,0.9499679070317291,0.9499679070317292,7,1,0.14285714285714285,11,1,0.09090909090909091
0,390000,390001,8090,8,7,7,12,1,-1,7,0.9444002816030351,0.9444002816030351,5,0,0.0,11,0,0.0
0,400000,400001,8300,7,6,6,0,1,-1,6,0.9374368665610922,0.9374368665610922,18,3,0.16666666666666666,24,2,0.08333333333333333
0,410000,410001,8510,6,7,6,13,1,1,6,0.9374368665610922,0.9374368665610922,17,1,0.058823529411764705,19,0,0.0
0,420000,420001,8720,7,6,6,7,1,-1,6,0.9374368665610922,0.9374368665610922,13,0,0.0,19,0,0.0
0,430000,430001,8930,6,7,6,7,1,1,6,0.9374368665610922,0.9374368665610922,8,1,0.125,21,3,0.14285714285714285
0,440000,440001,9140,7,6,6,8,1,-1,6,0.9374368665610922,0.9374368665610922,8,0,0.0,12,0,0.0
0,450000,450001,9350,6,5,5,10,1,-1,5,0.9284766908852593,0.9284766908852593,12,0,0.0,18,0,0.0
0,460000,460001,9560,5,6,5,0,1,1,5,0.9284766908852593,0.9284766908852593,21,3,0.14285714285714285,34,0,0.0
0,470000,470001,9770,6,7,6,9,1,1,6,0.9374368665610922,0.9374368665610922,17,2,0.11764705882352941,29,5,0.1724137931034483
0,480000,480001,9980,7,6,6,7,1,-1,6,0.9374368665610922,0.9374368665610922,13,0,0.0,19,0,0.0
0,490000,490001,10190,6,7,6,10,1,1,6,0.9374368665610922,0.9374368665610922,24,6,0.25,32,2,0.0625
0,500000,500001,10400,7,8,7,11,1,1,7,0.9444002816030351,0.9444002816030351,15,2,0.13333333333333333,22,1,0.045454545454545456
0,510000,510001,10610,8,9,8,6,1,1,8,0.9499679070317291,0.9499679070317292,8,0,0.0,12,0,0.0
0,520000,520001,10820,9,10,9,7,1,1,9,0.9545214042184236,0.9545214042184236,7,2,0.2857142857142857,12,1,0.08333333333333333
0,530000,530001,11030,10,9,9,9,1,-1,9,0.9545214042184236,0.9545214042184236,4,0,0.0,4,0,0.0
0,540000,540001,11240,9,10,9,1,1,1,9,0.9545214042184236,0.9545214042184236,5,0,0.0,8,0,0.0
0,550000,550001,11450,10,11,10,2,1,1,10,0.9583148474999099,0.9583148474999099,3,0,0.0,4,0,0.0
0,560000,560001,11660,11,10,10,3,1,-1,10,0.9583148474999099,0.9583148474999099,5,0,0.0,6,0,0.0
0,570000,570001,11870,10,9,9,0,1,-1,9,0.9545214042184236,0.9545214042184236,5,0,0.0,9,0,0.0
0,580000,580001,12080,9,10,9,8,1,1,9,0.9545214042184236,0.9545214042184236,6,0,0.0,11,1,0.09090909090909091
0,590000,590001,12290,10,11,10,0,1,1,10,0.9583148474999099,0.9583148474999099,5,1,0.2,8,0,0.0
0,600000,600001,12500,11,10,10,6,1,-1,10,0.9583148474999099,0.9583148474999099,3,0,0.0,5,0,0.0
0,610000,610001,12710,10,9,9,2,1,-1,9,0.9545214042184236,0.9545214042184236,2,0,0.0,4,0,0.0
0,620000,620001,12920,9,10,9,2,1,1,9,0.9545214042184236,0.9545214042184236,5,1,0.2,8,2,0.25
0,630000,630001,13130,10,11,10,3,1,1,10,0.9583148474999099,0.9583148474999099,3,0,0.0,4,1,0.25
0,640000,640001,13340,11,10,10,11,1,-1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,2,0,0.0
0,650000,650001,13550,10,11,10,5,1,1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,2,0,0.0
0,660000,660001,13760,11,10,10,3,1,-1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,2,0,0.0
0,670000,670001,13970,10,9,9,8,1,-1,9,0.9545214042184236,0.9545214042184236,2,0,0.0,4,0,0.0
0,680000,680001,14180,9,10,9,12,1,1,9,0.9545214042184236,0.9545214042184236,2,0,0.0,5,1,0.2
0,690000,690001,14390,10,9,9,1,1,-1,9,0.9545214042184236,0.9545214042184236,3,0,0.0,3,0,0.0
0,700000,700001,14600,9,10,9,3,1,1,9,0.9545214042184236,0.9545214042184236,4,0,0.0,6,0,0.0
0,710000,710001,14810,10,9,9,7,1,-1,9,0.9545214042184236,0.9545214042184236,4,0,0.0,5,0,0.0
0,720000,720001,15020,9,10,9,1,1,1,9,0.9545214042184236,0.9545214042184236,2,0,0.0,4,0,0.0
0,730000,730001,15230,10,9,9,10,1,-1,9,0.9545214042184236,0.9545214042184236,2,0,0.0,3,0,0.0
0,740000,740001,15440,9,8,8,14,1,-1,8,0.9499679070317291,0.9499679070317292,6,0,0.0,8,0,0.0
0,750000,750001,15650,8,9,8,11,1,1,8,0.9499679070317291,0.9499679070317292,7,2,0.2857142857142857,13,3,0.23076923076923078
0,760000,760001,15860,9,8,8,1,1,-1,8,0.9499679070317291,0.9499679070317292,4,0,0.0,8,0,0.0
0,770000,770001,16070,8,7,7,3,1,-1,7,0.9444002816030351,0.9444002816030351,5,1,0.2,12,0,0.0
0,780000,780001,16280,7,8,7,1,1,1,7,0.9444002816030351,0.9444002816030351,9,4,0.4444444444444444,21,2,0.09523809523809523
0,790000,790001,16490,8,7,7,4,1,-1,7,0.9444002816030351,0.9444002816030351,10,1,0.1,16,0,0.0
0,800000,800001,16700,7,8,7,4,1,1,7,0.9444002816030351,0.9444002816030351,17,5,0.29411764705882354,26,3,0.11538461538461539
0,810000,810001,16910,8,7,7,2,1,-1,7,0.9444002816030351,0.9444002816030351,11,1,0.09090909090909091,15,0,0.0
0,820000,820001,17120,7,8,7,6,1,1,7,0.9444002816030351,0.9444002816030351,12,4,0.3333333333333333,23,4,0.17391304347826086
0,830000,830001,17330,8,9,8,3,1,1,8,0.9499679070317291,0.9499679070317292,10,4,0.4,15,1,0.06666666666666667
0,840000,840001,17540,9,10,9,9,1,1,9,0.9545214042184236,0.9545214042184236,6,2,0.3333333333333333,13,1,0.07692307692307693
0,850000,850001,17750,10,11,10,8,1,1,10,0.9583148474999099,0.9583148474999099,5,3,0.6,9,1,0.1111111111111111
0,860000,860001,17960,11,10,10,5,1,-1,10,0.9583148474999099,0.9583148474999099,3,0,0.0,6,0,0.0
0,870000,870001,18170,10,9,9,1,1,-1,9,0.9545214042184236,0.9545214042184236,5,0,0.0,7,0,0.0
0,880000,880001,18380,9,10,9,10,1,1,9,0.9545214042184236,0.9545214042184236,4,0,0.0,8,1,0.125
0,890000,890001,18590,10,11,10,14,1,1,10,0.9583148474999099,0.9583148474999099,5,1,0.2,5,0,0.0
0,900000,900001,18800,11,10,10,0,1,-1,10,0.9583148474999099,0.9583148474999099,3,0,0.0,4,0,0.0
0,910000,910001,19010,10,9,9,13,1,-1,9,0.9545214042184236,0.9545214042184236,3,0,0.0,4,0,0.0
0,920000,920001,19220,9,8,8,9,1,-1,8,0.9499679070317291,0.9499679070317292,3,0,0.0,4,0,0.0
0,930000,930001,19430,8,7,7,11,1,-1,7,0.9444002816030351,0.9444002816030351,2,1,0.5,4,0,0.0
0,940000,940001,19640,7,6,6,12,1,-1,6,0.9374368665610922,0.9374368665610922,2,0,0.0,6,0,0.0
0,950000,950001,19850,6,5,5,8,1,-1,5,0.9284766908852593,0.9284766908852593,6,1,0.16666666666666666,7,0,0.0
0,960000,960001,20060,5,6,5,1,1,1,5,0.9284766908852593,0.9284766908852593,6,0,0.0,10,1,0.1
0,970000,970001,20270,6,7,6,0,1,1,6,0.9374368665610922,0.9374368665610922,6,0,0.0,8,0,0.0
0,980000,980001,20480,7,8,7,2,1,1,7,0.9444002816030351,0.9444002816030351,6,1,0.16666666666666666,7,0,0.0
0,990000,990001,20690,8,9,8,5,1,1,8,0.9499679070317291,0.9499679070317292,6,1,0.16666666666666666,6,0,0.0
1,10000,10001,110,6,5,5,2,1,-1,5,0.9284766908852593,0.9284766908852593,81,4,0.04938271604938271,81,2,0.024691358024691357
