arm,mode,seed,cond,slot,lr,task,iv,steps,complete_task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
R,base,1001,raw,0,0.001,1,base,30000,True,0.1886854167,0.1166666672,0.1166666672,0.9799999595,0.9799999595,-7.547371387,1.96544373,-28.64843178,0,1.995917639,0.349999994,0.349999994,-0.0529044047,0.03807176277,-1.05018878,0.0008333333535,2.05536965,0.6568464041,0.6475400329,3.602232933
R,base,1002,raw,1,0.001,1,base,30000,True,0.14293125,0.113333337,0.113333337,0.9899999499,0.9899999499,-6.26646328,1.760410786,-34.09865189,0,1,0.5,0.5,-0.03307409212,0.01861399971,-0.7054411769,0,1.931670719,0.6543360353,0.5991970897,2.078817368
R,base,1003,raw,2,0.001,1,base,30000,True,0.20341875,0.1141666695,0.1141666695,0.9799999595,0.9799999595,-6.597415447,1.769911289,-26.31630516,0,1.810402155,0.3599999845,0.3599999845,-0.03542459756,0.08648853004,-1.1302495,0.003333333414,3.760879767,0.6590490341,0.6690180898,4.291939259
R,base,1004,raw,3,0.001,1,base,30000,True,0.09988125,0.1075000018,0.1075000018,1,1,-7.368360519,2.036933422,-17.42072296,0,0,0.9899999499,0.9899999499,-0.02006501332,0,-0.1247163191,0,1,0.6544322968,0.5736735463,0.5086914897
R,base,1005,raw,4,0.001,1,base,30000,True,0.1701229167,0.1166666672,0.1166666672,0.9899999499,0.9899999499,-7.7901721,2.157001972,-15.27841473,0,1,0.5500000119,0.5500000119,-0.04394422472,0.02716911957,-0.8920093179,0,2.467513836,0.6594614387,0.5888809562,1.928029299
R,base,1001,raw,0,0.001,2,base,30000,True,0.10264375,0.1099999994,0.1099999994,1,1,-7.547371387,1.96544373,-38.22813034,0,0,0.7799999714,0.7799999714,-0.04392424971,0,-1.055503964,0,1.000000961,0.6568464041,0.6552385688,3.537193537
R,base,1002,raw,1,0.001,2,base,30000,True,0.1224229167,0.1225000024,0.1225000024,1,1,-6.26646328,1.760410786,-56.64907074,0,0,0.8999999762,0.8999999762,-0.03260432184,0,-0.738892138,0,1.000000379,0.6543360353,0.5991970897,1.896459699
R,base,1003,raw,2,0.001,2,base,30000,True,0.1051979167,0.1116666719,0.1116666719,1,1,-6.597415447,1.769911289,-82.75292206,0,0,0.719999969,0.719999969,-0.03712903336,0,-1.370738626,0,1.000000975,0.6590490341,0.6709258556,4.254971504
R,base,1004,raw,3,0.001,2,base,30000,True,0.1064979167,0.1066666692,0.1066666692,1,1,-7.368360519,2.036933422,-17.42072296,0,0,1,1,-0.02006501332,0,-0.1247163191,0,0,0.6544322968,0.5736735463,0.5093817711
R,base,1005,raw,4,0.001,2,base,30000,True,0.1076416667,0.1108333394,0.1108333394,1,1,-7.7901721,2.157001972,-19.60740852,0,0,0.8299999833,0.8299999833,-0.04375422001,0,-0.9089814425,0,1.000000578,0.6594614387,0.587413609,1.878454924
