arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit
LR,std,0,0,0.001,1,none,1,1,1,0,0,-12.30955791,51.32329559,-24.42590141,0.4472501278,79.23441022,0,0,-65.94277191,62.01700974,-112.4104156,0.1914999634,78.44952214,18.91859245,2.295347691,1.05141139,600,600,1200600,100,100,1200,1,1200
LR,std,1,1,0.001,1,none,1,1,1,0,0,-13.10244751,55.58613586,-28.99946976,0.4570000768,79.26654824,0,0,-68.05260468,67.47762299,-124.844429,0.2049999833,78.64922463,19.34609795,2.398621798,1.102561951,600,600,1200600,100,100,1200,1,1200
LR,std,2,2,0.001,1,none,1,1,1,0,0,-15.12526894,51.56110382,-37.14426041,0.4382500947,78.33666824,0,0,-62.72177124,58.31987762,-111.2631149,0.2087499797,79.60698161,19.11366653,2.29216814,1.062316298,600,600,1200600,100,100,1200,1,1200
LR,std,3,3,0.001,1,none,1,1,1,0,0,-14.05170631,51.35243988,-27.2626152,0.4412501156,78.40279925,0,0,-65.00725555,66.48091888,-123.2767181,0.1989999712,77.29046234,19.32523155,2.414328814,1.248750329,600,600,1200600,100,100,1200,1,1200
LR,std,4,4,0.001,1,none,1,1,1,0,0,-11.7195816,48.94789505,-20.86551285,0.4585000575,77.22567179,0,0,-63.57984543,60.25692368,-121.4110184,0.2117499858,79.24137741,18.73034096,2.295284986,1.115327477,600,600,1200600,100,100,1200,1,1200
LR,std,5,5,0.001,1,none,1,1,1,0,0,-12.2705946,50.49789047,-27.41905594,0.4622500837,77.28504383,0,0,-60.80862045,63.12385941,-127.7713318,0.2117499858,75.76197733,19.16857719,2.274002552,1.194597721,600,600,1200600,100,100,1200,1,1200
LR,std,6,6,0.001,1,none,1,1,1,0,0,-11.24718857,51.46001816,-23.30424881,0.4615001678,79.13644251,0,0,-63.56063843,62.90682602,-136.8566895,0.2034999579,79.47273239,19.27489662,2.330313921,1.089640617,600,600,1200600,100,100,1200,1,1200
LR,std,7,7,0.001,1,none,1,1,1,0,0,-11.57650566,53.21915436,-29.57800484,0.4547501802,80.26508847,0,0,-65.65235901,64.77706146,-121.6885681,0.2004999518,74.91066407,19.55725288,2.366024494,1.16964829,600,600,1200600,100,100,1200,1,1200
LR,std,8,8,0.001,1,none,1,1,1,0,0,-12.61665535,53.44108963,-25.91941643,0.4570001364,80.50625036,0,0,-62.09457779,66.0951767,-105.9367828,0.2162500024,73.28344436,19.65615273,2.296037912,1.181613922,600,600,1200600,100,100,1200,1,1200
LR,std,9,9,0.001,1,none,1,1,1,0,0,-11.15792561,51.25435257,-24.75780678,0.4645001292,79.44550241,0,0,-61.93341446,65.30150604,-124.8775558,0.2087499797,76.51593343,19.34374237,2.363561869,1.207551837,600,600,1200600,100,100,1200,1,1200
