registered,arm,seed,pred_kind,target_mu_norm,n_units,med_d_wmu,med_d_b,share_of_medians,med_share_unit,share_of_medians_ff,med_share_unit_ff,share_of_medians_incl_nodesc,med_pred,med_pred_meanrecip,med_pred_ff,med_t_sub,med_win_len,frac_routes_same_sign,frac_share_outside01,n_units_ff,n_ok,n_never_submerged,n_submerged_at_start,n_degenerate_denom,n_no_descent
0,E_1216,0,oracle,3.041,70,-1.3674152847757417,-0.15624573420356214,0.10254625684932907,0.1002174284541957,0.11930401011752514,0.0986990257845537,0.12128542373773814,0.09758305318051957,0.09758305318051957,0.09758305318051957,201000.0,200.0,0.7857142857142857,0.21428571428571427,70,70,0,23,0,7
0,E_1216,1,oracle,3.041,79,-1.514048809071733,-0.10967517093296664,0.06754545248056827,0.09998747161130224,0.11631598519199148,0.09143488307826439,0.07508714444943392,0.09758305318051957,0.09758305318051957,0.09758305318051957,141000.0,140.0,0.8354430379746836,0.16455696202531644,79,79,2,12,0,7
0,E_1216,2,oracle,3.041,83,-1.1043851382315921,-0.11293295688807303,0.09277193639101493,0.08977499403515192,0.09819153240896947,0.09356554875977442,0.09711379858398916,0.09758305318051957,0.09758305318051957,0.09758305318051957,201000.0,200.0,0.7710843373493976,0.2289156626506024,83,83,0,16,0,1
0,E_1216,3,oracle,3.041,77,-1.2338467134463311,-0.11312061955464547,0.0839817097142351,0.08845956687089125,0.08196953105875143,0.09893699607248185,0.08628792009255852,0.09758305318051957,0.09758305318051957,0.09758305318051957,151000.0,150.0,0.8051948051948052,0.19480519480519481,77,77,0,16,0,7
0,E_1216,4,oracle,3.041,83,-1.367879827616676,-0.17991283978692002,0.11623833319272774,0.08666598591534909,0.06668411084894436,0.08541089820426276,0.10465597734667738,0.09758305318051957,0.09758305318051957,0.09758305318051957,221000.0,220.0,0.7108433734939759,0.2891566265060241,83,83,2,12,0,3
0,E_1216,5,oracle,3.041,84,-0.5654742225904299,-0.10291391176672282,0.15397327761616253,0.12582367433314726,0.09374175396709288,0.09653372622163,0.14352554967209202,0.09758305318051957,0.09758305318051957,0.09758305318051957,161000.0,160.0,0.8095238095238095,0.19047619047619047,84,84,0,8,0,8
0,E_1216,6,oracle,3.041,86,-0.9694259225960185,-0.14562430396602788,0.13059887393146474,0.09536741308807486,0.06937439993417067,0.08719120124773264,0.12377841005517842,0.09758305318051957,0.09758305318051957,0.09758305318051957,171000.0,170.0,0.7906976744186046,0.20930232558139536,86,86,0,8,0,6
0,E_1216,7,oracle,3.041,78,-0.6290746991250953,-0.07491217009300621,0.10641131726818863,0.08246389504087111,0.09529337569592294,0.11598471998293977,0.11543423072181518,0.09758305318051957,0.09758305318051957,0.09758305318051957,161000.0,160.0,0.7435897435897436,0.2564102564102564,78,78,0,16,0,6
0,E_1216,8,oracle,3.041,89,-0.6041952693092849,-0.08258410946559103,0.12024838254886193,0.08180717274827896,0.6280866237225083,0.09434595637624409,0.1352319413850119,0.09758305318051957,0.09758305318051957,0.09758305318051957,131000.0,130.0,0.7191011235955056,0.2808988764044944,89,89,0,8,0,3
0,E_1216,9,oracle,3.041,82,-1.0739621340099035,-0.11089947549351675,0.09359698601425284,0.09221371606823314,0.7234802500966119,0.10397092013025755,0.14543818375895695,0.09758305318051957,0.09758305318051957,0.09758305318051957,186000.0,185.0,0.7073170731707317,0.2926829268292683,82,82,0,9,0,9
0,E_933,0,oracle,2.333,75,-0.9127063577879468,-0.20308243984452012,0.1820079573082558,0.1592970690229941,0.14392416476112976,0.13750093561322077,0.18871032082436157,0.15520987556979482,0.15520987556979482,0.15520987556979482,181000.0,180.0,0.7733333333333333,0.22666666666666666,75,75,0,18,0,7
0,E_933,1,oracle,2.333,83,-0.7099018412605611,-0.16135616264580932,0.18519905920215732,0.16618266039327417,0.24540434107934841,0.16435716114413376,0.18767965508312331,0.15520987556979482,0.15520987556979482,0.15520987556979482,111000.0,110.0,0.7951807228915663,0.20481927710843373,83,83,0,11,0,6
0,E_933,2,oracle,2.333,85,-0.7959522547911222,-0.151125628749744,0.15957043383245995,0.12908638037290518,0.12750608760709686,0.14727818416673963,0.166393150158686,0.15520987556979482,0.15520987556979482,0.15520987556979482,171000.0,170.0,0.8235294117647058,0.17647058823529413,85,85,0,12,0,3
0,E_933,3,oracle,2.333,84,-0.8694185239597755,-0.16117325797764262,0.15638903861105088,0.15459462442351302,0.12391968729632884,0.15468007853879345,0.1616873890896607,0.15520987556979482,0.15520987556979482,0.15520987556979482,141000.0,140.0,0.7380952380952381,0.2619047619047619,84,84,0,11,0,5
0,E_933,4,oracle,2.333,84,-1.1991527957357335,-0.20480043576815243,0.14587411544241713,0.13103354953960533,0.10436125532319254,0.15728796220216568,0.1890792674578674,0.15520987556979482,0.15520987556979482,0.15520987556979482,121000.0,120.0,0.75,0.25,84,84,0,9,0,7
0,E_933,5,oracle,2.333,85,-0.5441528845373309,-0.12412491258711356,0.18573849545984455,0.16440390482801356,0.17587405443785256,0.13943242528957375,0.17005371862858887,0.15520987556979482,0.15520987556979482,0.15520987556979482,161000.0,160.0,0.6588235294117647,0.3411764705882353,85,85,0,7,0,8
0,E_933,6,oracle,2.333,86,-0.668121744405306,-0.11591342744872038,0.14784212699873805,0.1463890091345897,0.18275286122630327,0.15407870274237206,0.15604803490175154,0.15520987556979482,0.15520987556979482,0.15520987556979482,141000.0,140.0,0.6744186046511628,0.32558139534883723,86,86,0,7,0,7
0,E_933,7,oracle,2.333,85,-0.5603547012917585,-0.07073011158717174,0.11207703012929403,0.10894880477483235,0.18741599052271785,0.14896851219204088,0.11330940748877061,0.15520987556979482,0.15520987556979482,0.15520987556979482,141000.0,140.0,0.6352941176470588,0.36470588235294116,85,85,0,11,0,4
0,E_933,8,oracle,2.333,89,-0.526095968420627,-0.07804440132291113,0.1291825629133864,0.11661663480576295,0.15543242214146075,0.1484546878841441,0.1374156349508797,0.15520987556979482,0.15520987556979482,0.15520987556979482,121000.0,120.0,0.7528089887640449,0.24719101123595505,89,89,0,6,0,5
0,E_933,9,oracle,2.333,85,-0.38197387294379403,-0.11605311646625793,0.2330257575071002,0.14714648159022525,0.17241270735494788,0.1704676746596666,0.2368856172161586,0.15520987556979482,0.15520987556979482,0.15520987556979482,131000.0,130.0,0.6235294117647059,0.3764705882352941,85,85,0,10,0,5
0,E_off,0,raw,nan,71,-1.0732740819080515,-0.14323223754729408,0.1177406440530634,0.10458624425629581,0.10113522971199723,0.08894945717599342,0.17877598995908717,0.09940828402366864,0.10041661450322475,0.09940828402366864,161000.0,160.0,0.8028169014084507,0.19718309859154928,71,71,0,23,0,6
0,E_off,1,raw,nan,84,-0.691460397669506,-0.11822162134126524,0.14600993793304498,0.11997378967578097,0.1075455123835172,0.13391433211456039,0.1497494571350836,0.12903225806451613,0.13293872659966616,0.12903225806451613,141000.0,140.0,0.7857142857142857,0.21428571428571427,84,84,1,12,0,3
0,E_off,2,raw,nan,83,-0.9478608783724063,-0.13523140343337348,0.12485676955236875,0.09705111898407753,0.09785085994590449,0.10985825773818156,0.13095047537466412,0.10101010101010101,0.10441139662441463,0.10101010101010101,201000.0,200.0,0.8554216867469879,0.14457831325301204,83,83,0,15,0,2
0,E_off,3,raw,nan,79,-0.9874766192144797,-0.09591474318366644,0.08853194377639664,0.08806409742764183,0.0927075033682877,0.11301071721883894,0.11138397659729625,0.1111111111111111,0.11170372145981902,0.1111111111111111,141000.0,140.0,0.7721518987341772,0.22784810126582278,79,79,0,14,0,7
0,E_off,4,raw,nan,79,-0.984886803306166,-0.13494479335232157,0.12050454171411934,0.08008717581790396,0.09829251693770663,0.10345497385579577,0.1318429792159311,0.09389671361502347,0.09907520703879205,0.09389671361502347,151000.0,150.0,0.7215189873417721,0.27848101265822783,79,79,0,12,0,9
0,E_off,5,raw,nan,81,-0.6376522952837309,-0.13357898229504506,0.17320223670700502,0.13302930497516885,0.166178002404836,0.14926612320466603,0.15994114697499792,0.13559322033898305,0.14119093917243625,0.13559322033898305,161000.0,160.0,0.7283950617283951,0.2716049382716049,81,81,0,7,0,12
