arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.9290972222,1,1,0,0,-13.23210526,51.57452011,-26.28747749,0.4457500875,76.71619321,0,0,-82.75714111,65.19499207,-165.4376068,0.1464999616,75.52046874,18.89086342,2.260803461,0.9586980343,900,900,1200900,300,400,1200,1,1200
LR,std,1,1,0.001,1,none,0.9363194444,1,1,0,0,-13.65017414,54.16993332,-31.83959961,0.4517500997,76.0937762,0,0,-89.30227661,67.97190094,-184.6383057,0.1577499509,75.28491186,19.31797028,2.364788055,1.001895666,900,900,1200900,300,400,1200,1,1200
LR,std,2,2,0.001,1,none,0.9361111111,1,1,0,0,-15.03636456,50.80966568,-32.34804153,0.4337501228,75.86601312,0,0,-74.41760254,60.30567932,-149.079834,0.1562499553,75.25056839,19.23806763,2.247088194,1.025740504,900,800,1200900,300,300,1200,1,1200
LR,std,3,3,0.001,1,none,0.9375694444,1,1,0,0,-14.45333195,50.51044464,-25.70865822,0.4435001314,76.77488641,0,0,-79.26892853,67.33177948,-145.1603699,0.1562499702,75.46020412,19.35050392,2.399643183,1.190766573,900,800,1200900,300,300,1200,1,1193
LR,std,4,4,0.001,1,none,0.9372222222,1,1,0,0,-11.2807579,49.86374664,-25.02250481,0.4615000486,75.24445744,0,0,-83.30665588,63.73258972,-141.3230743,0.1502499729,74.55884417,18.79325294,2.312793493,1.063364983,900,900,1200900,300,400,1200,1,1200
LR,std,5,5,0.001,1,none,0.9353472222,1,1,0,0,-12.15318871,52.40608597,-27.87509537,0.4532500803,74.8507746,0,0,-79.49402618,62.81295013,-147.7010956,0.155499965,76.12982129,19.20726585,2.284488916,1.124512434,900,800,1200900,300,300,1200,1,1200
LR,std,6,6,0.001,1,none,0.9339583333,1,1,0,0,-11.70399761,52.39450455,-21.27856255,0.463750124,77.11040944,0,0,-88.79910278,63.15500641,-156.6560211,0.1442499608,72.63166737,19.30677032,2.287682772,1.034174919,900,900,1200900,300,400,1200,1,1200
LR,std,7,7,0.001,1,none,0.9405555556,1,1,0,0,-12.68456936,51.46372223,-30.14732742,0.4465000927,78.11868451,0,0,-76.66981506,65.86165619,-140.7401886,0.1682499498,75.25376807,19.5758152,2.337080002,1.086584568,900,800,1200900,200,300,1200,1,1200
LR,std,8,8,0.001,1,none,0.9402777778,1,1,0,0,-15.04912472,55.53839874,-26.54457474,0.4502501488,77.80454547,0,0,-80.46492767,66.09742737,-154.5509949,0.157749936,75.7738053,19.64897346,2.297032356,1.133944511,900,900,1200900,300,400,1200,1,1200
LR,std,9,9,0.001,1,none,0.9431944444,1,1,0,0,-11.28602123,53.59430313,-31.43283653,0.4592501521,76.2962574,0,0,-83.27591705,69.64406586,-155.835144,0.1479999572,74.37427719,19.27698708,2.340018511,1.1548841,900,900,1200900,300,400,1200,1,1200
