2026-09-17T17:19:46+09:00 launch: git c1940966ce9114a527f48621e9a70bfe4dd75d2e  slots 4  need 1626 MiB/job  avail 11 GiB
2026-09-17T17:19:46+09:00 start s0  avail 12255 MiB
2026-09-17T17:20:11+09:00 start s1  avail 11726 MiB
2026-09-17T17:20:36+09:00 start s2  avail 11113 MiB
2026-09-17T17:21:01+09:00 start s3  avail 10335 MiB
2026-09-17T17:28:29+09:00 done  s0
2026-09-17T17:28:29+09:00 start s4  avail 10455 MiB
2026-09-17T17:29:07+09:00 done  s1
2026-09-17T17:29:07+09:00 start s5  avail 10582 MiB
2026-09-17T17:29:20+09:00 done  s2
2026-09-17T17:29:32+09:00 start s6  avail 10612 MiB
2026-09-17T17:29:48+09:00 done  s3
2026-09-17T17:29:57+09:00 start s7  avail 10553 MiB
2026-09-17T17:37:16+09:00 done  s4
2026-09-17T17:37:16+09:00 start s8  avail 10485 MiB
2026-09-17T17:38:07+09:00 done  s5
2026-09-17T17:38:07+09:00 start s9  avail 10472 MiB
2026-09-17T17:38:30+09:00 done  s6
2026-09-17T17:38:54+09:00 done  s7
2026-09-17T17:44:53+09:00 done  s8
2026-09-17T17:45:35+09:00 done  s9
2026-09-17T17:45:35+09:00 all jobs returned
