hidden,seed,tasks,late_train_acc,late_task_start_acc,late_B,late_supply,late_negc,late_loglog,late_halves,P1,P2,late_dV,late_rho,late_c,V_t50,V_t50_per_h,w1_sq_t50,read_share,read_f1,unread_f1,read_f10,unread_f10,f0_s20_39,f1_s20_39,f2_s20_39,f3_s20_39,f4_s20_39,f5_s20_39,f6_s20_39,f7_s20_39,f8_s20_39,f9_s20_39,f10_s20_39,f0_s20_29,f1_s20_29,f2_s20_29,f3_s20_29,f4_s20_29,f5_s20_29,f6_s20_29,f7_s20_29,f8_s20_29,f9_s20_29,f10_s20_29,f11_s20_29,f12_s20_29,f13_s20_29,f14_s20_29,f15_s20_29,f16_s20_29,f17_s20_29,f18_s20_29,f19_s20_29,f20_s20_29
8,200,50,0.3583333333333333,0.10166666666666667,0.976938731719389,4.610410455344083,1.0,0.6642326098773064,1.1239195984903025,True,False,11.936119904497172,0.6665073379497602,-0.3332553717551174,1152.0943406417282,144.01179258021602,120015.42221173045,1.0,0.6750719234557,,0.5244646519913594,,1.0,0.6750719234557,0.5979458502314978,0.5604172810706902,0.5462127641742057,0.5365399521630821,0.5250090883551463,0.5063007506614683,0.5092746083131029,0.5083040815768223,0.5244646519913594,1.0,0.6340712342916625,0.5850576672982705,0.5627521413675783,0.5434173476646167,0.5366861768685613,0.5097258787235417,0.49403700624396407,0.49725308965913373,0.49768256205799705,0.5181177529093717,0.48773477089482425,0.4853669882658749,0.49454958106762453,0.49172969392730675,0.5094452283189871,0.49832047339337987,0.5000262508585509,0.49772751640160956,0.4837439986440626,0.5036060884459465
8,201,50,0.34875,0.10125,0.9073936257046049,3.5038426209564877,1.0,1.8676207595845296,1.1857466467657478,True,False,56.40417000275156,0.5725046958456638,-0.24208863098986838,1905.1999855136737,238.1499981892092,111655.97804346068,1.0,0.6421101390006307,,0.49808461409476984,,1.0,0.6421101390006309,0.5969478361720086,0.5665970951915164,0.5460364694058961,0.5331952781397414,0.529043386651008,0.5025325461394771,0.5055558631008144,0.5114538004949731,0.49808461409477,1.0,0.6109039489553642,0.5879311573817875,0.559946510176264,0.5448082556715164,0.5357442984192314,0.5191246245349808,0.5006911962364697,0.5211909774511789,0.5155628891965846,0.4975614501415305,0.5167254536948038,0.4884495535068396,0.5364762859331609,0.5075961248335721,0.5011980739816865,0.490665778883027,0.479332275664994,0.5028043319867055,0.49305657195817265,0.4820555516756621
8,202,50,0.3554166666666667,0.1,0.9300557345570107,3.883801091065657,1.0,1.25967526024098,1.1757454657438557,True,False,39.723060905350465,0.6319114452274326,-0.290200306041909,1703.9713511993405,212.99641889991756,100021.88871712434,1.0,0.6653212801890144,,0.49532122316527405,,1.0,0.6653212801890144,0.588578240499528,0.5601188809464123,0.5455163070292627,0.5338696884563936,0.5272898897580509,0.5178420831313814,0.5043306075439429,0.49656512664680263,0.49532122316527394,1.0,0.6413237814657025,0.5801420371770869,0.5622793636985626,0.5361908533002893,0.5254424442930787,0.5222947520748831,0.5077117894335946,0.48769892830076156,0.4940197686283064,0.5065395053710213,0.5027535244426065,0.4834040836073948,0.4963129663821687,0.5312181702223976,0.49604849895465275,0.5026519204471618,0.4957661548700688,0.49460978577504183,0.5079941265402856,0.48123226784275686
8,203,50,0.39958333333333335,0.095,0.9551593390171315,5.5960735488046955,1.0,2.051101957989146,1.2690529119366158,True,False,24.13515537025727,0.7514491244704495,-0.35832644566109867,1081.0503915636564,135.13129894545705,106108.18081960623,1.0,0.6399591028052946,,0.5131988711154947,,1.0,0.6399591028052947,0.5776261487412718,0.5497944108913739,0.5253759702625737,0.5159552651231105,0.517252419261144,0.531533002055347,0.5021633073636214,0.49471946268874223,0.5131988711154947,1.0,0.6195564492015249,0.5812864528292592,0.5357780616986045,0.5210215893630045,0.5322454921791137,0.5099238693564521,0.5184882775156066,0.5096847622219902,0.4998732807845017,0.49529160174391124,0.5024233882390265,0.48702569822780883,0.4912140790839171,0.4697751854023121,0.5303852624041261,0.4888631308693766,0.5042536045376951,0.4942602908392134,0.488316167037651,0.47661473190607256
8,204,50,0.365,0.10375000000000001,0.9032951131607952,3.2402793869174626,1.0,2.2074294079344114,1.3048948441305102,True,False,46.988823372824115,0.5696548515932046,-0.27688558658923135,1687.2328575840127,210.90410719800158,105793.13471427307,1.0,0.6695768858086171,,0.5171745698055459,,1.0,0.6695768858086172,0.5827666429724481,0.5551199528732106,0.5413885889453476,0.5406911044925248,0.535450278971578,0.5290579860245332,0.5314970634880458,0.5126377915358835,0.517174569805546,1.0,0.655465925444326,0.5787993495374815,0.5659537099914227,0.5280505245724743,0.5183224794791244,0.5129763656166337,0.5001928510065026,0.5156401570737962,0.5143353195474567,0.5242684295950829,0.5092688570134363,0.5113041324168391,0.5176647291585058,0.5251635300692611,0.5429603593278234,0.5172139796440034,0.5160113951505176,0.5358167831644283,0.5013186344195377,0.4915980211732249
16,200,50,0.5879166666666666,0.09666666666666668,0.9209660182282926,3.8048980061879094,1.0,1.0894836689565621,1.1101922804276143,True,False,56.873648668085636,0.6185721507741813,-0.2910028274384897,2175.8272311320707,135.98920194575442,205402.24269398555,0.8022431289720483,0.6296380753532264,0.7814509930189459,0.5217664901146533,0.4660897786073729,1.0,0.6603557386654136,0.6204173984407276,0.5865888201735737,0.565962854498583,0.5564380655863992,0.5490260278668011,0.5456246217509271,0.5282045614343062,0.5254387800801541,0.5111138553310216,1.0,0.6266032099612834,0.6091185091861883,0.5757150090041309,0.551933058312637,0.5496505086719291,0.5392133156962897,0.5449322895040873,0.5269695156239624,0.5229757300646928,0.5060344113462588,0.512166099502498,0.5104694879790758,0.47661481013115886,0.4962160920981824,0.49121446738160374,0.48574374981054336,0.5013220682156982,0.5119340145397686,0.488378887388566,0.47611286591838214
16,201,50,0.58375,0.09541666666666668,0.9082598916583077,4.01489369676618,1.0,1.1547129565830618,1.0889049994136781,True,False,76.33547872843083,0.6233993332449577,-0.2737292712862913,2458.5255943798397,153.65784964873998,216864.91851542046,0.7970065270150152,0.6587142404696099,0.7885799454626761,0.5235197278198289,0.4901962450846108,1.0,0.6848804834913538,0.6205099399539182,0.5941917817764896,0.5674247421337653,0.5521425554670066,0.5439253507462152,0.5373119937255718,0.538652818765214,0.5226973103892224,0.5161211962079237,1.0,0.6650877843950237,0.6192219161601956,0.5844398080549851,0.569632440907992,0.5613420516117268,0.5346290958245846,0.5290687900541597,0.5265407093004008,0.5131331509802037,0.4971413075840566,0.5007529485509483,0.5072173765293534,0.5031046326113748,0.4796227811523748,0.47494521757972163,0.4844433381823368,0.48654039508540325,0.5023382368090683,0.49431774763727104,0.4771883476522517
16,202,50,0.5870833333333334,0.10375000000000001,0.94769973663715,3.9434376067471435,1.0,0.23722799902124803,1.0331698718474176,True,False,42.39713300602921,0.6205319646273832,-0.27584236784825644,2411.852953589112,150.7408095993195,237545.30703489168,0.802752057359281,0.6320870554390325,0.8494814944228273,0.5146982740977515,0.46235799819031903,1.0,0.6743868976188112,0.6200794391186913,0.5948488998212779,0.5790312197758507,0.5507108887517178,0.5530896028747139,0.5366845022279582,0.5259807283245149,0.5166280211780125,0.5050556180467274,1.0,0.6521140511467396,0.5911976881165775,0.5718726988997604,0.5739742324913131,0.5404680889615181,0.5392595741974897,0.5334529190593101,0.5257913205465693,0.5144510239578789,0.49323954397209324,0.5238878301059681,0.49845474154190833,0.4999337079620469,0.5005733141012045,0.48691949215507335,0.5041568051745227,0.49703450659486437,0.4662411210326985,0.4740526672615258,0.5031844269762981
16,203,50,0.5979166666666667,0.09791666666666668,0.9456988783155944,3.9007411704269424,1.0,0.7524252298512748,1.074056616250744,True,False,37.59813380296855,0.6254153711246007,-0.29109973501991215,2048.3626721453065,128.02266700908166,207315.5934941235,0.7940093125283236,0.6536501665338762,0.8131464195934678,0.5280955916689902,0.4756522000870366,1.0,0.6863937939160457,0.6336399905873172,0.5994406370811237,0.5861328896726764,0.561449600109385,0.546391918316701,0.5410250027580672,0.5242658029690216,0.5238504770692478,0.5177776787663422,1.0,0.6684952242141372,0.6270486857682313,0.5902923272496956,0.5796584933280495,0.5568744610506026,0.5371319563363357,0.5387784684156439,0.5181635120638722,0.5272449573183697,0.5337362970775386,0.523040447024274,0.5190720017781619,0.5108008554539455,0.4984706200975345,0.5065949304076114,0.5160444809285811,0.5079867409658136,0.47775447397236415,0.5037233403018337,0.4857563269494737
16,204,50,0.5879166666666666,0.10416666666666666,0.9668375133600672,3.9998205961652586,1.0,0.6149112196354228,1.082232169627918,True,False,23.91170986979423,0.6425023051740628,-0.30467739201231364,1914.479002996531,119.6549376872832,187441.48166201072,0.8034418217432965,0.6416972645374407,0.8329275227680801,0.5302597195108242,0.4541759186238603,1.0,0.6791913552587336,0.6211957009231031,0.5951837669388438,0.57929566528434,0.5517208468738986,0.5533170932287137,0.5428495718503034,0.5397291919422098,0.5250220515574545,0.5130074648241216,1.0,0.6800572980486957,0.6131492279684216,0.5911732503542464,0.5845974095190531,0.5567616804674926,0.5569000541634243,0.5565090033553421,0.5452229512963312,0.5231038833126259,0.5145577896456903,0.5233758096790335,0.5161200126920547,0.5050662464868191,0.49864525172633273,0.5060064653185637,0.5182395660369757,0.5065434490809351,0.5148899742469576,0.49833132910666755,0.4838489976945942
