hidden,seed,task,V,V_next,Q,X,c,rho,w1_sq,train_acc,task_start_acc
8,200,1,0.17966311248819278,20.724174333976634,20.82295999415434,-0.13922438633294915,-0.07198046043501495,10.765687588772696,2.6808499180717975,0.9566666666666667,0.10416666666666667
8,200,2,20.724174333976634,50.69804379957574,50.750211177411,-10.388170855905948,-0.3203181433925442,1.5648773635529643,1957.468345092307,0.6916666666666667,0.09833333333333333
8,200,3,50.69804379957574,90.46578647281444,63.17542503239613,-11.703841179578717,-0.20680390372896076,1.1162937292101995,3671.345569055544,0.5991666666666666,0.08
8,200,4,90.46578647281444,174.07310876288744,84.26630494319762,-0.32949132656232116,-0.0037737648060823434,0.9651277296159537,5699.857984687285,0.6116666666666667,0.11416666666666667
8,200,5,174.07310876288744,268.18948724102387,114.72714179372116,-10.305381657792362,-0.07292310473322816,0.8118340159135534,8160.18788705537,0.6058333333333333,0.09833333333333333
8,200,6,268.18948724102387,302.124222480186,109.33709548247134,-37.7011801216546,-0.22016602593679044,0.6385029254301934,10549.814877020308,0.5916666666666667,0.105
8,200,7,302.124222480186,372.1300533799522,115.65566681918808,-22.82491795971096,-0.12210487233401243,0.6187150576659016,13078.646365487786,0.5866666666666667,0.0975
8,200,8,372.1300533799522,323.44452043565263,135.8971809946801,-92.29135696948981,-0.4104010232284485,0.6043073150665225,14927.663614197792,0.5958333333333333,0.10833333333333334
8,200,9,323.44452043565263,377.7068183692855,136.30843318922246,-41.02306762779481,-0.19537404629829758,0.6491745175759568,16832.1697736847,0.6,0.1025
8,200,10,377.7068183692855,415.2000549029964,150.86061672603725,-56.683690096163154,-0.23746125742099566,0.6319904664339513,17883.24061694964,0.5566666666666666,0.09083333333333334
8,200,11,415.2000549029964,410.8406420398708,148.04662036542317,-76.20301661427442,-0.3073577822910831,0.5971322781292971,19980.930902901127,0.5841666666666666,0.10666666666666667
8,200,12,410.8406420398708,432.3917525133137,160.98536480212704,-69.71712716434203,-0.27108755785976185,0.625974293124523,22528.866259131963,0.5683333333333334,0.0975
8,200,13,432.3917525133137,449.52631203511913,164.52846487645542,-73.69695267732502,-0.27630599434165876,0.6168531999448985,24314.98330876322,0.5641666666666667,0.09416666666666666
8,200,14,449.52631203511913,486.2022809885444,181.0107920964518,-72.16741157151327,-0.2529946490063075,0.6345628977896188,27721.667959035036,0.5591666666666667,0.10083333333333333
8,200,15,486.2022809885444,492.96265037072413,183.31124940839322,-88.27544001310673,-0.2956901354843486,0.6140250126799157,28373.758968704722,0.5541666666666667,0.09833333333333333
8,200,16,492.96265037072413,495.18847304551866,210.6449875330866,-104.20958242914608,-0.3233888806424331,0.6536850560511582,29451.349857508172,0.5466666666666666,0.09166666666666666
8,200,17,495.18847304551866,474.6878985017876,214.92061695194815,-117.7105957478396,-0.36082054246434986,0.658800281339991,32836.95843523239,0.5083333333333333,0.10083333333333333
8,200,18,474.6878985017876,462.52397180044755,227.19044027327973,-119.67718348730986,-0.3644284326369946,0.6918165488719018,34336.92437371513,0.52,0.09916666666666667
8,200,19,462.52397180044755,493.2543717897671,237.69045448343587,-103.48002724705813,-0.3120926498824848,0.7168672618765335,36250.28674675104,0.47333333333333333,0.10166666666666667
8,200,20,493.2543717897671,505.39556069409383,254.25711820580457,-121.0579646507389,-0.34183878492584063,0.7179613881414088,38860.82953917529,0.5025,0.09166666666666666
8,200,21,505.39556069409383,520.6710555600995,238.17540868596927,-111.4499569099818,-0.32122973093402624,0.6864876808260415,42692.647999473425,0.5016666666666667,0.11
8,200,22,520.6710555600995,568.6995295593786,225.41284457464445,-88.69218528768266,-0.2588894232594881,0.6579723020458129,45868.417687330744,0.4583333333333333,0.09666666666666666
8,200,23,568.6995295593786,605.9553233658789,244.31143126220763,-103.52781872785363,-0.2777433921144467,0.6554362536071162,45854.7832809775,0.465,0.10333333333333333
8,200,24,605.9553233658789,631.4753163629927,328.92403678833546,-151.70202189561087,-0.33979991098993706,0.7367624836275233,50518.583607813256,0.4716666666666667,0.07833333333333334
8,200,25,631.4753163629927,631.9020581592206,287.9887599217826,-143.78100906277731,-0.33715963012430367,0.6753199494711456,53057.591816037086,0.4675,0.08916666666666667
