arm,c,c_out,c_times_sum_v,death_rate,divergence_over_3,dropped,dzbar,dzbar_all,dzbar_all_ci,dzbar_ci,dzmax,dzmax_all,dzmax_all_ci,dzmax_ci,family,half_med,judgment,label,label_all_units,ladder,lin_rate,lr,lr_used,mob_med,n_alive,n_dropped,n_pairs,n_seeds,not_determined,note,reasons,ref,require_monotone,restore_n,restore_stiffness,restore_zstar,role,section,settle_dzbar,settle_zbar,sign_agreement,sum_v,tail_window,unsettled,v_abs_med,w_med,within_bands,zbar_ci,zbar_med,zmax_ci,zmax_med
LRoff0_1216,0.0,-0.1602729894220829,0.0,0.0,,[],,,,,,,,,leaky,3.7858865179633723,,—,,A,0.015,0.01,0.01,0.12306250050663947,1000,,,10,,,,,,2925500,0.042091171902334495,-3.4707018637025433,,arm,,"[-3.444923200309277, -3.554984809756279, -3.598287113904953]",,1.6644716239534318,"[451, 500]",,0.604347857600078,4.0349378848075865,,"[-3.632606700658798, -3.566051449626684]",-3.598287113904953,"[0.06205279021756724, 0.1549906165207503]",0.11207810412568506
LRoffm2_1216,-2.0,,,,,[],,,,,,,,,leaky,,,NOT_RUN,,A,,0.01,,,,,,0,,,,,,,,,,arm,,,,,,,,,,,,,
LRoffm0p5_1216,-0.5,0.02648942545056343,0.27551720102201216,0.10199999999999998,,[],,,,,,,,,leaky,2.7318449517339465,,—,,A,0.13,0.01,0.01,0.17256250061094763,898,,,10,,,,,,2601696,0.07794211796453947,-2.0995478740108955,,arm,,"[-2.052055787742138, -2.0888762588798997, -2.0933349258452654]",,-0.5510344020440243,"[451, 500]",,0.4470549303028383,2.931942179203033,,"[-2.183264420032501, -2.004131326675415]",-2.0933349258452654,"[0.5638981958758086, 0.6590686893454404]",0.6155387759953737
LRoffp0p5_1216,0.5,0.03134831786155701,0.22257472267665435,0.015000000000000013,,[],,,,,,,,,leaky,1.0527074050903322,,—,,A,0.467,0.01,0.01,0.10000000149011612,985,,,10,,,,,,2294841,0.1520009907846376,-4.994491799893785,,arm,,"[-4.951843938827515, -4.958226351737976, -5.014625043869018]",,0.4451494453533087,"[451, 500]",,0.058370404946617785,2.1379534292221067,,"[-5.04257173538208, -4.972743310928345]",-5.014625043869018,"[-3.990149931907654, -3.8759729769229887]",-3.9418487548828125
LRoffp2_1216,2.0,,,,,[],,,,,,,,,leaky,,,NOT_RUN,,A,,0.01,,,,,,0,,,,,,,,,,arm,,,,,,,,,,,,,
Eoffm1_1216,-1.0,-0.1338538071140647,-0.40329514135373756,0.8160000000000001,,[],,,,,,,,,elu,7.229002492800355,,—,,A,0.854,0.01,0.01,0.19651561529644823,184,,,10,,,,,,1099268,0.03785283656624455,-7.399611096490927,,arm,,"[-4.756523122899234, -5.495286133885384, -5.434768332522363]",,0.40329514135373756,"[451, 500]",,0.19644013231620194,8.159611797332765,,"[-6.530210423320532, -4.198993527889252]",-5.434768332522363,"[1.5128201341629028, 2.1128818069398405]",1.6244511505961419
Eoffp1_1216,1.0,-0.32561851665377617,2.283509421045892,0.0020000000000000018,,[],,,,,,,,,elu,6.610198488384485,,—,,A,0.015,0.01,0.01,0.007335893426679832,998,,,10,,,,,,2916889,0.03867549785347448,-10.422495537618191,,arm,,"[-8.558169679641724, -9.350258159637452, -9.79936240196228]",,2.283509421045892,"[451, 500]",,1.0252470254898072,7.5053023958206175,,"[-10.268929748803377, -9.224440357208252]",-9.79936240196228,"[-3.4673992306403814, -3.043310465812683]",-3.2701455181464554
LRoff0_lr0p00125_1216,0.0,-0.3665167950093746,0.0,0.0,,[],,,,,,,,,leaky,3.9556482696859163,,—,,B,0.002,0.00125,0.00125,0.10168750122189522,1000,,,10,,,,,,23967336,0.05788186882728053,-4.727632050431646,,arm,,"[-4.637671315670014, -4.775257625579834, -4.888398895263672]",,1.26677605509758,"[3951, 4000]",,1.2678113633394241,4.415212349891663,,"[-5.001381779432297, -4.760807837545872]",-4.888398895263672,"[-1.0169974638664863, -0.8758735705539584]",-0.9390411658585072
LRoffm2_lr0p00125_1216,-2.0,-0.1981317698955536,1.588293167995289,0.18200000000000005,,[],,,,,,,,,leaky,3.16377077891957,,—,,B,0.337,0.00125,0.00125,0.25103125162422657,818,,,10,,,,,,18231161,0.04366515141886673,-3.9274902467443478,,arm,,"[-2.172261668741703, -2.336422519683838, -2.389669801350683]",,-0.7941465839976445,"[3951, 4000]",,0.9606549739837646,3.598618621826172,,"[-2.8241978546977045, -1.601856213878378]",-2.389669801350683,"[1.1888257981091739, 2.3889155769348145]",1.902100615540985
LRoffp2_lr0p00125_1216,2.0,-0.8990980386734009,0.48065244304962107,0.0,,[],,,,,,,,,leaky,3.143525686264039,,—,,B,0.174,0.00125,0.00125,0.10000000149011612,1000,,,10,,,,,,20312256,0.08006177174961052,-19.288322447345266,,arm,,"[-19.30149425506592, -19.483851051330568, -19.645687446594238]",,0.24032622152481053,"[3951, 4000]",,0.15118684052897152,7.248441772460938,,"[-19.828045539855957, -19.520225653648378]",-19.645687446594238,"[-16.665710531949994, -16.38819987988472]",-16.533050308227537
LRoffm2_1216,-2.0,,,,,,,,,,,,,,,,,NOT_RUN,,A,,,,,,,,,,腕が発散（NUMERIC_DIVERGENCE）または logs が無い。「効果が無かった」ではない,,LRoff0_1216,,,,,,delta,,,,,,,,,,,,,
LRoffm0p5_1216,-0.5,,,,False,,1.5023602061718704,1.59519470626954,"[1.5426138201355934, 1.6778723418712618]","[1.4366898461058737, 1.5683291424810888]",0.46911148119776047,0.4568518929067068,"[0.4375828884728253, 0.4701447239378468]","[0.4429304912500083, 0.4845405330369249]",,,,—,,A,,0.01,,,,0,898,10,,,,LRoff0_1216,,,,,,delta,"[1.4015577801316976, 1.4523383822292089, 1.5023602061718704]",,,,,False,,,False,,,,
LRoffp0p5_1216,0.5,,,,False,,-1.429712913036346,-1.4278990322351457,"[-1.4653861471861602, -1.3799447317421434]","[-1.4668382222652434, -1.3804219151139263]",-3.985166839882732,-4.000310497605241,"[-4.043272847570479, -3.9356671917065977]","[-4.037768239406868, -3.9339866966567936]",,,,—,,A,,0.01,,,,0,985,10,,,,LRoff0_1216,,,,,,delta,"[-1.5245197105407717, -1.4209227967262268, -1.429712913036346]",,,,,False,,,False,,,,
LRoffp2_1216,2.0,,,,,,,,,,,,,,,,,NOT_RUN,,A,,,,,,,,,,腕が発散（NUMERIC_DIVERGENCE）または logs が無い。「効果が無かった」ではない,,LRoff0_1216,,,,,,delta,,,,,,,,,,,,,
ladder A,,,,,,,,,,,,,,,,,spec §4,NOT_DETERMINED,NOT_DETERMINED,A,,0.01,,,,,,,True,,"{""divergence"": [], ""unsettled"": [], ""missing"": [""LRoffm2_1216"", ""LRoffp2_1216""]}",LRoff0_1216,True,,,,confirmatory,verdict,,,,,"[451, 500]",,,,,,,,
LRoffm2_lr0p00125_1216,-2.0,,,,False,,2.7880733388662335,5.163027565926313,"[4.636847329810262, 5.672633363232016]","[2.22318122446537, 3.4202834290266035]",2.251075129518285,2.7729463818797377,"[2.5790322135947643, 2.902644903315231]","[1.948534975554794, 2.5661373340990394]",,,,—,,B,,0.00125,,,,0,818,10,,,,LRoff0_lr0p00125_1216,,,,,,delta,"[2.8101689260452987, 2.533108972907066, 2.7880733388662335]",,,,,False,,,False,,,,
LRoffp2_lr0p00125_1216,2.0,,,,False,,-14.749880738258362,-14.749880738258362,"[-14.964550428390503, -14.535634905695915]","[-14.96458477973938, -14.519987511634827]",-15.615842505916952,-15.615842505916952,"[-15.76393753358419, -15.450641377159394]","[-15.765302780097583, -15.461055504209362]",,,,—,,B,,0.00125,,,,0,1000,10,,,,LRoff0_lr0p00125_1216,,,,,,delta,"[-14.6776722407341, -14.72775398492813, -14.749880738258362]",,,,,False,,,False,,,,
ladder B,,,,,,,,,,,,,,,,,追補 1 §4,OFFSET_SIGNED_B,OFFSET_SIGNED_B,B,,0.00125,,,,,,,False,,"{""divergence"": [], ""unsettled"": [], ""missing"": []}",LRoff0_lr0p00125_1216,False,,,,confirmatory,verdict,,,,,"[3951, 4000]",,,,,,,,
ladder A vs B,,,,,,,,,,,,,,,,,,REPORT_ONLY,,,,,,,,,,,,lr が違うので**水準は比較しない**。持ち出してよいのは向き（符号）まで（追補 1 §9-2）,,,,,,,report,cross,,,"{""A(+0.5) vs B(+2)"": {""sign_A"": -1.0, ""sign_B"": -1.0, ""agree"": true}, ""A(-0.5) vs B(-2)"": {""sign_A"": 1.0, ""sign_B"": 1.0, ""agree"": true}}",,,,,,,,,,
Eoffp1_1216 − Eoffm1_1216,,,,,,,-4.607479821443557,,,"[-5.775436869859696, -3.5498986101150507]",-4.875601714476943,,,"[-5.293922354504465, -4.394473942518234]",,,,REPORT_ONLY,,A,,,,,,,184,,,ELU は φ′ も |φ| も非対称で 2 候補が同時に動くので判定に入れない（spec §8-3）。c=0 の ELU 腕はこの走に無い,,,,,,,report,elu,,,,,,,,,,,,,
