act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,l2init,0.001,0.001,4,1,0.9536083333,0.9308333397,0.9308333397,0.1400000006,0.1400000006,-0.4351353943,0.8405403495,-2.112357378,0.323333323,57.31173551,0,0,0.5387548208,0.4236043096,-0.6022422314,0.8874999881,39.1054317,1.447955847,1.093850732,2.849509716,0.2736220274,0.3908669481,0.2736220274,0.1413776123
R,l2init,0.001,0.001,4,2,0.9582291667,1,1,0.009999999776,0.009999999776,-0.2989525795,0.7507117391,-0.7955798507,0.3033333421,51.08993989,0,0,0.7632338405,0.3768465519,-0.4460152686,0.9841666818,29.07466095,1.251068473,1.067040086,2.898873091,0.2406704156,0.3524601474,0.2406704156,0.1212968547
R,l2init,0.001,0.001,4,3,0.9621979167,1,1,0.009999999776,0.009999999776,-0.3357232809,0.7458770275,-0.9378244877,0.3025000095,50.3750056,0.009999999776,0.009999999776,0.7444767356,0.3799230456,-0.5359076262,0.9825000167,29.30003633,1.281925082,1.034676433,2.875994205,0.2458779974,0.3569210472,0.2458779974,0.1234710568
R,l2init,0.001,0.001,4,4,0.9606520833,1,1,0.01999999955,0.01999999955,-0.3102342784,0.7464892864,-0.9298160672,0.3108333349,51.29216139,0,0,0.7127885818,0.3726358712,0.3353711963,0.9766666889,31.13251224,1.245397091,1.064650178,2.851274967,0.2420994518,0.3518046852,0.2420994518,0.1207636013
R,l2init,0.001,0.001,4,5,0.9566541667,1,1,0.02999999933,0.02999999933,-0.2774634957,0.7577030659,-0.971046865,0.3408333361,53.60635678,0,0,0.7142784595,0.3731526732,0.2901100814,0.9808333516,31.4543413,1.342513442,1.028350472,2.839845657,0.2462875815,0.3556859982,0.2462875815,0.1225938668
R,l2init,0.001,0.001,4,6,0.95925625,1,1,0.05000000075,0.05000000075,-0.3450937271,0.7849725485,-1.188429952,0.3000000119,49.69523465,0,0,0.70879668,0.3770434856,0.2234708965,0.978333354,30.61651801,1.313413501,1.050213933,2.897868395,0.255397612,0.3670556028,0.255397612,0.1292138972
R,l2init,0.001,0.001,4,7,0.9544104167,0.9983333349,0.9983333349,0.009999999776,0.009999999776,-0.3137492239,0.7784217,-0.8325103521,0.323333323,51.25882518,0.009999999776,0.009999999776,0.724339664,0.3833995461,-0.533088088,0.9800000191,30.73573201,1.322205901,1.035993338,2.86796093,0.2538618177,0.365243477,0.2538618177,0.1280010684
R,l2init,0.001,0.001,4,8,0.95655625,1,1,0.05999999866,0.05999999866,-0.3454340994,0.7834323645,-1.660874605,0.3083333373,47.84710945,0,0,0.7641953826,0.4004338384,-0.2561236322,0.9766666889,30.17014835,1.357817054,1.017591238,2.846429586,0.2586759653,0.367013055,0.2586759653,0.1286938436
R,l2init,0.001,0.001,4,9,0.9578791667,1,1,0.01999999955,0.01999999955,-0.2682363987,0.7138903737,-1.742483974,0.3408333361,53.96718704,0,0,0.6888713837,0.3669255674,-0.334145695,0.9833333492,30.7756346,1.280664444,1.024934173,2.874342918,0.2390366266,0.3500064475,0.2390366266,0.1197532382
R,l2init,0.001,0.001,4,10,0.9620354167,1,1,0.03999999911,0.03999999911,-0.3061549067,0.7481549978,-0.9200958014,0.301666677,51.97597532,0,0,0.7013096809,0.3728039265,-0.5274612308,0.9808333516,30.26929037,1.244549751,1.081642389,2.924515486,0.2419961302,0.353057832,0.2419961302,0.1218212833
R,l2init,0.001,0.001,4,11,0.9520791667,1,1,0.02999999933,0.02999999933,-0.2911859453,0.7778924704,-1.181652784,0.328333348,50.20346296,0,0,0.7183636427,0.3777078986,-0.4188377857,0.9766666889,31.18805252,1.345803976,1.01785183,2.849542856,0.2483790661,0.3574639993,0.2483790661,0.1235568297
R,l2init,0.001,0.001,4,12,0.9536416667,1,1,0.02999999933,0.02999999933,-0.2880328894,0.7009951472,-1.046277285,0.3249999881,51.54147965,0,0,0.7172697186,0.3740768731,0.2814553082,0.9816666842,30.17126605,1.284174204,1.062332749,2.870909214,0.2388261723,0.3498080409,0.2388261723,0.1197574469
