pred,scope,verdict,evidence
P1,late tasks 451-500 strict_dead_frac,BIAS_ROUTE_DECISIVE,"free 0.463940 -> frozen 0.000000; reduction 1.000000; frozen-free -0.463940 CI [-0.514620, -0.410039]"
P1-final,step 5M strict_dead_frac (supportive),REPORT_ONLY,"free 0.469000 -> frozen 0.000000; frozen-free -0.469000 CI [-0.515000, -0.420000]"
P2,late tasks 451-500 exact-support unfit,FROZEN_WORSE,"free 0.0039701 -> frozen 0.228112; frozen-free +0.224142 CI [+0.205488, +0.2455]"
