exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id
A,100,10000,centered,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s0
A,100,10000,centered,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s1
A,100,10000,centered,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s2
A,100,10000,centered,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s3
A,100,10000,centered,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s4
A,100,10000,centered,,1,0.01,1,5,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s5
A,100,10000,centered,,1,0.01,1,6,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s6
A,100,10000,centered,,1,0.01,1,7,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s7
A,100,10000,centered,,1,0.01,1,8,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s8
A,100,10000,centered,,1,0.01,1,9,none,{'name': 'none'},A_w100_T10000_centered_lr0.01_s9
