step,run_id,seed,arm,strict_dead,strict_dead_frac,eval_loss_exact,unfit,signal_var,residual_var,mu_norm,b_mean,b_min,b_max,b_maxabs
0,A_w100_T10000_centered_lr0.01_s0,0,frozen,31,0.31,1.185914538444736,1.0897841719816999,0.609375,0.6640872298013484,3.0413812651491097,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s1,1,frozen,15,0.15,8.218121549143195,0.8331874257917354,1.7724609374999993,1.4767921658320304,2.692582403567252,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s2,2,frozen,20,0.2,2.4115233622509558,1.1136954062415279,1.0000000000000002,1.113695406241528,2.692582403567252,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s3,3,frozen,20,0.2,2.4952795285354905,1.0114658679604691,0.80859375,0.8178649791711605,2.692582403567252,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s4,4,frozen,26,0.26,2.5963764774087488,1.0351972872859265,1.6865234374999996,1.7458844874441355,3.0413812651491097,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s5,5,frozen,17,0.17,1.49060258711039,0.9410505941488765,1.1708984375000002,1.1018746702973663,2.29128784747792,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s6,6,frozen,22,0.22,2.058082605706156,0.9678055853144371,2.12109375,2.052806378225544,3.0413812651491097,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s7,7,frozen,30,0.3,2.8224698964018193,0.8216678237447597,3.0273437499999996,2.4874709507897994,2.8722813232690143,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s8,8,frozen,21,0.21,3.6918023512631915,0.9686751938708185,1.5615234374999998,1.5126090185541392,3.2015621187164243,0.0,0.0,0.0,0.0
0,A_w100_T10000_centered_lr0.01_s9,9,frozen,20,0.2,2.050482166505752,1.040742169397301,1.7568359375000002,1.8284132448688912,2.692582403567252,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s0,0,frozen,0,0.0,0.039108417614339565,0.05684991210015372,0.609375,0.03464291518603117,0.06481298725201085,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s1,1,frozen,0,0.0,0.3331494028064802,0.1872420039867685,1.7724609374999993,0.3318791379257663,0.10977008817014274,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s2,2,frozen,0,0.0,0.0828794831726642,0.08202018359784682,1.0000000000000002,0.08202018359784684,0.08865381575832867,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s3,3,frozen,0,0.0,0.2241809953337996,0.266410274640338,0.80859375,0.2154176830099608,0.08248829031440265,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s4,4,frozen,0,0.0,0.09960007012731896,0.05892750219063774,1.6865234374999996,0.09938261355784311,0.05771494494138874,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s5,5,frozen,0,0.0,0.4255908622515764,0.3629958525464881,1.1708984375000002,0.42503127656566336,0.07150640231055509,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s6,6,frozen,0,0.0,0.1750625549335774,0.08111830678918693,2.12109375,0.17205953354112696,0.09795998048959521,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s7,7,frozen,0,0.0,0.6745973767458826,0.22278573680468675,3.0273437499999996,0.6744490079048133,0.09404321172618912,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s8,8,frozen,0,0.0,0.43623645066228484,0.27796700415069997,1.5615234374999998,0.4340519918329777,0.07063979995856412,0.0,0.0,0.0,0.0
10000,A_w100_T10000_centered_lr0.01_s9,9,frozen,0,0.0,0.8109770145124597,0.45777015879397437,1.7568359375000002,0.8042270660843359,0.07302360020601165,0.0,0.0,0.0,0.0
20000,A_w100_T10000_centered_lr0.01_s0,0,frozen,0,0.0,0.20024621889517977,0.3784401274227818,0.5273437499999998,0.1995680359456075,0.0528231656747268,0.0,0.0,0.0,0.0
20000,A_w100_T10000_centered_lr0.01_s1,1,frozen,0,0.0,0.37282131819669845,0.23843452878762597,1.5624999999999998,0.37255395123066554,0.03651209392983031,0.0,0.0,0.0,0.0
20000,A_w100_T10000_centered_lr0.01_s2,2,frozen,0,0.0,0.11151016425329109,0.1781272442652975,0.6210937499999999,0.1106337181178996,0.06302418360456333,0.0,0.0,0.0,0.0
20000,A_w100_T10000_centered_lr0.01_s3,3,frozen,0,0.0,0.4184307755079877,0.26511821485829407,1.5771484374999996,0.41813077831654766,0.06437444151624906,0.0,0.0,0.0,0.0
20000,A_w100_T10000_centered_lr0.01_s4,4,frozen,0,0.0,0.12091111949043928,0.06455032990197099,1.6523437499999998,0.10665933417395985,0.112635651514103,0.0,0.0,0.0,0.0
20000,A_w100_T10000_centered_lr0.01_s5,5,frozen,0,0.0,0.18655473520780635,0.18104954919755867,1.0302734375,0.18653054140959413,0.05040669028719043,0.0,0.0,0.0,0.0
20000,A_w100_T10000_centered_lr0.01_s6,6,frozen,0,0.0,0.647333895239818,0.3512178771218173,1.8125,0.6365824022832939,0.0822078648663342,0.0,0.0,0.0,0.0
20000,A_w100_T10000_centered_lr0.01_s7,7,frozen,0,0.0,0.3776803674122721,0.13932107703109325,2.7021484375,0.37646623061038575,0.07090063578948913,0.0,0.0,0.0,0.0
