a,arm,batch,block,c,death_rate,deltas,dropped,dzbar,dzbar_ci,dzmax,dzmax_ci,frac_dn,frac_mid,frac_up,freeze_v,half_med,judgment,k,label,lin_rate,lr,med_dn,med_mid,med_up,n_pairs,n_seeds,per,per_a,ref,rule,section,settle_zbar,steps,unfit_cutoff_failed,unfit_ref,unfit_tail,unfit_vf,v_abs_med,w_flip_ratio,w_flip_tail,w_free_ratio,w_free_tail,w_med,well_dn,well_up,zbar_alive,zbar_alive_ci,zbar_all,zmax_med
0.1,LRoff0_1216,online,S-null,0.0,0.0,,[],,,,,0.414,0.586,0.0,False,3.7858865179633723,,,,0.015,0.01,-3.894370036125183,-3.389235561490059,nan,,10,,,,,arm,"[-3.444923200309277, -3.554984809756279, -3.598287113904953]",5000000,,,0.01952127101590034,,0.604347857600078,1.441841890737356,1.771713624040888,5.0495188568708995,3.5256850962020945,4.0349378848075865,-0.0,-0.0,-3.598287113904953,"[-3.6338672667741774, -3.5639482021331785]",-3.598287113904953,0.11207810412568506
0.2,LRa0p2_off0_1216,online,1 a×c,0.0,0.0,,[],,,,,0.011,0.989,0.0,False,2.5646549948774915,,,,0.056,0.01,-2.1809814882278444,-1.8985843336582184,nan,,10,,,,,arm,"[-1.861501742526889, -1.87692079115659, -1.9001543598622084]",5000000,,,0.008048375333817224,,0.36643557897768914,1.016334542428505,1.248856595838738,3.3878624402911623,2.3654800491465506,2.718067271709442,-0.0,-0.0,-1.9001543598622084,"[-1.927363232076168, -1.8719049483095296]",-1.9001543598622084,0.5986637693270496
0.2,LRa0p2_offm0p5_1216,online,1 a×c,-0.5,0.273,,[],,,,,0.0,0.727,0.273,False,2.257893337244168,,,,0.346,0.01,nan,-1.0651441950164735,0.49971961736679077,,10,,,,,arm,"[-1.0264441987872124, -1.0468523703143, -1.0651441950164735]",5000000,,,0.011708336495970053,,0.24518382134847344,0.8228149808585885,1.0110626699204797,2.692522624555926,1.8799785004598275,2.4149403619766234,2.5,0.5,-1.0651441950164735,"[-1.1016645760834216, -1.0224149487847463]",-0.8825197459151968,1.1777422592416407
0.2,LRa0p2_offp0p5_1216,online,1 a×c,0.5,0.43700000000000006,,[],,,,,0.753,0.247,0.0,False,0.8558898901939394,,,,0.713,0.01,-2.483452067375183,-3.7062444376945494,nan,,10,,,,,arm,"[-2.497739098072052, -2.532665686607361, -2.590590238571167]",5000000,,,0.1406965492876012,,0.04476246093399823,0.8394708932685353,1.0315292045156448,0.7451433037651731,0.5202754391232545,1.3688417387008667,-2.5,-0.5,-2.590590238571167,"[-2.8449601683020593, -2.5508319377601145]",-2.5117316985130307,-1.625125653743744
0.3,LRa0p3_off0_1216,online,1 a×c,0.0,0.0010000000000000009,,[],,,,,0.0,1.0,0.0,False,1.9868132574670017,,,,0.132,0.01,nan,-1.1131814844161272,nan,,10,,,,,arm,"[-1.1067459866404534, -1.1091002958919853, -1.1141590797901153]",5000000,,,0.015167060011733522,,0.19941856099758298,0.7648391498899484,0.9398228410237743,2.612833749990666,1.824337976015493,2.0970617938041687,-0.0,-0.0,-1.1141590797901153,"[-1.1354432725906372, -1.092516718711704]",-1.1131814844161272,0.8406731815030798
0.3,LRa0p3_offm0p5_1216,online,1 a×c,-0.5,0.481,,[],,,,,0.0,0.521,0.479,False,2.356803157776594,,,,0.57,0.01,nan,-0.731006325185299,0.4996358090639114,,10,,,,,arm,"[-0.7152544482122176, -0.7355121490964666, -0.7320274107903242]",5000000,,,0.028601750805721665,,0.1553706799878273,0.5998899154251645,0.7371357032357886,1.9405870194959964,1.3549605272214165,2.479171271324158,1.6666666666666667,0.5,-0.7320274107903242,"[-0.7655391422845423, -0.6834017636463977]",-0.14319933869875967,1.6040229789435398
0.3,LRa0p3_offp0p5_1216,online,1 a×c,0.5,0.675,,[],,,,,0.678,0.322,0.0,False,3.872307157535106,,,,0.701,0.01,-1.6622018754482268,-2.5147139889001844,nan,,10,,,,,arm,"[-2.519395686388016, -2.588073695898056, -2.514525109529495]",5000000,,,0.06602149126458362,,0.33801196099258957,0.6225264968754084,0.7649511939735409,0.19494407747336834,0.13611424138073946,4.060709505081177,-1.6666666666666667,-0.5,-2.514525109529495,"[-2.557693283498287, -2.4524002918601036]",-1.6766329753398894,1.3121222149487586
0.5,LRa0p5_off0_1216,online,1 a×c,0.0,0.134,,[],,,,,0.005,0.995,0.0,False,1.5441037800628692,,,,0.484,0.01,-0.01560520689963596,-0.4297740151907783,nan,,10,,,,,arm,"[-0.4720822620508261, -0.46297406413475983, -0.46369556499645115]",5000000,,,0.13861805810886924,,0.06412019385723397,0.5158071211665297,0.6338160306056178,1.757407835310817,1.2270607930244921,1.6171408867836,-0.0,-0.0,-0.46369556499645115,"[-0.48022702125337674, -0.44610497703775764]",-0.42755379396025095,1.059442932754755
0.5,LRa0p5_offm0p5_1216,online,1 a×c,-0.5,0.842,,[],,,,,0.0,0.158,0.842,False,3.0601244748476892,,,,0.864,0.01,nan,-0.38937736272811885,0.499923055768013,,10,,,,,arm,"[-0.3785093617811799, -0.34947603991255166, -0.38937736272811885]",5000000,,,0.25247680611462353,,0.14437882080674172,0.24565919377532539,0.3018623215754014,0.011850783671147622,0.008274477737780346,3.2621480619907377,1.0,0.5,-0.38937736272811885,"[-0.42696196485182736, -0.3625902211666107]",0.49983226507902145,2.627777925543487
0.5,LRa0p5_offp0p5_1216,online,1 a×c,0.5,0.7989999999999999,,[],,,,,0.8,0.2,0.0,False,3.263718452528119,,,,0.84,0.01,-1.0001905691623687,-1.3684606222063302,nan,,10,,,,,arm,"[-1.3472783097624779, -1.3477222884306683, -1.3667868573963642]",5000000,,,0.21833690993602017,,0.15449172616004944,0.3834033067347731,0.4711202153357756,0.026166769363600594,0.018270213732437375,3.4510693883895875,-1.0,-0.5,-1.3667868573963642,"[-1.3884420710057022, -1.330294971615076]",-1.0009581965208054,1.8845844277739525
