arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,alpha_W_med_l2
SWA1u,3,0.001,32,none,0.2234375,0.339166671,0.339166671,0,0,-103.1311951,60.96009445,-286.7825928,-0.01662313379,1.521259146,0,0,-70415.67969,22606.18359,-147649.7656,-0.06805656105,1.083436654,98.44328308,22.76952553,4.227173805,0.01669867523,0.000774502987,0.03180426359,0,1,4.548556535e-05,2.163335012e-05,0.001316491049,0,1
SWA1u,3,0.001,33,none,0.2089270833,0.2633333206,0.2633333206,0,0,-113.3753357,63.62270737,-277.3147888,-0.01776298508,1.506963162,0,0,-77430.04688,24795.50391,-153295.5312,-0.06829814613,1.078120342,101.00103,23.40577316,4.268420219,0.01620862447,0.0007311865338,0.03069331683,0,1,4.096645716e-05,2.064300133e-05,0.0003265767591,0,1
SWA1u,3,0.001,34,none,0.21385,0.3100000024,0.3100000024,0,0,-117.1541672,64.33712769,-262.2635193,-0.01005425211,1.50709341,0,0,-83349.90625,26624.67773,-165285.2969,-0.06790736318,1.07789996,102.6468811,24.11669922,4.164473057,0.01593917236,0.0007011723937,0.02705088072,0,1,3.837622353e-05,1.933075873e-05,0.0003533003037,0,1
SWA1u,3,0.001,35,none,0.2078458333,0.3691666722,0.3691666722,0,0,-115.7440109,64.00804138,-238.4178162,-0.00954285264,1.483304624,0,0,-87312.53906,28202.49805,-179896.9219,-0.06825517118,1.072781881,103.99897,23.60264969,4.162344456,0.01602971554,0.000665500178,0.02486958727,0,1,3.617765469e-05,1.757755308e-05,0.0002169376821,0,1
SWA1u,3,0.001,36,none,0.2031020833,0.3316666782,0.3316666782,0,0,-118.6543655,64.65505981,-235.2103424,-0.0004707721819,1.48600611,0,0,-92422.76562,29675.88477,-188638.8125,-0.06826446205,1.071845352,106.0559082,24.0183506,4.178198338,0.01589677855,0.0006359338877,0.02710061707,0,1,3.404896779e-05,1.670740858e-05,0.0002165988117,0,1
SWA1u,3,0.001,37,none,0.213325,0.3116666675,0.3116666675,0,0,-116.7553406,66.96032715,-276.1338196,-0.00295451819,1.49474655,0,0,-96699.99219,30404.25391,-206828.9062,-0.06779400259,1.073600543,108.4452286,24.32689285,4.211718082,0.01550429966,0.0006171011482,0.02507246658,0,1,3.291794201e-05,1.537824755e-05,0.0006888294592,0,1
SWA1u,3,0.001,38,none,0.2021833333,0.2383333296,0.2383333296,0,0,-111.2685165,65.28962708,-267.1297302,-0.001456995495,1.482387662,0,0,-103400.1875,33354.5625,-212509.7812,-0.06835783273,1.071783024,109.956749,25.2209034,4.254006863,0.01567982696,0.0005844861735,0.02446431294,0,1,3.030261723e-05,1.472934673e-05,0.0004319968866,0,1
SWA1u,3,0.001,39,none,0.1985916667,0.2433333397,0.2433333397,0,0,-131.5611725,70.89006042,-233.1413727,-0.005181045737,1.467497115,0,0,-108865.1328,35316.125,-222543.4062,-0.06799749285,1.069845372,113.1697998,25.59046364,4.193515778,0.01456347667,0.0005632039392,0.02712902613,0,1,2.897980448e-05,1.421443721e-05,0.0001068463389,0,1
SWA1u,3,0.001,40,none,0.1926458333,0.3408333361,0.3408333361,0,0,-129.3425751,70.70536804,-227.3374786,-0.002578519983,1.454717149,0,0,-116319.3594,38123.00781,-223553.2031,-0.06810724735,1.065015254,115.6562271,26.55892754,4.19494915,0.01451590005,0.0005387353594,0.03091649152,0,1,2.69550128e-05,1.405122839e-05,0.0001053409869,0,1
SWA1u,3,0.001,41,none,0.18774375,0.200000003,0.200000003,0,0,-125.8059235,70.67478943,-251.0249481,-0.003633593675,1.461850584,0,0,-129353.9453,42441.09375,-236346.4531,-0.06829239428,1.064762088,117.2116928,27.22361946,4.252256393,0.01448670868,0.0005126928445,0.02830680273,0,1,2.414421033e-05,1.323722518e-05,6.735781062e-05,0,1
SWA1u,3,0.001,42,none,0.1880770833,0.2849999964,0.2849999964,0,0,-121.2397232,73.28272247,-230.5302582,-0.00201977347,1.447620913,0,0,-138343.8125,45346.92969,-250762.8281,-0.06818958372,1.062005647,118.7107391,28.0500927,4.297539234,0.01396140177,0.000492864172,0.02337419428,0,1,2.265889998e-05,1.249564502e-05,5.230882743e-05,0,1
SWA1u,3,0.001,43,none,0.1838020833,0.237499997,0.237499997,0,0,-134.3976288,74.28905487,-276.2581177,-0.008603703231,1.431414839,0,0,-143063.9219,45727.89062,-272987.3438,-0.06813259423,1.059861854,120.8601608,27.92745781,4.324316025,0.01388114784,0.0004766503116,0.02506254241,0,1,2.18948062e-05,1.146604518e-05,7.110786828e-05,0,1
SWA1u,3,0.001,44,none,0.18554375,0.2791666687,0.2791666687,0,0,-126.0040131,75.1260376,-301.4631653,-0.01133567281,1.427266867,0,0,-147225.7188,48110.73438,-299367.1875,-0.06794840097,1.059283561,123.2152023,27.65999794,4.38537693,0.0137728462,0.0004610136093,0.02833698131,0,1,2.137250704e-05,1.0508591e-05,8.051472105e-05,0,1
SWA1u,3,0.001,45,none,0.1840916667,0.2675000131,0.2675000131,0,0,-129.5379181,74.73809052,-285.1028137,0.001379963127,1.413190942,0,0,-151833.6875,49821.31641,-311770,-0.06780511141,1.057862351,124.1806259,28.71051216,4.370022774,0.01370846853,0.0004472876899,0.02755138651,0,1,2.082554965e-05,1.012508073e-05,9.964501805e-05,0,1
SWA1u,3,0.001,46,none,0.1854125,0.1691666692,0.1691666692,0,0,-133.6865997,76.17775726,-296.3252258,-0.002046447014,1.426268463,0,0,-161992.6562,50290.65625,-347950.875,-0.06803596765,1.059512187,125.5651855,28.94806862,4.328863144,0.01324646268,0.0004296431434,0.02754134126,0,1,1.934999818e-05,8.999333659e-06,0.0001329993393,0,1
SWA1u,3,0.001,47,none,0.17324375,0.275000006,0.275000006,0,0,-137.1764221,77.18795013,-258.6338501,0.002541412134,1.405363707,0,0,-165769.5781,53971.8125,-362969.9688,-0.06783495843,1.056757357,127.2863541,28.94194794,4.387655258,0.01314909291,0.000418817508,0.02838375233,0,1,1.891712782e-05,8.676670404e-06,0.0001278520067,0,1
SWA1u,3,0.001,48,none,0.1748083333,0.2150000036,0.2150000036,0,0,-139.2594452,76.22602081,-273.1286011,-0.004022550769,1.406369818,0,0,-179205.5781,56390.59766,-397484.25,-0.06818452477,1.055046797,130.6286926,29.06863213,4.373587608,0.01349131763,0.0004027106625,0.02269331366,0,1,1.735241494e-05,7.830206414e-06,0.0001737455459,0,1
SWA1u,3,0.001,49,none,0.1866625,0.2008333355,0.2008333355,0,0,-115.0666656,77.8568573,-286.768158,0.0235431511,1.425658545,0,0,-198498.7969,65546,-392302.7812,-0.06773943454,1.05778918,131.2432404,31.79905701,4.362843513,0.01318549272,0.0003948408121,0.02199490741,0,1,1.585246537e-05,8.015225831e-06,0.000131748413,0,1
SWA1u,3,0.001,50,none,0.1728458333,0.2716666758,0.2716666758,0,0,-126.080986,75.97699738,-296.7178345,0.009868467227,1.401766462,0,0,-212546.625,69035.125,-415410.5625,-0.06810541451,1.05345485,133.1026001,31.95664215,4.397772312,0.01350288,0.0003789887123,0.02091815136,0,1,1.463482386e-05,7.488665688e-06,0.0002706811938,0,1
