arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,two_alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,two_alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,two_alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,two_alpha_W_med_f2
SNAc3,4,0.001,1,none,0.9718041667,1,1,0,0,-0.0722989738,0.1388222426,-0.369874686,0.6828727126,0.8938823938,12.89767662,0,0,-0.2770712078,0.270128727,-0.3163581789,0.6316145658,0.785405457,14.33369625,0,0,-0.02012786455,0.6048747301,-0.4817156196,0.9604166746,78.69648377,0,0,0.2968347669,1.329847217,-1.240652084,0.9931890965,41.10586513,0.6581397653,1.373371601,2.333692312,1.223420978,1.959589958,3,3,3,1,0.8308781385,3,3,3,1,1.616366386,3,3,3,1,3.506489277,2.323138952,1.71152401,3,0.04999999702,6
SNAc3,4,0.001,2,none,0.9705875,1,1,0,0,-0.09052947909,0.1263196617,-0.337166816,0.619425714,0.8166666031,13.69707756,0,0,-0.2885513902,0.2448274195,-0.358609885,0.5741185546,0.6463810205,14.44591505,0,0,-0.1283767521,0.5624763966,-1.197141767,0.9598640203,75.39550747,0,0,0.4242964387,1.389439106,-1.908643007,0.9934775233,37.25255453,0.681338191,1.579261065,2.896194696,1.401366591,2.185060024,3,3,3,1,0.7534778118,3,3,3,1,1.463098884,3,3,3,1,3.250969887,2.223963499,1.442605257,3,0.02999999933,6
SNAc3,4,0.001,3,none,0.9648916667,1,1,0,0,-0.1074456945,0.1209327653,-0.1594683975,0.589609921,0.8231782317,12.99563773,0,0,-0.3190336227,0.2654311657,-0.4261310995,0.5856909752,0.6072586179,14.29020801,0,0,-0.2483324707,0.6716175675,-2.536420345,0.9801381826,74.30834583,0,0,-0.1928290129,1.696830153,-2.743269205,0.9943819642,40.07131535,0.7148593664,1.866251707,3.42541337,1.484119892,2.033176422,3,3,3,1,0.7200950384,3,3,3,1,1.587764382,3,2.09806776,3,0.9799999595,3.893227577,1.826269865,1.317051649,2.679667234,0,6
SNAc3,4,0.001,4,none,0.96605625,1,1,0,0,-0.1282594651,0.1268950552,-0.175031662,0.562353909,0.7930244207,12.78229641,0,0,-0.3764699996,0.2898771465,-0.5006277561,0.6552636027,0.516346693,14.01560156,0,0,-0.2517929673,0.7833592892,-2.9557693,0.9870542884,73.52074588,0,0,-0.07115495205,2.011674166,-4.7619977,0.9966785908,41.10918685,0.7362560034,2.083544493,3.903860807,1.597677112,1.962727547,3,3,3,1,0.7586928606,3,3,3,1,1.73570776,3,2.058535576,3,0.9799999595,4.545214653,1.516543388,1.193694353,1.985032797,0,6
SNAc3,4,0.001,5,none,0.9704583333,1,1,0,0,-0.1490832567,0.1338309199,-0.2456484586,0.4676675498,0.6479175091,12.30625606,0,0,-0.3754747212,0.2865298092,-0.4258464277,0.6428666115,0.5785372853,14.2700655,0,0,-0.1063845083,0.8626405001,-3.315966845,0.9946281314,74.84725558,0,0,0.1462508142,2.180701017,-4.929448128,0.9933281541,42.84317355,0.7543327212,2.229278088,4.275248051,1.661695004,1.942055702,3,3,3,1,0.7989706993,3,3,3,1,1.718263507,3,1.457470655,3,0.9099999666,5.03264761,1.407748222,0.9867398739,2.040573359,0,6
SNAc3,4,0.001,6,none,0.95975,1,1,0,0,-0.1470760852,0.1313849986,-0.2717315853,0.4658424854,0.6504735351,12.24222264,0,0,-0.4259512424,0.3178946376,-0.52564466,0.7067950964,0.5458236933,14.00821384,0,0,-0.1897652298,1.016279578,-3.816418886,0.9867435694,77.59824449,0,0,-0.07566489279,2.691415071,-4.087975979,1.004454017,46.28351236,0.8214812875,2.458363056,4.680337906,1.714160919,1.875706315,3,3,3,1,0.7827728987,3,3,3,1,1.904382944,3,1.404698253,3,0.6100000143,5.870811462,1.150492191,0.675694406,1.55584836,0,6
SNAc3,4,0.001,7,none,0.9649770833,1,1,0,0,-0.234984085,0.1369691342,-0.3574172854,0.4389027953,0.5441457033,11.8887479,0,0,-0.3935147226,0.3015556037,-0.5469064116,0.6609416604,0.5678716302,14.21144539,0,0,-0.2958029509,1.081268907,-4.979877472,0.9934796095,75.08174335,0,0,0.09861577302,2.80868268,-5.036548615,1.010033607,47.87760131,0.8407144547,2.58026123,5.007771015,1.76605165,1.807092786,3,3,3,1,0.8210779428,3,3,3,1,1.810194254,2.856266022,0.8721662164,3,0.349999994,6,1.097800374,0.6821713448,1.575769544,0,6
SNAc3,4,0.001,8,none,0.96140625,1,1,0,0,-0.1916855574,0.1459891945,-0.310765028,0.4583562315,0.581463933,12.26115483,0,0,-0.4688840806,0.3441894352,-0.6113169789,0.8142557144,0.6198223829,14.24008687,0,0,-0.2682582438,1.418862939,-2.051380396,0.9955969453,78.75626743,0,0,0.7697392106,3.536308765,-4.284820557,0.9997212887,52.0046536,0.9223867655,2.747808695,5.386099815,1.801452518,1.734904289,3,3,3,1,0.8740553856,3,3,3,1,2.060045004,2.186275959,1.075681686,2.805361271,0,6,0.8738236427,0.4980841577,1.16550684,0,6
SNAc3,4,0.001,9,none,0.96921875,1,1,0,0,-0.2230062932,0.1714722514,-0.3784736097,0.4416724741,0.5244840384,12.11384971,0,0,-0.4417204857,0.3316281438,-0.4987582564,0.7530659437,0.5435574651,14.24775436,0,0,-0.1977055371,1.277543426,-4.97417593,0.9918966889,77.47209035,0,0,-0.01157277729,3.374114037,-4.583114147,0.9997395873,51.94090198,0.981190443,2.919874907,5.647373676,1.916172385,1.866932154,3,3,3,1,1.02409935,3,3,3,1,1.987959146,2.421676874,1.137387991,2.818815231,0,6,0.9118556976,0.5775780678,1.221567512,0,6
SNAc3,4,0.001,10,none,0.9717229167,1,1,0,0,-0.1971165836,0.1554324925,-0.3542360663,0.4119862914,0.5241940618,11.9243604,0,0,-0.4283994734,0.3353537619,-0.5758610368,0.7329075933,0.601344943,14.26045001,0,0,-0.2293149084,1.383718371,-6.594023705,0.9963942766,75.08756956,0,0,-0.4424570203,3.79249239,-13.401577,1.00271976,51.73091229,0.9562812448,2.995103836,5.970476151,2.002336025,1.73434937,3,3,3,1,0.9301799536,3,3,3,1,2.007902145,2.241383553,0.7222830653,2.590544701,0,6,0.8145316243,0.3601933718,1.167314053,0,6
