ratchet_log_0819,invalid_0829c,fingerprint_0819,fingerprint_invalid,identical
seed0.npz,seed10.npz,2585000d86e6b88a75a593a2427547be3d73033f5d9e844ebea6b17227eeab2d,2585000d86e6b88a75a593a2427547be3d73033f5d9e844ebea6b17227eeab2d,True
seed1.npz,seed11.npz,1c0894dc3f2f6c2040d56f079b638498f506217810c388815d5235e4f027fc7a,1c0894dc3f2f6c2040d56f079b638498f506217810c388815d5235e4f027fc7a,True
seed2.npz,seed12.npz,31e65e67bcb1acc8081b8503b859979741eb0ca6fbcecc438e648c0c37b2c578,31e65e67bcb1acc8081b8503b859979741eb0ca6fbcecc438e648c0c37b2c578,True
seed3.npz,seed13.npz,734c7b5b81b46eb4af33dc2c1d69737110c07f72a5a3d51bd947cca62609099a,734c7b5b81b46eb4af33dc2c1d69737110c07f72a5a3d51bd947cca62609099a,True
seed4.npz,seed14.npz,893ea222b9e01b32da4fddd99e1454f02dbb17154f0035d1b4dadec49764b267,893ea222b9e01b32da4fddd99e1454f02dbb17154f0035d1b4dadec49764b267,True
seed5.npz,seed15.npz,3bba9c6c449d689dcb6dbf97868d1aded2deae9cfa730c7bfcafb6bcaa2022d7,3bba9c6c449d689dcb6dbf97868d1aded2deae9cfa730c7bfcafb6bcaa2022d7,True
seed6.npz,seed16.npz,8c79539276cbb01d587569dce37abe1b5a2189a60196a3ccda505fed14b57f22,8c79539276cbb01d587569dce37abe1b5a2189a60196a3ccda505fed14b57f22,True
seed7.npz,seed17.npz,3c51c21009b767ce6db3a133d0dbb05b4d5e96500dc0df6ff929995bfc5c0b91,3c51c21009b767ce6db3a133d0dbb05b4d5e96500dc0df6ff929995bfc5c0b91,True
seed8.npz,seed18.npz,07df16846b5c879c3f1113f3441aaa73660f5bfc05075e800a708edc800d324c,07df16846b5c879c3f1113f3441aaa73660f5bfc05075e800a708edc800d324c,True
seed9.npz,seed19.npz,ff6b192bfecee5e538fe060570d9ca2093074006f9ef8d5fcc5d5082deb36d3f,ff6b192bfecee5e538fe060570d9ca2093074006f9ef8d5fcc5d5082deb36d3f,True
