arm,seed,task,cap_on,major_frac,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_a1mean_l1,med_b1,med_b2,med_d_l1,med_d_l2,med_dtrain_mean_l1,med_dtrain_mean_l2,med_dtrain_zero_l1,med_dtrain_zero_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rem_w2,rows_bfix,rows_par,rows_perp,rows_w2
cap12_bfix,5,1,0,0.1275,3.006773607430866,3.7042576913012626,2.5346120595932007,5.034791946411133,-0.12144672568746803,-0.009045250248163939,0.023535922169685364,-0.40567895147107064,0.3183914966678922,0.6483221537868182,0.8204506428539753,0.0,0.0,0.6483221539556203,0.8204506430868059,0.7366728965244143,0.8651458114918191,0.009166666666666667,0.004166666666666667,0.3554166666666667,0.6145833333333333,-0.06884754365013046,0.16382930393530049,-0.0017408915168395968,-0.007444820806849748,3.1438430508220474,1.5877424973498535,0.9838853429756944,1.2153318727082771,3.1432217981630286,1.5810689434510525,3.1415283383970394,1.582838195139126,-0.4263704856391996,0.3759596401517532,1.0,0.80771875,0.0,0.0,0.0,0,0,0,0
cap12_bfix,5,2,1,0.11416666666666667,3.0502039400282617,3.10737372243931,3.8361597061157227,5.44439959526062,0.1607099626320875,-0.009045250248163939,0.023535922169685364,-0.09598064625558049,-0.19789533044625326,0.7195465189963579,0.6097904877861341,0.0,0.0,0.719546518160108,0.6097904873195512,0.7909813933335099,0.7248325108276781,0.019166666666666665,0.08666666666666667,0.48041666666666666,0.4241666666666667,-0.016097473862130417,-0.18956501789280045,-0.0006338102047322991,-0.02054178265621886,3.143245379893927,1.5877424364272898,1.2619419107485805,1.9004225879352932,3.143221710873234,1.5781836866461738,3.137811485310084,1.5777631647778048,-0.10826313190938283,-0.3608354631450493,1.0,0.8219479166666667,179.2295777904801,191.49680304527283,86.97666049003601,1199981,55956,527238,389137
cap12_bfix,5,3,1,0.1125,3.1164855252249817,2.882175866087853,4.083343267440796,5.437581539154053,0.2412292581029275,-0.009045250248163939,0.023535922169685364,-0.023284502462595353,-0.4760688140913677,0.7249159459769726,0.4994946759939194,0.0,0.0,0.7249159460451725,0.49949467597178,0.8019130722733616,0.6521271638507045,0.0175,0.18958333333333333,0.5,0.32291666666666663,-0.0044768457203692175,-0.3375586198032854,-0.0024912918415845886,-0.030743890086305327,3.1432374968847294,1.5877424702560456,1.3608169215603108,2.2137377039672463,3.1432218160504686,1.547987154687347,3.1404872726781914,1.5591964478952174,-0.027205960526237808,-1.041747668827108,1.0,0.8709166666666667,223.40108515834436,181.48557686805725,82.9932473897934,1199979,57355,515947,416203
cap12_bfix,5,4,1,0.12083333333333333,3.4029397689490986,2.705172804103322,4.5405824184417725,5.577404022216797,0.3030264089060074,-0.009045250248163939,0.023535922169685364,0.045361057047105316,-0.4838539109019059,0.7525543223818143,0.4882043205201626,0.0,0.0,0.7525543220434338,0.488204321342346,0.8148203100919529,0.6420134420084991,0.010833333333333334,0.22416666666666665,0.5291666666666667,0.32375,0.009392206350109424,-0.33768989582386116,-0.0011233940535458013,-0.035982303308555855,3.143231530017634,1.587742374396031,1.311029645260962,2.490940398839519,3.1432218368617053,1.5401570280308459,3.1380608313337697,1.5372194086291713,0.05890337975074847,-1.2537333275812368,1.0,0.8840104166666667,260.31474945135415,173.47262859344482,62.29990994930267,1199971,61145,525792,379183
cap12_bfix,5,5,1,0.11166666666666666,3.4377669875797903,2.559646842383743,4.79743218421936,5.514092683792114,0.32669568182468844,-0.009045250248163939,0.023535922169685364,0.07061301942962224,-0.495897310913455,0.7469790261487166,0.47260272994637487,0.0,0.0,0.7469790264308298,0.47260272975407513,0.8140588075284374,0.6377817206716447,0.00875,0.2545833333333334,0.5241666666666667,0.33458333333333334,0.014707193111382088,-0.3619928784826394,0.0013427419126822325,-0.03874648735261871,3.143302053143923,1.5877424303124328,1.3514204750563996,2.6540867104664754,3.143221513855404,1.5511051248572634,3.1402598134182798,1.534255964387261,0.0953219226980582,-1.3820744712355857,1.0,0.8866979166666666,253.1617674198933,152.18550205230713,49.708147287368774,1199959,58367,521486,331976
cap12_bfix,5,6,1,0.10916666666666666,3.543086635110604,2.5568949279359385,4.622876405715942,5.366902589797974,0.2892041071438386,-0.009045250248163939,0.023535922169685364,0.07434682856865396,-0.4437679278298644,0.7464405399312576,0.5026082876324653,0.0,0.0,0.7464405399052582,0.5026082872852431,0.8110473146294658,0.6584587128808175,0.007083333333333334,0.23791666666666667,0.5175000000000001,0.35625,0.0168182650045452,-0.3218111874540166,0.0015165829545879675,-0.03851160322679789,3.143240459111846,1.5877423573437859,1.2826528544410896,2.591484632149734,3.1432216653125025,1.5518733401053169,3.1345230767060945,1.5349972944431376,0.0973048039075608,-1.1731751193478703,1.0,0.8790416666666667,251.05721873091534,175.68860983848572,42.82313370704651,1199970,61767,525989,230847
cap12_bfix,5,7,1,0.115,3.5348952703687333,2.380630609169736,4.585361957550049,4.749212741851807,0.31695267170459074,-0.009045250248163939,0.023535922169685364,0.04836456967832961,-0.6415042843880865,0.7378988438596328,0.43436714708805085,0.0,0.0,0.7378988437886194,0.43436714686473676,0.8060386851905874,0.603282744889797,0.006666666666666667,0.3041666666666667,0.5008333333333334,0.2891666666666667,0.01151873405947644,-0.46745580733084724,0.004020196239570261,-0.03667315680009779,3.1432604910919166,1.587598576271183,1.2971131124158815,2.753682318644426,3.1432216877471237,1.5184990433502938,3.1387389811939537,1.5348171186996453,0.06643481375960013,-1.784709128575244,0.9449999928474426,0.8750208333333334,263.55577899701893,189.6805853843689,44.90464723110199,1199962,65012,516303,225273
cap12_bfix,5,8,1,0.1075,3.533144029329522,2.368425245768333,4.728324890136719,5.365642309188843,0.3250355368001813,-0.009045250248163939,0.023535922169685364,0.07992724386759567,-0.49978583147135525,0.7508664599309365,0.48244107119739055,0.0,0.0,0.7508664603531361,0.48244107151105176,0.8140693756011927,0.6468139151655262,0.005833333333333334,0.26041666666666663,0.5162500000000001,0.35,0.019657473428501885,-0.3855417858471245,0.0036847987743351086,-0.036705700346501544,3.1433362747951037,1.5877425283412494,1.298664278577672,2.8143275106193237,3.1432219575078375,1.5412552661351873,3.1266342313293114,1.5518046866917676,0.10569926736255486,-1.391635157491158,1.0,0.85425,238.75279389345087,187.59435653686523,38.227190256118774,1199970,67284,509818,193050
cap12_bfix,5,9,1,0.12166666666666667,3.6067345374427493,2.2865050513504945,4.7304277420043945,4.919128894805908,0.30092166458964736,-0.009045250248163939,0.023535922169685364,0.07454820455377605,-0.5104128033118591,0.7455342944711447,0.47893492196997006,0.0,0.0,0.7455342947342434,0.47893492281116923,0.8095577003325383,0.6430769775365234,0.005833333333333334,0.25958333333333333,0.5095833333333333,0.3416666666666667,0.016121013455325035,-0.4126982543038218,0.0030547691668682776,-0.03444793721057067,3.143241077063453,1.5877127766864076,1.2959750097942482,2.8268059541915256,3.143221734452524,1.5191136094538984,3.1344172060476936,1.5380715635953512,0.08754875524202362,-1.4188063021594037,1.0,0.87040625,217.53434177534655,170.12464904785156,36.12494516372681,1199957,63655,503728,212498
cap12_bfix,5,10,1,0.105,3.5716300908308414,2.229282650202603,4.972987413406372,5.450078010559082,0.35544495067180837,-0.009045250248163939,0.023535922169685364,0.12405869315076666,-0.4803812094787496,0.754536656588316,0.478838927273949,0.0,0.0,0.7545366566129572,0.4788389277461417,0.8168560768968167,0.6485886414554655,0.004583333333333333,0.27875,0.5237499999999999,0.35291666666666666,0.02981629881260162,-0.36776498388056833,0.004414832040245975,-0.034991419711586785,3.143259705920334,1.5877424539085636,1.321293977973741,3.0324938768608156,3.143221805761532,1.5350674956610142,3.1339323340829024,1.5419256524941494,0.16042975034370707,-1.4402162002306431,1.0,0.8657395833333333,208.05269586108625,150.05213856697083,34.374353528022766,1199955,64000,499797,223953
cap12_bfix,5,11,1,0.11083333333333334,3.6526129960934353,2.330675428187896,4.732599973678589,5.5579833984375,0.33480811332008065,-0.009045250248163939,0.023535922169685364,0.10306995628974344,-0.44600708750220475,0.7567943305770557,0.5004441072046757,0.0,0.0,0.7567943304470586,0.5004441073814088,0.8167906349177032,0.6632190080138809,0.004583333333333333,0.25458333333333333,0.5204166666666666,0.36541666666666667,0.02210091363426473,-0.33071708293746976,0.004382519900684652,-0.03248121394111876,3.143225183226873,1.5877424324941416,1.3077403932343432,2.7498808868945464,3.1432219549746154,1.5429784927854246,3.129342904520697,1.5461999995863565,0.13233764850534496,-1.3174144852976315,1.0,0.875625,211.45820985827595,157.09592843055725,32.99249887466431,1199961,60819,516785,222924
cap12_bfix,5,12,1,0.11166666666666666,3.541878372846858,2.335647646612079,4.813429594039917,5.283619403839111,0.3000001259250712,-0.009045250248163939,0.023535922169685364,0.07383955097858391,-0.4538705109968695,0.7528931981573502,0.5059672357638677,0.0,0.0,0.7528931982256473,0.50596723605317,0.8157360781954771,0.6596300502602688,0.005416666666666667,0.24208333333333334,0.5145833333333334,0.35958333333333337,0.017548222262145943,-0.34630215428779765,0.004305295874586105,-0.03190369112417102,3.14330751220973,1.5877423924109677,1.3044721324228687,2.6662757433785207,3.1432219187080617,1.5475760724192242,3.130941791253897,1.5526985103138027,0.10249082820179561,-1.2821066350555823,1.0,0.8615729166666667,233.1092692501843,165.12723922729492,33.08126902580261,1199955,64111,512817,219719
cap12_bfix,5,13,1,0.11083333333333334,3.5940379921610908,2.3151343616280364,4.77501106262207,5.244693994522095,0.3382654956875679,-0.009045250248163939,0.023535922169685364,0.0992810571971391,-0.48251965281646614,0.7575701682021221,0.49439652169744175,0.0,0.0,0.7575701680220663,0.4943965213557742,0.8191581812980597,0.6579882344538859,0.005,0.24541666666666667,0.5279166666666667,0.35875,0.02352859072978973,-0.35080449915065764,0.004731753673815012,-0.0319972971646348,3.143370850158229,1.5877424027107447,1.2524510158609192,2.7159168873441404,3.143221604132754,1.544348044897566,3.1347070188165924,1.552395762349736,0.13198108561026556,-1.322367077062372,1.0,0.87025,232.7260422045365,160.57892441749573,31.19673478603363,1199966,63035,506228,217957
cap12_bfix,5,14,1,0.1075,3.511891483897327,2.1849972328412166,4.707346677780151,5.062828779220581,0.31148632303539975,-0.009045250248163939,0.023535922169685364,0.10103734756720822,-0.5386235248638849,0.7602479589482148,0.4779410890489817,0.0,0.0,0.7602479593727427,0.4779410886910446,0.8196106577005663,0.646706304350414,0.005416666666666667,0.2783333333333333,0.5266666666666666,0.3416666666666667,0.01959386211230889,-0.41600038229045494,0.004955559847688026,-0.031290709680179135,3.1432474214592316,1.5877424602314294,1.2768022923662508,2.8988223663121033,3.1432203587681524,1.5334838395656711,3.1300553610782296,1.5538355914131787,0.11534566148960343,-1.5734933938629303,1.0,0.8674479166666667,243.40349768614396,182.07295489311218,33.9075722694397,1199968,63871,503340,188990
cap12_bfix,5,15,1,0.11333333333333333,3.4969077981660748,2.263014562832538,4.483895301818848,4.768127202987671,0.2615750394940126,-0.009045250248163939,0.023535922169685364,0.04714119584635057,-0.5422377426421262,0.745773266752561,0.47495880854626493,0.0,0.0,0.7457732665662964,0.4749588087025376,0.8091315442869964,0.6366096623851434,0.005,0.27416666666666667,0.5016666666666667,0.3270833333333333,0.012342897599616428,-0.44519329741749525,0.004199512248889784,-0.02960176931141177,3.143246768631536,1.5877424734493077,1.2435180111277386,2.666591750502144,3.143221694216646,1.5110993883251314,3.14209346367,1.5482687474207149,0.056357246759968505,-1.4392399006290362,1.0,0.8694270833333333,229.6869509825483,179.08012413978577,32.776591062545776,1199963,67098,503718,195755
cap12_bfix,5,16,1,0.1075,3.53746157902414,2.2755581924373987,4.455360174179077,4.811338663101196,0.29132910715668303,-0.009045250248163939,0.023535922169685364,0.07789203521595772,-0.528089508348389,0.7613687474528948,0.4838927500943343,0.0,0.0,0.7613687469856814,0.4838927503961754,0.8204765147337685,0.6425212059476003,0.005,0.22916666666666669,0.5216666666666666,0.33166666666666667,0.014253333714979263,-0.39395145666872966,0.00468276789452991,-0.030414859221709778,3.143250459223374,1.5876111016321905,1.2081677831994324,2.6051305202605453,3.143221722830777,1.5255350683703028,3.1379417129673364,1.5578479858269454,0.08932040425017476,-1.2866492662353752,1.0,0.84628125,230.88849491951987,172.81689643859863,33.84156394004822,1199968,69095,499328,203794
cap12_bfix,5,17,1,0.11,3.532532267123068,2.3121997925698947,4.526357650756836,4.994161367416382,0.3360500495111167,-0.009045250248163939,0.023535922169685364,0.145494305785816,-0.5344384956832775,0.7715779069811106,0.4836612523843845,0.0,0.0,0.7715779070140949,0.483661251948391,0.831097353299417,0.6435559942781122,0.0033333333333333335,0.25583333333333336,0.5366666666666666,0.34125000000000005,0.03217681924976133,-0.3402133549796474,0.006216256067203402,-0.030381250444334,3.143635998630523,1.5867507477936873,1.241227579449403,2.7976358951322475,3.143221752671084,1.5381425375391602,3.1353760334435656,1.5565053633187662,0.17224174789696312,-1.3843019041915734,1.0,0.8680625,205.62332235137,149.86450481414795,29.84900462627411,1199962,66465,503088,211928
