seed,task,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc,state_sha256,g1_end,logg1_end,neff1_end,lowgate1_end,zbar1_end,sigma1_end,effbar1_end,pplus1_end,gtr1_end,zero1_end,deadunits1_end,neffT1_end,g2_end,logg2_end,neff2_end,lowgate2_end,zbar2_end,sigma2_end,effbar2_end,pplus2_end,gtr2_end,zero2_end,deadunits2_end,neffT2_end,mu2_end,sec,hash_match_resp_ee,hash_match_neff_pred
16,1,0.7971979166666666,0.5993133796387702,0.11,2.3185613759358725,0.9959166666666667,0.11833333333333333,True,0.1640911605668407,0.22509701394786438,0.20810199250354344,0.28857419985191274,0.1863890381409874,0.2863495335138092,0.4362244897959184,0.0,0.0,0.22198979591836734,0.0,0.0,0.22193877551020408,0.0,0.0,0.2219515306122449,0.0,0.0,0.9975000023841858,14c8bff71812ad4de2c79742bcaa9d44e09ddf4be0ef4937133a4342c0758584,0.6087824721539117,-0.5091870858178006,0.752289194685374,0.0404,-0.6040950695746725,1.1380459202534354,-0.6040950695746725,0.32371666666666676,0.6087824721276759,0.0,0.0,0.7522891946489648,0.7925364856776078,-0.2353361956414059,0.8774569147813621,0.0058833333333333316,0.297038509340041,1.2577024360496236,0.297038509340041,0.5821416666666667,0.7925364856814344,0.0,0.0,0.8774569147736944,2.428751332481389,6.056087255477905,,
16,2,0.7541979166666667,0.7432806583962811,0.1125,5.070080919265747,0.9999166666666667,0.11916666666666667,True,0.1220998589769806,0.4467866980121471,0.18361341378219245,0.8698768277342122,0.16827400011364563,1.2633689686966438,0.2219515306122449,0.0,0.0,0.2219515306122449,0.0,0.0,0.2219515306122449,0.0,0.0,0.222015306122449,0.0,0.0,1.0,c3debcc463addf34179742afd3c02af896a9f7f6af96d267b771ddde3611775f,0.3982573004820361,-1.043216838960713,0.5227008424533088,0.25075833333333336,-1.663453661967094,1.909201114643493,-1.663453661967094,0.22199166666666664,0.3982573005293807,0.0,0.0,0.5227008428140499,0.6548103040321547,-0.45229837358986735,0.7516871133166897,0.061783333333333336,-0.14261883297121772,1.7143869023030183,-0.14261883297121772,0.46258333333333335,0.654810304024319,0.0,0.0,0.7516871133458898,5.240352904823901,4.381737232208252,,
16,3,0.767,0.6944393909903301,0.08916666666666667,5.024256995519003,0.9675833333333334,0.12416666666666666,True,0.12757842892294016,0.49924337014090264,0.17425946052389915,0.8319904704694636,0.16471136762265814,1.2302123297316334,0.222015306122449,0.0,0.0,0.222015306122449,0.0,0.0,0.22198979591836734,0.0,0.0,0.22238520408163265,0.0,0.0,1.0,d11ed947c8a68dd2abd3b0f26b0a00c2d9e0468d46eaa5fcbd85fd7b01af6b90,0.33145549336279656,-1.2480541502143752,0.4170603986433962,0.39892500000000003,-2.382808556203268,2.6017550350508576,-2.382808556203268,0.2066916666666666,0.33145549329767626,9.166666666666667e-05,0.0,0.41706039854859356,0.43072545311954685,-0.9846891504744636,0.5156485441253386,0.29224999999999995,-1.5601579622207615,2.4974674676910844,-1.5601579622207615,0.29428333333333334,0.4307254531348745,0.0,0.0,0.5156485441470127,6.774891359673148,4.230743169784546,,
16,4,0.73878125,0.7653359495961728,0.09083333333333334,4.452940508524577,1.0,0.11583333333333333,True,0.11175968240392346,0.4517146322177723,0.14930282585252522,0.6159949265808488,0.15422647966048922,0.9670597605872899,0.22238520408163265,0.0,0.0,0.22230867346938776,0.0,0.0,0.2223469387755102,0.0,0.0,0.2242091836734694,0.0,0.0,1.0,0714bdd5a6eea0683722626496e9abe5c8dd52c425fa6ab6e378b8666c63ab23,0.3966976365052441,-1.0643895067924003,0.4664672209770108,0.3722166666666666,-1.9181387546333881,3.0832014764682287,-1.9181387546333881,0.28587500000000005,0.39669763649205364,0.00041666666666666664,0.0,0.4664672209720137,0.30471618037465703,-1.3502962701070576,0.3520927934178369,0.530725,-3.715282228634423,4.474429389603532,-3.715282228634423,0.22656666666666667,0.3047161800955733,0.014308333333333333,0.0,0.3520927927726941,10.632882165770452,7.549109220504761,,
16,5,0.7091145833333333,0.8429594137415213,0.1125,4.637332531611125,0.9998333333333334,0.1075,True,0.14040725191716774,0.6934024921307962,0.16106141540512908,0.7618112140335143,0.17581093503637626,1.2054387549869716,0.2240688775510204,0.0,0.0,0.22343112244897959,0.0,0.0,0.22373724489795918,0.0,0.0,0.22650510204081634,0.0,0.0,1.0,c005d11a83cb998d7eb57a50ba6a2c73687db5b1c5852cff5dafda627c0cbcf1,0.4125754689695961,-1.0555744612445834,0.4673764590731592,0.40084999999999993,-1.8609637904608487,3.715971515422267,-1.8609637904608487,0.32186666666666675,0.4125754689315956,0.0023583333333333334,0.0,0.4673764589360963,0.17243368159304712,-2.2580063591524593,0.196551171559514,0.7434833333333333,-8.232490996553317,6.731009310698627,-8.232490996553317,0.13397499999999998,0.17243368031829592,0.14095000000000002,0.0,0.19655116703301798,18.186764201883573,12.126384973526001,,
16,6,0.4908125,1.3568883165338388,0.09833333333333333,4.770644626617432,0.8899166666666667,0.12,True,0.16787961244335747,0.6784063313777249,0.17546195317330177,0.689243271384233,0.2224784603980273,1.1497512890491632,0.22650510204081634,0.0,0.0,0.2257015306122449,0.0,0.0,0.22667091836734693,0.0,0.0,0.2271811224489796,0.0,0.0,0.9291666746139526,3d9c3cecf3d60f418da478ea194ac6d18758b6eb47341911efacd4964c471bed,0.4245320052768809,-1.0491858601104476,0.47003593535259325,0.4174583333333334,-1.7374753466127906,4.31384753851945,-1.7374753466127906,0.34735833333333327,0.42453200519134604,0.006291666666666668,0.0,0.47003593519108117,0.08787555156534962,-3.371094519439859,0.0994576812069928,0.8702083333333333,-15.171292742765926,9.49579560408948,-15.171292742765926,0.06969999999999998,0.08787554957568645,0.4073583333333333,0.0,0.09945764031275277,27.977497946162337,9.687928199768066,,
16,7,0.3503125,1.6961541358927885,0.0975,3.7534919134775797,0.62725,0.125,True,0.1609784781361062,0.5630753905279562,0.15409096454914106,0.568218998669181,0.22560432505876332,0.6363477499689907,0.2271811224489796,0.0,0.0,0.2267984693877551,0.0,0.0,0.2282015306122449,0.0,0.0,0.23008928571428572,0.0,0.0,0.6791666746139526,f7603fc4e23231f391dad4710c48587a73f64ca0714744ee622846c73956d79b,0.4131867079322478,-1.1194590320927338,0.45137936476676005,0.4515166666666666,-1.785956949245084,4.755772915799433,-1.785956949245084,0.3485750000000001,0.4131867076729735,0.012049999999999998,0.0,0.45137936420734603,0.03893653301328457,-5.146515272241398,0.043649781136382494,0.9445666666666668,-24.437551161050102,12.368302048888713,-24.437551161050102,0.032016666666666665,0.038936531346539655,0.6729916666666668,0.0,0.0436489503129397,38.717326649103036,4.570250988006592,,
16,8,0.24704166666666666,1.9060468913813433,0.0925,3.3150805473327636,0.417,0.11333333333333333,True,0.15069186522820624,0.5463437349923576,0.14415343278748574,0.5305069510359317,0.2161711799526529,0.36423024934871745,0.2299234693877551,0.0,0.0,0.22878826530612245,0.0,0.0,0.23045918367346938,0.0,0.0,0.23293367346938776,0.0,0.0,0.4416666626930237,423600a72eb41885cb1143f6ec7e4b0f775eb78cbea5f1c2c83e42e6097c48c7,0.4078989472634107,-1.1869112768541457,0.4407468141857389,0.47590833333333343,-1.7583490968445126,5.195356542674484,-1.7583490968445126,0.35208333333333336,0.40789894692450757,0.020191666666666667,0.0,0.44074681342182376,0.018867135908728787,-6.61237225860028,0.021229473247940153,0.9740333333333333,-33.279119632473204,14.899228830692175,-33.279119632473204,0.016025,0.01886713473697503,0.8222166666666666,0.0,0.021203855956022397,49.88999476192549,5.7225635051727295,,
16,9,0.19844791666666667,2.0436020770172276,0.1125,3.106512260437012,0.32366666666666666,0.1175,True,0.14690393545197364,0.526151016432171,0.1380390076177112,0.49983549523555365,0.21498794767952253,0.287831769286034,0.23292091836734694,0.0,0.0,0.2322066326530612,0.0,0.0,0.23454081632653062,0.0,0.0,0.23725765306122448,0.0288,0.0,0.3466666638851166,043ff1682f6069fbb5409fbd0d6230cd6917db9fbce49b9faccb66c706e210f7,0.3899209293736589,-1.3182237369296814,0.4200399726574267,0.5022083333333334,-2.0909743545963875,5.487483548716909,-2.0909743545963875,0.33927499999999994,0.3899209289029241,0.038900000000000004,0.0,0.4200399715041303,0.012175979602729547,-8.144846631899025,0.013949714444165484,0.9832666666666667,-39.573316307074776,16.388454148904472,-39.573316307074776,0.010408333333333332,0.012175978801151116,0.8835,0.02,0.013822566571281185,58.431509780494515,4.208420515060425,,
16,10,0.165375,2.1355725078781447,0.1075,3.1094978427886963,0.26475,0.1075,True,0.14104115304068424,0.5379417839382464,0.11887054358915823,0.49032963404897606,0.2171129059594629,0.28864638433636475,0.23721938775510204,0.0288,0.0,0.2365688775510204,0.0297,0.0,0.23955357142857142,0.041,0.0,0.24008928571428573,0.0917,0.0,0.2866666615009308,28d3adef65b0d3781438f5486fe47e7db2db1a6dfe1050f3fd18e95ae2ffa179,0.385721126496709,-1.3303681781295356,0.4149972904938211,0.5100250000000001,-1.8847400961121312,5.695552784491346,-1.8847400961121312,0.3361583333333334,0.3857211260040602,0.044225,0.0,0.4149972892866063,0.008430136815469428,-10.731194267967101,0.00994128044746325,0.9889583333333336,-48.633595347361954,18.8049365434412,-48.633595347361954,0.007483333333333334,0.00843013626486063,0.9260333333333335,0.09,0.009753209826067161,68.87478152041803,4.146763563156128,,
