seed,env,act,D_lop_pp,late_gain_pp,D_ce,budget_flag,ref_early_train_acc,ref_late_train_acc,ref_early_online_acc,ref_late_online_acc
0,PM,ELU1,0.3016668558120772,0.33364593982696533,0.015390927903354168,FIT,1.0,1.0,0.992073941230774,0.9887510299682617
0,PM,LR,0.49114584922791416,0.5361455678939864,0.02302563823759556,FIT,1.0,1.0,0.9918270707130432,0.9855156242847443
0,RL,ELU1,-0.26479184627532915,0.1928124576807022,-0.010869383811950684,BUDGET_LIMITED,0.1499166689813137,0.10508333593606949,0.11603229120373726,0.10226249918341637
0,RL,LR,4.624790847301485,6.236665844917299,0.10404837131500244,BUDGET_LIMITED,0.8417500257492065,0.7801666975021362,0.5161395698785782,0.48426041603088377
1,PM,ELU1,0.2857297658920288,0.3186464309692383,0.016290889307856556,FIT,1.0,1.0,0.9918072760105133,0.9883926928043365
1,PM,LR,0.48822939395904985,0.575416684150698,0.02659347411245107,FIT,1.0,1.0,0.9908395707607269,0.9850926995277405
1,RL,ELU1,-0.021249949932097834,0.06010420620441437,-0.0023442506790161133,BUDGET_LIMITED,0.1255000039935112,0.10766666978597642,0.10786249861121178,0.10231562331318855
1,RL,LR,4.426668882369994,5.645833909511561,0.09847851991653456,BUDGET_LIMITED,0.8466666758060455,0.7913333415985108,0.5129802107810975,0.4910020798444748
2,PM,ELU1,0.2860403060913064,0.33374845981597456,0.019079976901412006,FIT,1.0,1.0,0.9910416603088379,0.9882687509059906
2,PM,LR,0.5269789695739768,0.5942702293395996,0.028282577730715283,FIT,1.0,1.0,0.9904395818710328,0.9839885354042053
2,RL,ELU1,-0.30447907745838165,0.1740624010562894,-0.007923245429992676,BUDGET_LIMITED,0.17000000551342964,0.11091667041182518,0.12745416760444642,0.10209479108452797
2,RL,LR,5.366875231266022,7.3466673493385315,0.11920001506805433,BUDGET_LIMITED,0.8514166891574859,0.7878333508968354,0.5260208308696747,0.48927187025547025
