seed,env,act,iv,task,step,train_acc,train_ce
0,PM,ELU1,ref,1,0,0.11500000208616257,2.304265260696411
0,PM,ELU1,wclamp,1,0,0.11500000208616257,2.304265260696411
0,PM,LR,ref,1,0,0.16166667640209198,2.3020858764648438
0,PM,LR,wclamp,1,0,0.16166667640209198,2.3020858764648438
0,RL,ELU1,ref,1,0,0.09666667133569717,2.302645683288574
0,RL,ELU1,wclamp,1,0,0.09666667133569717,2.302645683288574
0,RL,LR,ref,1,0,0.0949999988079071,2.304414987564087
0,RL,LR,wclamp,1,0,0.0949999988079071,2.304414987564087
1,PM,ELU1,ref,1,0,0.06000000238418579,2.3122174739837646
1,PM,ELU1,wclamp,1,0,0.06000000238418579,2.3122174739837646
1,PM,LR,ref,1,0,0.10750000178813934,2.3052759170532227
1,PM,LR,wclamp,1,0,0.10750000178813934,2.3052759170532227
1,RL,ELU1,ref,1,0,0.09166666865348816,2.3059005737304688
1,RL,ELU1,wclamp,1,0,0.09166666865348816,2.3059005737304688
1,RL,LR,ref,1,0,0.08749999850988388,2.304450035095215
1,RL,LR,wclamp,1,0,0.08749999850988388,2.304450035095215
2,PM,ELU1,ref,1,0,0.09416666626930237,2.298072576522827
2,PM,ELU1,wclamp,1,0,0.09416666626930237,2.298072576522827
2,PM,LR,ref,1,0,0.09916666895151138,2.300755262374878
2,PM,LR,wclamp,1,0,0.09916666895151138,2.300755262374878
2,RL,ELU1,ref,1,0,0.0925000011920929,2.3099942207336426
2,RL,ELU1,wclamp,1,0,0.0925000011920929,2.3099942207336426
2,RL,LR,ref,1,0,0.09916666895151138,2.3079497814178467
2,RL,LR,wclamp,1,0,0.09916666895151138,2.3079497814178467
0,PM,ELU1,ref,1,75,0.8391667008399963,0.5720313191413879
0,PM,ELU1,wclamp,1,75,0.8391667008399963,0.5720313191413879
0,PM,LR,ref,1,75,0.8025000095367432,0.6627290844917297
0,PM,LR,wclamp,1,75,0.8025000095367432,0.6627290844917297
0,RL,ELU1,ref,1,75,0.15666666626930237,2.258561611175537
0,RL,ELU1,wclamp,1,75,0.15666666626930237,2.258561611175537
0,RL,LR,ref,1,75,0.13250000774860382,2.287562370300293
0,RL,LR,wclamp,1,75,0.13250000774860382,2.287562370300293
1,PM,ELU1,ref,1,75,0.8366667032241821,0.5526351928710938
1,PM,ELU1,wclamp,1,75,0.8366667032241821,0.5526351928710938
1,PM,LR,ref,1,75,0.8141666650772095,0.6069825291633606
1,PM,LR,wclamp,1,75,0.8141666650772095,0.6069825291633606
1,RL,ELU1,ref,1,75,0.1574999988079071,2.253811836242676
1,RL,ELU1,wclamp,1,75,0.1574999988079071,2.253811836242676
1,RL,LR,ref,1,75,0.12916666269302368,2.2843050956726074
1,RL,LR,wclamp,1,75,0.12916666269302368,2.2843050956726074
2,PM,ELU1,ref,1,75,0.85916668176651,0.5387141108512878
2,PM,ELU1,wclamp,1,75,0.85916668176651,0.5387141108512878
2,PM,LR,ref,1,75,0.8375000357627869,0.6260059475898743
2,PM,LR,wclamp,1,75,0.8375000357627869,0.6260059475898743
2,RL,ELU1,ref,1,75,0.18666666746139526,2.2567310333251953
2,RL,ELU1,wclamp,1,75,0.18666666746139526,2.2567310333251953
2,RL,LR,ref,1,75,0.14500001072883606,2.291085720062256
2,RL,LR,wclamp,1,75,0.14500001072883606,2.291085720062256
0,PM,ELU1,ref,1,375,0.9700000286102295,0.13506393134593964
0,PM,ELU1,wclamp,1,375,0.9700000286102295,0.13506393134593964
0,PM,LR,ref,1,375,0.9666666984558105,0.14751209318637848
0,PM,LR,wclamp,1,375,0.9666666984558105,0.14751209318637848
0,RL,ELU1,ref,1,375,0.3308333456516266,1.9469342231750488
